"County","Density"
"AcadiaParish",50
"AllenParish",23.6
"AscensionParish",68.3
"AssumptionParish",32.3
"AvoyellesParish",32.6
"BeauregardParish",20.7
"BienvilleParish",14.2
"BossierParish",36.6
"CaddoParish",49.1
"CalcasieuParish",42.6
"CaldwellParish",19.1
"CameronParish",5.3
"CatahoulaParish",14.7
"ClaiborneParish",18.8
"ConcordiaParish",10.1
"DeSotoParish",23.6
"EastBatonRougeParish",115.6
"EastCarrollParish",6.4
"EastFelicianaParish",44.7
"EvangelineParish",31.8
"FranklinParish",24.8
"GrantParish",30
"IberiaParish",38.2
"IbervilleParish",32.4
"JacksonParish",18.9
"JeffersonParish",24.9
"JeffersonDavisParish",25
"LafayetteParish",143.2
"LafourcheParish",22.9
"LaSalleParish",17.6
"LincolnParish",42.4
"LivingstonParish",91.5
"MadisonParish",4.4
"MorehouseParish",17.8
"NatchitochesParish",16
"OrleansParish",22.5
"OuachitaParish",70.4
"PlaqueminesParish",6
"PointeCoupeeParish",24.1
"RapidesParish",41.3
"RedRiverParish",23.4
"RichlandParish",24.7
"SabineParish",24.7
"StBernardParish",4.2
"StCharlesParish",24
"StHelenaParish",27.4
"StJamesParish",27.5
"StJohntheBaptistParish",32.1
"StLandryParish",45
"StMartinParish",36.5
"StMaryParish",13.7
"StTammanyParish",75.2
"TangipahoaParish",69.8
"TensasParish",8.7
"TerrebonneParish",19.6
"UnionParish",21.6
"VermilionParish",27.4
"VernonParish",20
"WashingtonParish",47.8
"WebsterParish",37.8
"WestBatonRougeParish",41.9
"WestCarrollParish",32.3
"WestFelicianaParish",38.8
"WinnParish",10.5
