"FAFZone","AcadiaParish","AllenParish","AscensionParish","AssumptionParish","AvoyellesParish","BeauregardParish","BienvilleParish","BossierParish","CaddoParish","CalcasieuParish","CaldwellParish","CameronParish","CatahoulaParish","ClaiborneParish","ConcordiaParish","DeSotoParish","EastBatonRougeParish","EastCarrollParish","EastFelicianaParish","EvangelineParish","FranklinParish","GrantParish","IberiaParish","IbervilleParish","JacksonParish","JeffersonParish","JeffersonDavisParish","LafayetteParish","LafourcheParish","LaSalleParish","LincolnParish","LivingstonParish","MadisonParish","MorehouseParish","NatchitochesParish","OrleansParish","OuachitaParish","PlaqueminesParish","PointeCoupeeParish","RapidesParish","RedRiverParish","RichlandParish","SabineParish","StBernardParish","StCharlesParish","StHelenaParish","StJamesParish","StJohntheBaptistParish","StLandryParish","StMartinParish","StMaryParish","StTammanyParish","TangipahoaParish","TensasParish","TerrebonneParish","UnionParish","VermilionParish","VernonParish","WashingtonParish","WebsterParish","WestBatonRougeParish","WestCarrollParish","WestFelicianaParish","WinnParish"
"11",496.98,504.725,415.12,435.36,446.27,519.7,442.24,472.5,480.63,547.74,400.32,579.16,395.43,449.08,371.19,512.98,415.71,350.54,386.42,501.83,370.85,446.7,487.58,433.86,416.6,370.8,514.83,474.65,410.44,419.95,411.36,394.12,321.4,385.78,473.61,359.42,377.25,401.23,448.99,442.05,485.52,355.9,506.22,362.79,382.99,369.35,405.4,390.76,476.92,468.18,458.17,344.46,373.73,359.6,422.62,411.66,500.34,487.92,324.89,461.77,422.42,362.89,398.45,437.39
"12",290.95,340.05,209.15,229.35,293.15,388.55,380.35,410.65,418.75,341.75,338.45,373.15,287.55,387.2,263.3,435.35,209.7,288.65,230.05,295.85,308.95,359.7,281.55,227.85,354.75,164.8,308.85,268.65,204.45,312.05,349.45,188.15,259.55,323.9,389.3,153.45,315.35,195.25,243,334.15,424.4,294.05,418.1,156.8,177,208.05,199.4,184.75,270.95,262.2,252.15,138.45,181.45,297.75,216.65,349.8,294.35,373.15,145.7,399.85,216.4,306.6,244.65,360.325
"19",471.214545454545,494.402727272727,391,411.892727272727,442.556363636364,525.573636363637,446.649090909091,476.830909090909,484.418181818182,521.985454545455,404.734545454545,553.398181818182,392.741818181818,450.023636363636,368.516363636364,518.318181818182,389.949090909091,348.865454545454,379.827272727273,474.509090909091,375.250909090909,452.17,462.170909090909,408.098181818182,421.023636363636,347.338181818182,489.06,448.899090909091,386.974545454545,417.830909090909,415.770909090909,368.361818181818,325.810909090909,382.244545454545,479.460909090909,335.956363636364,381.66,377.761818181818,423.229090909091,444.793636363636,490.614545454545,360.325454545455,512.060909090909,339.329090909091,359.541818181818,360.767272727273,381.941818181818,367.292727272727,451.154545454545,442.425454545455,434.707272727273,321,352.94,364.032727272727,399.152727272727,412.104545454545,474.578181818182,488.635454545455,309.170909090909,465.929090909091,396.654545454545,359.132727272727,392.88,441.036363636363
"20",1615.33793103448,1588.61206896551,1404.21379310345,1673.63793103448,1588.79310344828,1557.41379310345,1284.52413793103,1263.82068965518,1371.92586206896,1576.26551724138,1303.13275862069,1609.50344827586,1329.75,1254.83103448276,1333.2724137931,1502.96551724138,1389.66379310345,1268.95172413793,1386.85172413793,1596.44827586207,1305.04827586207,1320.07413793104,1638.33448275862,1652.54482758621,1292.43103448276,1456.25172413793,1596.96206896552,1622.47068965517,1469.61034482759,1319.55172413794,1271.92068965517,1431.56206896552,1286.46896551724,1257.40344827586,1531.10689655172,1458.81379310345,1283.16896551724,1491.16206896552,1623.06206896552,1565.19137931034,1515.58965517241,1290.62413793103,1526.72068965517,1465.98103448276,1454.55172413793,1415.04137931034,1450.77931034483,1444.50344827586,1608.02413793103,1634.92413793103,1659.01379310345,1448.38965517241,1423.33793103448,1321.19655172414,1474.71724137931,1266.7724137931,1639.28965517241,1562.35862068966,1425.81724137931,1260.41034482759,1642.16206896552,1266.16896551724,1369.08275862069,1301.1724137931
"41",1350.2,1344.4,1443.6,1466.3,1388.5,1311.5,1300.3,1244,1231.05,1292,1352.25,1342.7,1402.15,1287.3,1417.875,1257.5,1430.4,1404.3,1455.45,1371.6,1377.5,1350.2,1397.5,1434.1,1322.2,1498.4,1323.6,1368.6,1487.3,1369.1,1302.8,1444.2,1386.5,1362.55,1300.45,1502.4,1331.9,1553.15,1438.5,1352.5,1276.8,1355.4,1293.8,1514.65,1495.8,1476.7,1462.9,1472.3,1380.05,1392.3,1429.1,1499.55,1475.1,1403.9,1478.65,1325.9,1373,1348.1,1521.7,1270.4,1415.9,1395.3,1458.2,1336.35
"42",1272,1266.2,1365.35,1388.1,1310.3,1233.3,1222.05,1165.8,1152.85,1213.8,1274.05,1264.5,1323.9,1209.1,1339.7,1179.3,1352.2,1326.1,1377.25,1293.4,1299.25,1272,1319.3,1355.9,1244.05,1420.25,1245.35,1290.45,1409.1,1290.9,1224.6,1366,1308.3,1284.35,1222.25,1424.15,1253.7,1474.9,1360.3,1274.275,1198.55,1277.25,1215.55,1436.45,1417.65,1398.45,1384.7,1394.1,1301.85,1314.1,1350.85,1421.35,1396.85,1325.7,1400.45,1247.7,1294.75,1269.95,1443.5,1192.2,1337.65,1317.1,1380,1258.15
"49",1340.1,1315.49090909091,1418.25454545455,1440.96363636364,1339.66363636364,1275.89090909091,1251.42727272727,1195.16363636364,1182.22727272727,1287.22727272727,1303.40454545455,1337.93636363636,1353.26818181818,1238.47272727273,1369.05909090909,1208.66363636364,1401.94545454545,1355.49090909091,1427.01818181818,1335.76363636364,1328.62727272727,1301.37272727273,1378.96363636364,1408.77272727273,1273.40909090909,1473.10909090909,1318.79090909091,1352.19545454546,1468.71818181818,1320.29090909091,1253.95454545455,1418.9,1337.7,1313.75,1251.60909090909,1477.02727272727,1283.03636363636,1527.77727272727,1390.72727272727,1303.65,1227.92727272727,1306.6,1244.90909090909,1489.34545454546,1470.50909090909,1448.25454545455,1437.59090909091,1446.96363636364,1348.40909090909,1373.74545454545,1410.52727272727,1474.20909090909,1449.72727272727,1355.06363636364,1460.08181818182,1277.06363636364,1367.86363636364,1299.30909090909,1493.29090909091,1221.56363636364,1391.61818181818,1346.47272727273,1405.72727272727,1287.50909090909
"50",398.944666666667,373.203333333333,426.330666666667,451.309333333333,346.5,380.45,246.273333333333,239.056666666667,238.714,417.477333333333,261.184666666667,458.133333333333,303.829333333333,203.82,309.985333333334,275.84,404.254,228.862666666667,384.927333333334,365.874,263.514666666667,293.096,432.874666666666,423.079333333334,250.134,466.338,409.06,409.734666666667,485.362666666667,288.026,220.256666666666,424.954666666667,257.798,210.179333333333,304.595333333334,470.256666666666,232.113333333333,521.367333333334,400.908,319.094666666667,264.27,242.221333333333,318.078,482.924,463.736666666667,406.742666666667,444.066666666667,447.896,386.439333333333,426.452,463.614666666666,452.566,411.764,290.166,491.827333333334,218.624,435.415333333333,351.375333333334,423.858,226.792,411.58,223.844666666667,369.744,264.100666666666
"61",1733.84,1728,1827.18,1849.9,1761.86,1695.12,1673.62,1617.36,1604.42,1675.58,1725.58,1726.32,1775.47,1660.66,1791.27,1630.86,1813.98,1777.7,1839.08,1750.66,1750.82,1723.56,1781.14,1817.72,1695.6,1882.08,1707.18,1752.28,1870.88,1742.46,1676.12,1827.86,1759.9,1735.95,1673.82,1885.98,1705.22,1936.73,1812.36,1725.82,1650.12,1728.82,1667.12,1898.31,1879.46,1860.28,1846.56,1855.9,1763.68,1775.92,1812.68,1883.18,1858.68,1777.22,1862.28,1699.24,1756.58,1721.52,1905.34,1643.74,1799.48,1768.66,1841.82,1709.72
"62",2163.21428571429,2157.35714285714,2256.54285714286,2279.25714285714,2108.78571428571,2124.45714285714,2020.55714285714,1964.28571428571,1951.35714285714,2104.94285714286,2072.52857142857,2155.68571428571,2122.40714285714,2007.61428571429,2138.20714285714,1977.78571428571,2195.57142857143,2124.64285714286,2220.65714285714,2120.47142857143,2097.75714285714,2070.5,2210.51428571429,2247.07142857143,2042.55714285714,2311.41428571429,2136.52857142857,2181.62857142857,2300.24285714286,2089.42857142857,2023.08571428571,2257.21428571429,2106.84285714286,2082.89285714286,2020.75714285714,2315.32857142857,2052.17142857143,2366.07857142857,2161.11428571429,2072.76428571428,1997.05714285714,2075.75714285714,2014.05714285714,2327.66428571429,2308.82857142857,2241.87142857143,2275.88571428571,2285.25714285714,2138.15714285714,2205.27142857143,2242.04285714286,2312.52857142857,2288.02857142857,2124.18571428571,2291.62857142857,2046.18571428571,2185.92857142857,2068.45714285714,2334.71428571429,1990.68571428571,2228.82857142857,2115.61428571429,2170.48571428571,2056.65714285714
