Value,Area,Fwy,Art,Other
BusVmt,Alexandria,,,
TruckVmt,Alexandria,,,
BusVmt,BatonRouge,,,
TruckVmt,BatonRouge,,,
BusVmt,Lafayette,,,
TruckVmt,Lafayette,,,
BusVmt,LakeCharles,,,
TruckVmt,LakeCharles,,,
BusVmt,Monroe,,,
TruckVmt,Monroe,,,
BusVmt,NewOrleans,,,
TruckVmt,NewOrleans,,,
BusVmt,Shreveport,,,
TruckVmt,Shreveport,,,
BusVmt,Slidell,,,
TruckVmt,Slidell,,,
