"FAFZone","AdaCounty","AdamsCounty","BannockCounty","BearLakeCounty","BenewahCounty","BinghamCounty","BlaineCounty","BoiseCounty","BonnerCounty","BonnevilleCounty","BoundaryCounty","ButteCounty","CamasCounty","CanyonCounty","CaribouCounty","CassiaCounty","ClarkCounty","ClearwaterCounty","CusterCounty","ElmoreCounty","FranklinCounty","FremontCounty","GemCounty","GoodingCounty","IdahoCounty","JeffersonCounty","JeromeCounty","KootenaiCounty","LatahCounty","LemhiCounty","LewisCounty","LincolnCounty","MadisonCounty","MinidokaCounty","NezPerceCounty","OneidaCounty","OwyheeCounty","PayetteCounty","PowerCounty","ShoshoneCounty","TetonCounty","TwinFallsCounty","ValleyCounty","WashingtonCounty"
"11",2111.66,2249.77,1869.74,1791.87,2345.67,1897.56,2052.3,2150.16,2380.6,1892.46,2372.55,1956.06,2053.98,2134.655,1826.48,1958.64,1939.83,2376.86,2023.64,2068.58,1828.76,1888.79,2152.73,2016.5,2331.23,1900.76,1984.79,2325.44,2409.32,2034,2353.95,2020.63,1884.76,1953.89,2375.57,1888.57,2099.08,2162.36,1902.56,2286.44,1837.97,2001.74,2213.17,2196.23
"12",2233.9,2372,1991.95,1914.1,2467.95,2019.8,2174.55,2272.4,2502.85,2014.7,2494.75,2078.3,2176.25,2256.9,1948.75,2080.85,2062.05,2499.1,2145.85,2190.85,1951,2011.05,2274.95,2138.75,2453.45,2023,2107.05,2447.65,2531.55,2156.25,2476.2,2142.85,2007,2076.15,2497.8,2010.85,2221.35,2284.6,2024.75,2408.65,1960.25,2123.95,2335.45,2318.5
"19",2150.11636363636,2288.23545454545,1908.20727272727,1830.34909090909,2384.14727272727,1936.01818181818,2090.76909090909,2188.62,2419.07818181818,1930.93454545455,2411.00909090909,1994.53818181818,2092.46181818182,2173.12454545455,1864.96,1997.10181818182,1978.29636363636,2415.33636363636,2062.09636363636,2107.06,1867.23090909091,1927.26909090909,2191.18909090909,2054.96727272727,2369.68909090909,1939.23090909091,2023.26909090909,2363.89454545455,2447.78363636364,2072.46727272727,2392.41454545455,2059.08727272727,1923.25090909091,1992.36909090909,2414.04727272727,1927.05454545455,2137.56,2200.83636363636,1941.01454545455,2324.89454545455,1876.44727272727,2040.20727272727,2251.64727272727,2234.71181818182
"20",549.341379310345,500.941379310345,563.189655172414,616.237931034483,374.175862068966,544.11724137931,595.365517241379,573.637931034483,259.351724137931,534.131034482759,229.606896551724,542.279310344828,603.31724137931,538.386206896552,596.827586206897,620.948275862069,493.334482758621,457.58275862069,518.020689655172,585.220689655172,599.879310344828,477.955172413793,539.38275862069,610.21724137931,453.424137931034,515.251724137931,624.979310344828,352.386206896552,394.41724137931,478.662068965517,425.062068965517,598.51724137931,524.972413793103,614.741379310345,402.755172413793,602.358620689655,590.03448275862,517.555172413793,592.979310344828,388.172413793103,508.548275862069,634.720689655172,519.624137931035,519.127586206897
"41",1026.45,1164.6,842.65,833.9,1396.1,870.45,967.1,1064.95,1431.05,907.45,1422.95,928.95,968.8,1049.5,863.8,873.45,953.55,1325.8,996.55,983.4,802.05,962.9,1067.55,931.3,1248.35,918.35,899.6,1375.85,1327.85,1047.7,1262.75,935.45,927.6,868.7,1293.85,803.4,1013.9,1077.2,875.45,1336.85,974.75,810.85,1128,1111.05
"42",1147.7,1285.8,963.9,955.1,1517.3,991.7,1088.35,1186.2,1552.25,1028.7,1544.2,1050.2,1090.05,1170.7,985,994.7,1074.8,1447,1117.8,1104.6,923.3,1084.15,1188.75,1052.55,1369.55,1039.55,1020.85,1497.05,1449.05,1168.95,1383.95,1056.65,1048.8,989.95,1415.05,924.6,1135.1,1198.4,996.7,1458.05,1096,931.65,1249.2,1232.3
"49",930.281818181818,1068.41363636364,792.5,783.709090909091,1345.91818181818,820.309090909091,872.654545454546,968.781818181818,1380.87272727273,857.309090909091,1372.8,878.809090909091,874.336363636364,953.295454545455,813.609090909091,823.3,903.4,1229.58181818182,946.4,887.2,751.909090909091,912.745454545455,971.354545454545,836.854545454545,1152.15454545455,868.163636363636,849.436363636364,1325.7,1231.65454545455,997.536363636364,1166.55454545455,841,877.418181818182,818.545454545455,1197.65454545455,753.218181818182,917.7,980.981818181818,825.309090909091,1286.7,924.609090909091,798.109090909091,1031.79090909091,1014.84090909091
"50",1772.164,1910.27533333333,1530.25333333333,1452.38933333333,2002.31733333333,1558.068,1712.812,1810.66933333333,2037.248,1552.97866666667,2029.18133333333,1616.57866666667,1714.5,1795.16866666667,1487,1619.15333333333,1600.33866666667,2033.51066666667,1684.13733333333,1729.09866666667,1489.27866666667,1549.312,1813.23066666667,1677.00933333333,1987.856,1561.27866666667,1645.312,1982.06533333333,2065.95733333333,1694.50933333333,2010.00533333333,1681.132,1545.288,1614.412,2032.21733333333,1549.09866666667,1759.59866666667,1822.88,1563.06133333333,1943.06533333333,1498.48933333333,1662.25333333333,1873.68666666667,1856.75
"61",859.72,938.65,840.42,831.7,1332.84,868.26,829.12,902.6,1359.88,905.26,1366.64,926.76,830.82,827.9,861.58,871.24,951.32,1122.01,994.32,836.84,799.86,960.72,874.5,793.32,1044.55,916.12,897.42,1307.36,1124.05,1045.52,1058.95,797.42,925.4,866.52,1090.05,801.22,844.94,852.98,873.24,1334.62,972.56,750.12,943.66,885.15
"62",534.257142857143,621.764285714286,690.4,732.185714285714,852.378571428571,698.671428571429,636.8,583.721428571429,902.328571428571,735.685714285714,931.364285714285,682.6,638.5,511,741.785714285714,629.357142857143,781.742857142857,805.121428571429,743.114285714286,589.035714285714,699.471428571429,791.1,553.514285714286,601,727.65,746.5,587.485714285714,853.828571428571,800.178571428572,808.657142857143,742.064285714286,605.114285714286,755.785714285714,616,770.107142857142,685.885714285714,580.314285714286,536.085714285714,658.657142857143,908.435714285714,802.971428571429,557.814285714286,624.835714285714,568.25
