"County","Density"
"AdaCounty",23.6
"AdamsCounty",2.9
"BannockCounty",12.1
"BearLakeCounty",6.1
"BenewahCounty",8.6
"BinghamCounty",12.3
"BlaineCounty",2.7
"BoiseCounty",3.7
"BonnerCounty",17.2
"BonnevilleCounty",7.4
"BoundaryCounty",6.6
"ButteCounty",1.3
"CamasCounty",1
"CanyonCounty",72.4
"CaribouCounty",2.4
"CassiaCounty",4.6
"ClarkCounty",0.6
"ClearwaterCounty",2.1
"CusterCounty",0.9
"ElmoreCounty",2.4
"FranklinCounty",12.8
"FremontCounty",5.1
"GemCounty",13.6
"GoodingCounty",12.4
"IdahoCounty",1.5
"JeffersonCounty",16
"JeromeCounty",19.4
"KootenaiCounty",28.1
"LatahCounty",12.2
"LemhiCounty",1.1
"LewisCounty",8
"LincolnCounty",4.3
"MadisonCounty",23.1
"MinidokaCounty",11.8
"NezPerceCounty",9
"OneidaCounty",3.6
"OwyheeCounty",1.2
"PayetteCounty",24.1
"PowerCounty",2.4
"ShoshoneCounty",2.7
"TetonCounty",22.6
"TwinFallsCounty",11.4
"ValleyCounty",2.7
"WashingtonCounty",3.2
