"SCTG","PctEmpty","N"
1,0.286338555483662,23
2,0.370723831022073,88
3,0.296456694319495,153
4,0.38642142706366,37
5,0.0923059157296073,15
6,0.207755228768538,6
7,0.292014610040194,50
8,0.073882910846155,11
9,0.220797674677544,0
10,0.345868222703136,0
11,0.406653723247503,3
12,0.41111393068136,114
13,0.382289317879428,4
14,0.330631811974,0
15,0.394477968299597,0
16,0.411406611770122,0
17,0.405256894636644,4
18,0.30780628855648,6
19,0.375833579298707,10
20,0.319153846071907,2
21,0.163003296356002,0
22,0.385156357607833,45
23,0.402985715827241,11
24,0.259173648542417,3
25,0.483652899039173,38
26,0.398439395410119,44
27,0.207833893632727,1
28,0.216947168869503,2
29,0.142965266998763,0
30,0.150707615637309,3
31,0.480209706091007,28
32,0.217604044021483,6
33,0.215012616722536,59
34,0.577092492833464,47
35,0.159588441529491,5
36,0.325494537879264,17
37,0.179037995207116,4
38,0.253528170079209,0
39,0.198651658784435,6
40,0.147940952418092,180
41,0.237390101625937,54
43,0.103933415147839,21
99,0.381384214764823,22
