"County","Metropolitan","Town","Rural"
"AdaCounty",0.8918,0.0535,0.0547
"AdamsCounty",0,0,1
"BannockCounty",0.8427,0,0.1573
"BearLakeCounty",0,0,1
"BenewahCounty",0,0.2809,0.7191
"BinghamCounty",0,0.4397,0.5603
"BlaineCounty",0,0.6723,0.3277
"BoiseCounty",0,0,1
"BonnerCounty",0,0.2755,0.7245
"BonnevilleCounty",0.8705,0,0.1295
"BoundaryCounty",0,0.2382,0.7618
"ButteCounty",0,0,1
"CamasCounty",0,0,1
"CanyonCounty",0.8007,6e-04,0.1987
"CaribouCounty",0,0.4011,0.5989
"CassiaCounty",0,0.4849,0.5151
"ClarkCounty",0,0,1
"ClearwaterCounty",0,0.4139,0.5861
"CusterCounty",0,0,1
"ElmoreCounty",0,0.7312,0.2688
"FranklinCounty",0,0.3381,0.6619
"FremontCounty",0,0.2796,0.7204
"GemCounty",0,0.5498,0.4502
"GoodingCounty",0,0.4192,0.5808
"IdahoCounty",0,0.1936,0.8064
"JeffersonCounty",0,0.3339,0.6661
"JeromeCounty",0,0.4868,0.5132
"KootenaiCounty",0.7103,0.0472,0.2424
"LatahCounty",0,0.6501,0.3499
"LemhiCounty",0,0.3886,0.6114
"LewisCounty",0,0,1
"LincolnCounty",0,0,1
"MadisonCounty",0,0.7154,0.2846
"MinidokaCounty",0,0.5578,0.4422
"NezPerceCounty",0.8084,0,0.1916
"OneidaCounty",0,0,1
"OwyheeCounty",0,0.2271,0.7729
"PayetteCounty",0,0.5733,0.4267
"PowerCounty",0,0.5741,0.4259
"ShoshoneCounty",0,0.4396,0.5604
"TetonCounty",0,0,1
"TwinFallsCounty",0,0.7201,0.2799
"ValleyCounty",0,0,1
"WashingtonCounty",0,0.5443,0.4557
