"County","AdamsCounty","AllenCounty","BartholomewCounty","BentonCounty","BlackfordCounty","BooneCounty","BrownCounty","CarrollCounty","CassCounty","ClarkCounty","ClayCounty","ClintonCounty","CrawfordCounty","DaviessCounty","DearbornCounty","DecaturCounty","DeKalbCounty","DelawareCounty","DuboisCounty","ElkhartCounty","FayetteCounty","FloydCounty","FountainCounty","FranklinCounty","FultonCounty","GibsonCounty","GrantCounty","GreeneCounty","HamiltonCounty","HancockCounty","HarrisonCounty","HendricksCounty","HenryCounty","HowardCounty","HuntingtonCounty","JacksonCounty","JasperCounty","JayCounty","JeffersonCounty","JenningsCounty","JohnsonCounty","KnoxCounty","KosciuskoCounty","LaGrangeCounty","LakeCounty","LaPorteCounty","LawrenceCounty","MadisonCounty","MarionCounty","MarshallCounty","MartinCounty","MiamiCounty","MonroeCounty","MontgomeryCounty","MorganCounty","NewtonCounty","NobleCounty","OhioCounty","OrangeCounty","OwenCounty","ParkeCounty","PerryCounty","PikeCounty","PorterCounty","PoseyCounty","PulaskiCounty","PutnamCounty","RandolphCounty","RipleyCounty","RushCounty","StJosephCounty","ScottCounty","ShelbyCounty","SpencerCounty","StarkeCounty","SteubenCounty","SullivanCounty","SwitzerlandCounty","TippecanoeCounty","TiptonCounty","UnionCounty","VanderburghCounty","VermillionCounty","VigoCounty","WabashCounty","WarrenCounty","WarrickCounty","WashingtonCounty","WayneCounty","WellsCounty","WhiteCounty","WhitleyCounty"
"UnionCounty",82.4,116.8,84.7,166.8,79.6,100.1,96.1,142,142.3,122.4,130.7,116.9,176.7,171.1,43.9,59.5,139.6,64.1,202.4,183.2,16.1,133.1,146.2,21.6,159.7,228.2,96.9,143.1,91.5,59.7,153.5,93.4,56,118.6,106.6,107.5,182.8,63.8,85.4,81.8,71.6,205.4,163.8,168.6,223.6,221.5,139.4,79.1,74.2,179.5,162.2,131.7,112.6,124.9,96.4,186.9,154.1,72,163.4,120.2,134.4,192.8,190.1,237.1,270.4,174.2,122.5,44.3,53.6,33.4,207,108.2,52.1,212.5,186.3,157.8,170.8,81.1,137.7,102.5,6.6,240.2,147.4,148.6,125.1,163.7,227.1,139.4,24,92.5,160.3,131.1
"VanderburghCounty",298.6,314.7,178.4,203.1,267,197.9,146.6,242.9,249.7,120.7,122.7,217.4,80.3,61.3,227.1,199.8,331.6,247.6,59.1,335.8,233.9,108.5,161.6,228.6,274.8,24.6,253.1,90.4,206.6,204.1,96.3,175.4,232.5,233.7,284.6,130.9,237.6,273.8,155.4,171.3,165.7,57.2,303.2,352.9,261.5,289.1,100.1,233.6,183.4,294.6,76.5,258.5,122.6,166.5,142.8,218.1,334.7,196.6,94.9,117.3,134.9,58.4,39.9,285.5,30.4,252,151.5,266.5,188.5,218.8,322.1,140.3,202.8,37.2,290.8,349.9,84.2,185.1,196.6,224.6,240.2,7.9,134.3,109.1,274.5,172,16.9,117.8,248.9,302.6,221.8,309
"VermillionCounty",189.1,205.1,116.5,73.1,157.5,80.7,104.9,102.1,115,177.3,42.3,90.6,148.9,108.4,168.5,126.6,222.1,138.1,129.5,219,132.2,185.3,39.1,144.1,137.4,111.3,143.6,77,95.6,100.3,168.7,55.3,128.7,124.1,175.1,139.1,107.7,164.3,158.9,136.7,92.2,88.4,177,243.3,131.5,159.2,109.8,124,77.6,157.2,114,132.3,86.8,44.8,79.7,88.2,225.2,187.2,132.4,64.7,13.2,172.6,109.8,155.6,164.5,134.1,40.9,156.9,144.9,115,199.7,156.2,102.8,167.8,154.5,240.4,53.9,196.3,72.9,113.6,147.4,134.3,8.3,27.9,148.3,42.1,147.5,141.1,145.1,193.1,98.1,182.9
"VigoCounty",195.9,211.9,117.7,96.7,164.3,95.2,80.4,125.9,147,178.4,20,114.7,124.5,83.3,169.6,127.7,228.9,144.9,104.3,233.1,133.4,144.9,55.2,145.2,172.1,86.1,150.4,51.8,103.9,101.4,144.2,72.7,129.8,131,181.9,116.2,131.2,171.1,160,137.8,82.2,63.3,200.5,250.2,155.1,182.7,85.3,130.9,80.7,191.9,88.8,155.8,62.4,60.1,68.3,111.7,232,188.3,107.9,39.5,28.5,147.4,84.6,179.1,139.3,145.6,48.8,163.8,146,116.1,219.4,157.3,103.9,142.6,178,247.2,28.7,197.4,90.2,121.9,148.6,109.1,27.9,10.4,171.8,65.6,122.3,116.7,146.2,199.9,115.4,206.3
"WabashCounty",57.8,53.3,140.6,92.3,48.5,89.8,146.9,55.3,35.3,201.3,154,73.9,213,205.3,183.6,141.6,70.2,63.5,223,62.6,113.9,209.4,112.2,136.8,43.9,251.5,28.4,172.2,77.3,89.7,229.7,109.4,87.8,43.8,25.3,163.1,97.1,73.3,182.9,160.8,119,228.7,36.1,79.4,124.1,99.5,173.9,56.9,98.8,63.7,200.5,20,150.9,109.8,121.3,101.3,59,202.2,196.4,152.7,145.6,243.3,224.2,110.6,304.7,67.2,139.5,86.4,159.9,111.5,85,180.3,117.9,248.1,80.3,88.5,194.1,211.3,74,63.1,125.5,274.5,148.3,171.8,10.6,109.2,262.7,198.2,106.5,48.1,61.8,40
"WarrenCounty",158.8,157,132.8,34.2,125.9,60.9,132.2,63,75.9,193.6,80,51.9,194.9,146.1,184.8,142.9,174,114.5,167.2,180.1,148.5,201.6,19.4,160.4,98.2,148.9,111.4,114.7,83.3,106.1,222,76.3,125.8,79.6,129.1,155.4,68.8,133.9,175.2,153,108.5,126.1,137.8,205.6,92.6,120.3,155.8,108.3,87.1,118,151.6,93.2,132.8,41.9,103.3,49.3,162.8,203.5,178.3,102.4,50.9,210.3,147.5,116.7,202.2,95.2,69.3,137.3,161.2,131.3,160.8,172.5,119.1,205.5,115.5,192.2,91.6,212.6,33.7,77.7,163.7,172,42.1,65.6,109.2,9.8,185.2,190.4,150.9,151.9,59,143.8
"WarrickCounty",281.6,297.7,165.2,216.3,250.1,186.1,140.8,231,237.9,107.6,135.9,205.5,67.2,67.9,214,186.6,314.7,230.6,46,323.9,220.7,95.3,174.8,215.4,262.9,37.8,236.2,96.4,194.7,187.2,83.2,188.6,215.6,221.8,267.6,132.6,250.9,256.8,142.3,158.1,159.8,70.4,291.3,335.9,274.7,302.4,95.5,216.6,171.7,282.7,71.9,246.7,116.7,179.7,142.9,231.4,317.8,183.4,81.7,120,148.1,42.7,46.5,298.8,45.2,265.2,164.7,249.5,175.3,207.2,310.2,127.1,189.6,20.4,278.9,332.9,97.4,171.9,209.8,212.7,227.1,16.9,147.5,122.3,262.7,185.2,10.2,104.7,232,285.7,235,292.1
"WashingtonCounty",194.2,230,60.1,198.6,182.4,131.9,58.7,176.8,180.9,30.3,100.1,151.3,43.4,67.6,104.8,81.5,246.9,162.9,63.8,259.4,115.6,31.8,172.9,127.8,198.4,118.2,168.5,75,130.2,119.4,31.1,120.1,125.7,157.3,199.9,28.1,214.6,169.4,43.6,53,84.8,83.3,226.8,268.2,255.4,254.3,34.8,148.9,104,218.2,51.6,182.2,59.2,151.6,85.3,218.7,250,84.8,26.8,78.4,128.1,70.4,78.9,268.9,148,212.9,103.7,159.3,81,102.1,245.7,22,84.5,90.1,225,265.2,95.7,73.3,169.4,148.2,139.4,117.8,141.1,116.7,198.2,190.4,104.7,11.7,139.7,218,192.1,224.4
"WayneCounty",69.4,103.7,84.9,157.5,60.7,90.8,113,132.6,132.9,142.9,128.4,107.5,182.3,178.7,64.7,63.5,126.5,45.3,192.3,167.1,25.4,150.9,136.4,42.3,150.4,225.9,78,145,68.8,44.8,171.2,91,32.2,109.3,87.8,107.8,173.4,50.7,106.1,87.9,85.1,203.1,136.2,156.1,214.3,212.2,143.2,59.8,64.8,170.2,169.8,112.9,120.2,115.1,94.1,177.6,137.9,92.7,165.7,125.5,132.1,210.5,197.6,227.7,279.1,164.8,120.2,31.2,74.3,42.3,197.7,121.8,64.2,217.4,177,144.7,168.5,101.8,128.3,83.7,23.7,248.9,145.1,146.2,106.2,150.9,232,139.7,10.3,76.1,151,112.3
"WellsCounty",14.5,36.8,160.4,135,35.2,130.4,166.7,98,78,221.1,182.1,107.6,236,232.4,126.8,113.9,59.5,47.6,246,92.9,83.5,229.1,176.1,104.4,74.1,279.6,53.4,198.7,103.3,99.2,249.5,139,68.3,77,27.6,182.9,139.8,38.9,160.4,138.3,138.8,256.8,73.6,82,163.3,138.6,196.9,78.9,118.6,97.4,223.5,62.8,173.9,154.8,147.8,144,63.8,154.8,219.4,179.2,180.1,266.3,251.3,149.8,332.8,98.5,169.1,50,131.4,92.7,124.2,200.1,118.6,271.1,126.8,77.8,222.2,163.9,116.7,84.2,92.6,302.6,193.1,199.9,48.1,151.9,285.7,218,76.1,9.9,104.5,51.5
"WhiteCounty",114.2,109.7,134.5,38.6,99.7,61,133.9,27.7,28.5,195.3,137.7,50.1,196.6,189,184.4,142.5,126.6,108.7,206.6,110.1,145.1,203.3,62,157,49.1,198.8,80.5,155.9,81.5,106.2,223.7,84,126,53.1,81.7,157.1,35.9,128.2,176.9,154.7,110.2,175.9,90.5,135.6,76.8,67.5,157.5,101.4,87.2,68.9,184.2,45.8,134.5,54.5,105,40.1,115.4,203.1,180,136.3,88.9,227,207.9,69.1,252,35.6,81.9,131.6,160.8,127.9,96.4,174.2,118.7,231.8,55.2,144.9,141.4,212.2,28.5,72.4,160.3,221.8,98.1,115.4,61.8,59,235,192.1,151,104.5,11.6,96.4
"WhitleyCounty",60.6,26.5,166.8,126.9,55.1,124.5,173.1,89.9,69.9,227.6,188.5,108.6,242.4,238.8,190.7,148.7,43.4,79.4,252.4,49.4,119.6,235.6,146.9,152.7,53,286,59.8,205.1,109.7,105.6,255.9,145.4,93.5,78.4,25.9,189.4,118.4,85,195.3,173.1,145.2,263.2,21.2,41.3,110.9,86.3,203.3,85.3,125,45,229.9,54.7,180.3,144.4,154.2,135.9,20.9,209.4,225.8,185.6,186.5,272.7,257.7,97.4,339.2,77.5,175.5,93.3,167,127.4,71.8,206.5,125,277.5,74.4,61.7,228.6,218.4,108.6,90.6,131.2,309,182.9,206.3,40,143.8,292.1,224.4,112.3,51.5,96.4,9.5
