"County","AdamsCounty","AllenCounty","BartholomewCounty","BentonCounty","BlackfordCounty","BooneCounty","BrownCounty","CarrollCounty","CassCounty","ClarkCounty","ClayCounty","ClintonCounty","CrawfordCounty","DaviessCounty","DearbornCounty","DecaturCounty","DeKalbCounty","DelawareCounty","DuboisCounty","ElkhartCounty","FayetteCounty","FloydCounty","FountainCounty","FranklinCounty","FultonCounty","GibsonCounty","GrantCounty","GreeneCounty","HamiltonCounty","HancockCounty","HarrisonCounty","HendricksCounty","HenryCounty","HowardCounty","HuntingtonCounty","JacksonCounty","JasperCounty","JayCounty","JeffersonCounty","JenningsCounty","JohnsonCounty","KnoxCounty","KosciuskoCounty","LaGrangeCounty","LakeCounty","LaPorteCounty","LawrenceCounty","MadisonCounty","MarionCounty","MarshallCounty","MartinCounty","MiamiCounty","MonroeCounty","MontgomeryCounty","MorganCounty","NewtonCounty","NobleCounty","OhioCounty","OrangeCounty","OwenCounty","ParkeCounty","PerryCounty","PikeCounty","PorterCounty","PoseyCounty","PulaskiCounty","PutnamCounty","RandolphCounty","RipleyCounty","RushCounty","StJosephCounty","ScottCounty","ShelbyCounty","SpencerCounty","StarkeCounty","SteubenCounty","SullivanCounty","SwitzerlandCounty","TippecanoeCounty","TiptonCounty","UnionCounty","VanderburghCounty","VermillionCounty","VigoCounty","WabashCounty","WarrenCounty","WarrickCounty","WashingtonCounty","WayneCounty","WellsCounty","WhiteCounty","WhitleyCounty"
"ClayCounty",178.1,194.1,99.8,104.9,146.5,77.4,63.8,122.4,129.2,139,9.8,96.8,107.9,74.8,151.8,109.9,211.1,127.1,96.4,215.2,115.5,128.3,57.8,127.4,154.2,99.7,132.6,41.8,86,83.6,127.6,54.9,112,113.2,164.1,99.6,160.1,153.3,142.2,120,64.3,76.8,182.6,232.3,163.3,199.8,68.8,113,62.8,174,78.7,138,45.8,56.5,50.5,120,214.2,170.5,91.3,22.9,29.3,138.2,98.2,214.4,152.9,158.1,30.9,145.9,128.2,98.3,201.5,117.9,86.1,121.5,170.3,229.4,42.3,179.6,84.1,104,130.7,122.7,42.3,20,154,80,135.9,100.1,128.4,182.1,137.7,188.5
"ClintonCounty",108.4,119.7,93.7,56.6,75.5,19.7,93.1,27.1,40.6,154.5,96.8,10.4,155.8,148.1,140.9,99,136.6,64.1,165.8,124,101.7,162.5,56.4,113.5,63,194.3,61,115,36.3,62.7,182.8,43.2,70.4,35,89.6,116.3,72.6,83.6,136.1,113.9,69.3,171.5,102.6,149.5,113.4,112.3,116.7,58,46.4,82.8,143.3,58,93.7,37.5,64.1,76.7,127.5,159.6,139.2,95.5,70.8,186.1,167,126.9,247.5,69.5,67,87,117.3,84.4,110.3,133.4,75.3,190.9,81.7,154.9,136.9,168.7,27.5,27.4,116.9,217.4,90.6,114.7,73.9,51.9,205.5,151.3,107.5,107.6,50.1,108.6
"CrawfordCounty",232,248,100.6,203.2,200.4,136.4,91.1,181.4,188.2,57.2,107.9,155.8,9,65.5,163.6,122.1,265,180.9,32.2,274.2,156.1,45,177.4,165.1,213.2,80.7,186.5,82.8,145,137.5,32.8,117.8,165.9,172.1,217.9,68.6,219.1,207.1,91.9,93.5,110.1,81.3,241.6,286.2,259.9,258.8,42.6,166.9,122,233,49.5,197,67,137.1,93.2,223.2,268.1,133.1,23.9,86.2,136,32.9,54.8,273.4,110.5,217.1,111.5,199.8,125,142.6,260.5,62.5,125,52.6,229.2,283.2,103.5,121.6,174,163,176.7,80.3,148.9,124.5,213,194.9,67.2,43.4,182.3,236,196.6,242.4
"DaviessCounty",228.4,244.4,104.9,177.2,196.8,128.7,87.5,173.7,180.5,98.4,74.8,148.1,65.5,10.8,155.7,126.4,261.4,177.4,39.2,266.5,155.9,86.2,135.8,172.7,205.5,54.1,182.9,36.3,137.3,133.9,85.5,111,162.3,164.5,214.4,77,211.4,203.6,108.4,97.8,106.5,23,233.9,282.6,235.6,251.1,46.1,163.3,118.4,225.3,22.5,189.3,63.4,112.7,85.5,192.3,264.5,149.6,43,59.9,109.1,82.3,26.7,265.7,91.4,209.4,87,196.2,125.9,148.6,252.8,86.7,121.4,64.4,221.6,279.6,58.3,138.1,140.2,155.3,171.1,61.3,108.4,83.3,205.3,146.1,67.9,67.6,178.7,232.4,189,238.8
"DearbornCounty",123.4,157.8,73,190.9,111.3,124.2,96.7,166,166.3,98.7,151.8,140.9,163.6,155.7,9,47.8,180.5,95.9,189.3,244.8,46.2,121,167.3,32.3,183.8,227.5,146.3,151.8,115.6,87.2,140.4,114.4,82.5,142.7,166.2,79,206.9,104.8,61.8,58.2,88.1,171.4,212.2,234.5,247.7,245.6,110.9,115.2,98.3,203.6,139.7,167.6,114.2,145.9,117.5,211,216.3,32.5,128.7,136.7,155.5,179.7,175.1,261.1,257.3,198.3,143.6,85.3,20.5,58.9,231.1,84.5,68.6,199.4,210.4,198.8,191.9,41.6,161.7,133.6,43.9,227.1,168.5,169.6,183.6,184.8,214,104.8,65,126.8,184.4,190.7
"DecaturCounty",118.1,154.3,26.7,149,87.6,82.2,50.5,124.1,124.4,84.7,109.9,99,122.1,126.4,47.8,9.9,171.3,72.2,142.4,202.8,39.4,92.7,125.3,47.9,141.9,169.7,104.3,105.5,73.7,45.3,113.1,72.5,49.6,100.8,124.3,49.6,164.9,93.3,50.5,29.7,46.2,142.1,170.3,192.5,205.8,203.6,81.5,73.2,56.3,161.7,110.4,125.6,67.9,104,75.6,169.1,174.4,63.7,105.4,88.2,113.6,152.4,145.8,219.2,230,156.3,101.6,83.1,23.4,26,189.1,63.6,26.6,172.1,168.5,189.6,150,72.8,119.8,91.7,59.5,199.8,126.6,127.7,141.6,142.9,186.6,81.5,63.5,113.9,142.5,148.7
"DeKalbCounty",58.5,28.9,189.4,157.1,77.7,159.4,195.7,120.1,100.1,250.1,211.1,136.6,265,261.4,180.6,171.3,9.8,102,275,58.6,138.2,258.1,177,175.3,86.3,308.6,82.4,227.7,132.3,128.2,278.5,168,116.1,106,56.6,211.9,159.1,82.9,217.8,195.6,167.8,285.8,61.8,40.7,144.9,110,225.9,107.9,147.5,85.7,252.5,84.8,202.9,183.8,176.8,166.1,30,208.7,248.4,208.1,209.1,295.3,280.3,119.9,361.8,110.7,198.1,100.6,189.6,150,85,229,147.6,300.1,115.1,21,251.2,217.8,138.8,113.2,139.7,331.6,222.1,228.9,70.2,174,314.7,246.9,126.5,59.5,126.6,43.4
"DelawareCounty",51.8,85,105.3,119.2,21.3,75.4,111.6,89.1,82.2,166.1,127.1,64.1,180.9,177.4,95.9,72.2,102,10.2,190.9,134.2,52.7,174.1,121.1,76.3,99.7,224.6,35,143.7,48.3,44.2,194.5,84,26.6,58.6,55,127.9,135.1,27,118.7,96.5,83.8,201.8,93.2,123.2,176,161.4,141.8,25.8,63.5,119.5,168.5,69.8,118.8,99.8,92.8,139.3,105.1,124,164.4,124.1,125.1,211.3,196.3,172.6,277.8,114.1,114,25.1,89.7,51,146.9,145,63.5,216.1,126.3,120.3,167.2,133.1,90,40.7,64.2,247.6,138.1,144.9,63.2,114.5,230.6,162.9,45.3,47.6,108.7,79.4
"DuboisCounty",241.9,258,121,198.3,210.4,146.4,101.1,191.3,198.1,82.9,96.4,165.8,32.2,39.2,189.3,142.4,275,190.9,10.7,284.2,169.5,70.7,156.9,190.8,223.2,50,196.5,57.9,155,147.4,58.5,127.8,175.8,182.1,227.9,86.6,229.1,217.1,117.6,113.9,120.1,53.4,251.6,296.2,269.9,268.8,55.8,176.9,132,243,32.2,207,77,134.2,103.2,213.4,278,158.8,38.4,81.5,124.8,44.2,23.8,283.4,89.3,227.1,108.6,209.8,150.7,162.2,270.5,82.9,135,31.4,239.2,293.2,79.4,147.3,183.9,173,202.4,59.1,129.5,104.3,223,167.2,46,63.8,192.3,246,206.6,252.4
"ElkhartCounty",102.1,64.3,201.8,142.3,109.9,151.1,208.1,105.3,85.8,262.6,215.2,124,274.2,266.5,244.8,202.8,58.6,134.2,284.2,11.1,174.4,270.6,162.3,207.5,61.1,312.7,84.8,233.4,138.5,160.4,291,170.7,148.3,105,75,224.4,108.1,126.5,244.2,222,180.3,289.9,29,31.8,86.9,52,235.1,113.3,160,42.1,261.7,75.2,212.1,159.9,182.5,134.3,36,263.5,257.6,213.9,195.7,304.5,285.5,73.4,365.9,85.6,200.7,138.1,221.1,182.2,27,241.5,179.1,309.4,66.1,55.9,255.3,272.5,124.1,124.3,183.3,335.8,219,233.1,62.6,180.1,323.9,259.4,167.1,92.9,110.1,49.4
"FayetteCounty",87.7,115.5,60.8,151.6,68.1,84.9,80.9,126.8,127,118.8,115.5,101.7,156.1,155.9,46.2,39.4,138.2,52.7,169.5,174.4,7.5,126.8,131,23.9,144.5,213,85.4,127.9,76.3,44.5,147.1,78.2,39.6,103.4,95.2,83.7,167.6,62.9,87.7,63.8,56.4,190.2,143.6,163.4,208.4,206.3,115.6,65.4,59,164.3,147,128.3,97.4,109.7,81.2,171.7,145.3,74.3,139.5,105,119.2,186.4,174.8,221.9,264,159,107.3,48,55.9,18.2,191.8,97.7,36.9,206.1,171.1,156.5,155.6,83.4,122.5,94.3,16.1,233.9,132.2,133.4,113.6,148.5,220.7,115.6,25.4,83.5,145.1,119.6
"FloydCounty",205.4,241.2,71.3,209.8,193.6,143.1,87.6,188,192.1,13.7,128.3,162.5,45,86.2,121,92.7,258.1,174.1,70.7,270.6,126.8,6.3,184.1,121.5,209.6,108.9,179.6,103.2,141.4,130.6,21.8,131.3,136.9,168.5,211.1,59.6,225.8,180.6,48.3,64.2,96,101.9,238,279.4,266.6,265.5,63,160.1,115.2,229.4,70.1,193.4,87.4,162.8,121.1,229.9,261.2,89.5,44.5,106.6,172.3,61,93.3,280,138.7,224.1,131.9,170.5,81.4,113.3,256.9,33.2,95.7,80.8,236.2,276.4,123.9,78,180.6,159.4,133.1,108.5,185.3,144.9,209.4,201.6,95.3,31.8,150.9,229.1,203.3,235.6
"FountainCounty",172.1,160.1,115.3,49,140.5,46.5,114.7,66,78.9,176,57.8,56.4,177.4,135.8,167.3,125.3,177,121.1,156.9,162.3,131,184.1,10.3,142.8,101.3,138.6,115.8,98.8,68.5,91.6,204.4,58.8,111.4,89.8,132.1,137.9,83.5,147.3,157.6,135.5,90.9,115.8,140.9,187.8,107.4,124.2,138.3,107.1,76.2,121.1,135.7,96.3,115.3,24.3,85.7,64,165.8,185.9,160.8,79.9,28.7,207.7,137.1,131.4,191.8,92.2,51.7,140,143.6,113.7,148.6,154.9,101.6,195.1,111.8,195.3,81.2,195,36.8,82.2,146.2,161.6,39.1,55.2,112.2,19.4,174.8,172.9,136.4,176.1,62,146.9
"FranklinCounty",101.1,135.5,73,163.5,91.7,96.7,96.8,138.6,138.9,110.8,127.4,113.5,165.1,172.7,32.3,47.9,158.2,76.3,190.8,207.5,23.9,121.5,142.8,10.2,156.4,224.9,108.3,139.5,88.2,56.3,141.9,90,53.7,115.3,128.3,95.9,179.4,82.4,73.8,70.2,68.1,202.1,166.4,196.5,220.3,218.1,127.8,77.2,70.8,176.2,156.7,140.1,109,121.5,93.1,183.6,178.4,60.4,151.8,116.6,131.1,181.2,192.1,233.7,258.8,170.8,119.1,63,42,30.1,203.6,96.5,48.5,200.9,183,176.5,167.5,69.5,134.3,106.2,21.6,228.6,144.1,145.2,136.5,160.4,215.4,127.8,42.6,104.4,157,152.7
"FultonCounty",83.8,69.3,140.8,81.3,82.5,90.1,147.1,44.3,24.8,201.6,154.2,63,213.2,205.5,183.8,141.9,86.3,99.7,223.2,61.1,144.5,209.6,101.3,156.4,9.9,251.7,71.5,172.4,77.5,105.6,230,109.7,111,44,51.3,163.4,63.5,107.2,183.2,161,119.3,228.9,32.6,86.6,86.5,61.9,174.1,92.3,99,19.9,200.7,27.9,151.1,98.9,121.6,70.5,78.9,202.5,196.6,152.9,134.7,243.5,224.5,73,305,24.6,139.7,122.5,160.1,127.3,47.4,180.5,118.1,248.4,36.5,104.5,194.4,211.6,63.1,63.3,159.7,274.8,137.4,172.1,43.9,98.2,262.9,198.4,150.4,74.1,49.1,53
"GibsonCounty",275.6,291.6,140.9,180,244,174.9,123.6,219.9,226.7,121.1,99.7,194.3,80.7,54.1,227.5,169.7,308.6,224.6,50,312.7,213,108.9,138.6,224.9,251.7,11.5,230.1,67.4,183.5,181.1,96.7,152.4,209.5,210.7,261.5,123.8,214.6,250.8,155.8,171.6,142.6,34.1,280.1,329.8,238.4,266.1,92.9,210.5,160.3,271.5,69.3,235.5,99.5,143.4,119.8,195.1,311.7,197,95.2,94.2,111.9,82.4,29.3,262.5,54.8,229,128.4,243.4,188.9,195.8,299,140.6,183.6,58.1,267.8,326.9,61.2,185.5,173.5,201.5,228.2,24.6,111.3,86.1,251.5,148.9,37.8,118.2,225.9,279.6,198.8,286
"GrantCounty",59,65.5,110.9,102.9,26,68.8,117.2,62.7,54,171.6,132.6,61,186.5,182.9,146.3,104.3,82.4,35,196.5,84.8,85.4,179.6,115.8,108.3,71.5,230.1,10.5,149.2,48.9,61.2,200,89.5,59.3,30.4,35.4,133.4,118.8,54.5,150.8,128.7,89.3,207.3,58.3,103.7,159.7,133.3,147.4,32.9,69.1,91.3,174,41.7,124.4,97.2,98.3,123,85.5,164.9,169.9,129.7,130.6,216.8,201.8,144.4,283.3,85.9,119.6,57.9,122.6,83,118.8,150.6,80.6,221.6,98.1,100.7,172.7,174,73.7,37.6,97,253.1,143.6,150.4,28.3,111.4,236.2,168.5,78,53.4,80.5,59.8
"GreeneCounty",194.7,210.7,76.7,145.8,163.1,95.6,59.4,140.6,147.4,104,41.8,115,82.8,36.3,151.8,105.5,227.7,143.7,57.9,233.4,127.9,103.2,98.8,139.5,172.4,67.4,149.2,12,104.3,100.2,102.5,77.9,128.6,131.4,180.7,74.5,178.3,169.9,113.3,95.4,78.5,44.6,200.8,248.9,219.2,218,43.7,129.6,81,192.3,40.2,156.2,35.4,79.6,52.4,160.9,230.8,155.1,60.7,26.8,70.2,100.9,55.2,232.6,120.6,176.3,53.9,162.5,123.4,114.9,219.7,94.1,93.4,83,188.5,246,24,143.1,107.2,122.3,143.1,90.4,77,51.8,172.2,114.7,96.4,75,145,198.7,155.9,205.1
"HamiltonCounty",99.3,115.3,72.6,88.1,67.7,21.9,78.9,61.4,60.1,133.4,86,36.3,145,137.3,115.6,73.7,132.3,48.3,155,138.5,76.3,141.4,68.5,88.2,77.5,183.5,48.9,104.3,10.3,37.4,161.8,41.5,38.5,36.5,85.2,95.2,104,74.4,115,92.8,51.1,160.7,105.9,153.5,144.8,139.3,105.9,27.8,30.8,97.3,132.5,61.3,82.9,47.2,53.3,108.1,135.4,134.3,128.4,84.7,82.6,175.3,156.3,150.4,236.8,92,71.5,67.1,91.9,59.1,124.8,112.3,49.9,180.2,104.1,150.5,126.2,143.4,58.9,27.3,91.5,206.6,95.6,103.9,77.3,83.3,194.7,130.2,68.8,103.3,81.5,109.7
"HancockCounty",96.9,111.3,61.9,112.7,63.6,45.9,68.2,87.8,88.1,122.6,83.6,62.7,137.5,133.9,87.2,45.3,128.2,44.2,147.4,160.4,44.5,130.6,91.6,56.3,105.6,181.1,61.2,100.2,37.4,9,151,46.2,28.4,64.5,81.2,84.4,128.6,72.1,91.8,69.7,40.3,158.3,119.4,149.5,169.5,167.3,98.3,30.2,20,125.4,125,89.3,75.4,70.3,49.3,132.8,131.3,105.9,120.9,80.7,87.3,167.8,152.8,182.9,234.3,120,75.3,62,63.6,27.2,152.9,101.5,21.5,172.6,132.2,146.5,123.7,115,83.5,55.4,59.7,204.1,100.3,101.4,89.4,106.1,187.2,119.4,44.8,99.2,106.2,105.6
"HarrisonCounty",225.8,261.5,91.7,230.2,213.9,163.4,108,208.4,212.5,34,127.6,182.8,32.8,85.5,140.4,113.1,278.5,194.5,58.5,291,147.1,21.8,204.4,141.9,230,96.7,200,102.5,161.8,151,11.4,151.6,157.3,188.9,231.5,59.1,246.1,201,68.7,84.5,116.4,101.2,258.4,299.8,287,285.8,62.3,180.4,135.6,249.8,69.5,213.7,86.8,183.1,112.9,250.3,281.6,109.9,43.9,105.9,155.7,48.9,81.2,300.4,126.5,244.4,131.2,190.9,101.8,133.7,277.2,53.5,116.1,68.6,256.6,296.8,123.2,98.4,201,179.8,153.5,96.3,168.7,144.2,229.7,222,83.2,31.1,171.2,249.5,223.7,255.9
"HendricksCounty",135,151.1,62.5,90.5,103.4,23.8,61.9,68.7,84.6,123.2,54.9,43.2,117.8,111,114.4,72.5,168,84,127.8,170.7,78.2,131.3,58.8,90,109.7,152.4,89.5,77.9,41.5,46.2,151.6,10.4,74.6,68.6,121,85.1,106.4,110.2,104.8,82.7,38.1,129.6,138.1,189.3,147.3,146.2,78.7,70,23.6,129.5,105.3,93.4,55.7,37.5,26.9,110.6,171.1,133.1,101.2,58.4,42.3,148.1,129.9,160.7,205.6,114.2,33.2,102.9,90.8,60.9,157,102.2,48.8,152.9,125.7,186.3,95,142.2,61.3,59.5,93.4,175.4,55.3,72.7,109.4,76.3,188.6,120.1,91,139,84,145.4
"HenryCounty",72.5,99.1,70.9,132.5,42,65.7,96.6,95.5,93.6,128.9,112,70.4,165.9,162.3,82.5,49.6,116.1,26.6,175.8,148.3,39.6,136.9,111.4,53.7,111,209.5,59.3,128.6,38.5,28.4,157.3,74.6,10.2,70,69.1,93.8,148.4,47.7,96.1,73.9,68.7,186.7,117.5,137.4,189.3,172.8,126.7,29.5,48.4,130.8,153.4,94.2,103.8,90.1,77.7,152.6,119.2,110.6,149.3,109,115.7,196.6,181.2,202.7,262.7,125.5,103.7,37.5,67.1,28.4,158.3,107.8,47.7,201,137.6,134.4,152.1,119.7,103.3,57.6,56,232.5,128.7,129.8,87.5,125.8,215.6,125.7,32.2,68.3,126,93.5
"HowardCounty",82.6,89,99.7,75.1,49.6,49,106,32.5,26.6,160.5,113.2,35,172.1,164.5,142.7,100.8,106,58.6,182.1,105,103.4,168.5,89.8,115.3,44,210.7,30.4,131.4,36.5,64.5,188.9,68.6,70,8.8,59,122.3,91,78.1,142.1,119.9,78.2,187.8,72.4,127.2,131.9,105.8,133,51.2,57.9,63.9,159.7,27.8,110,72.7,80.5,95.2,97.4,161.4,155.6,111.8,109.7,202.5,183.4,116.9,263.9,58.5,98.6,81.4,119.1,86.2,91.3,139.4,77,207.3,70.7,124.3,153.3,170.5,45.9,22.3,118.6,233.7,124.1,131,43.8,79.6,221.8,157.3,109.3,77,53.1,78.4
"HuntingtonCounty",37.3,39.7,142.3,112.2,30.7,112.4,148.6,75.2,55.2,203.1,164.1,89.6,217.9,214.4,166.2,124.3,56.6,55,227.9,75,95.2,211.1,132.1,128.3,51.3,261.5,35.4,180.7,85.2,81.2,231.5,121,69.1,59,10.1,164.9,117,55.4,170.8,148.6,120.8,238.7,46.8,65.3,136.6,111.9,178.8,60.8,100.5,70.7,205.4,39.9,155.8,136.8,129.8,121.2,44.9,184.9,201.3,161.1,162.1,248.3,233.3,123.1,314.8,75.7,151,68.8,142.6,102.9,97.4,182,100.5,253.1,87.7,74.9,204.2,194,93.9,66.1,106.7,284.6,175.1,181.9,25.3,129.1,267.6,199.9,87.8,27.6,81.7,25.9
"JacksonCounty",178.9,195,28.2,163.6,147.4,96.9,41.4,141.8,145.9,51.5,99.6,116.3,68.6,77,79,49.6,211.9,127.9,86.6,224.4,83.7,59.6,137.9,95.9,163.4,123.8,133.4,74.5,95.2,84.4,59.1,85.1,93.8,122.3,164.9,11.7,179.6,154.1,43.3,21.1,49.8,92.7,191.8,233.2,220.4,219.3,32.1,113.9,69,183.2,60.9,147.2,58.7,116.6,74.9,183.7,215,80.8,52,77.9,126.1,98.3,96.4,233.9,161.1,177.9,114.2,146.8,49.1,70.2,210.7,30.5,52.6,118.1,190,230.2,95.2,76.5,134.4,113.2,107.5,130.9,139.1,116.2,163.1,155.4,132.6,28.1,107.8,182.9,157.1,189.4
"JasperCounty",149.5,142.1,157,49.4,138,83.4,156.4,58.8,63.8,217.7,160.1,72.6,219.1,211.4,206.9,164.9,159.1,135.1,229.1,108.1,167.6,225.8,83.5,179.4,63.5,214.6,118.8,178.3,104,128.6,246.1,106.4,148.4,91,117,179.6,12.2,154.6,199.3,177.2,132.6,191.8,98,142.4,46,57.5,180,129,109.7,75.1,206.6,81.2,157,76.9,127.4,21.3,127.9,225.5,202.5,158.8,110.4,249.4,213.1,50.4,267.8,40.6,104.3,158,183.2,150.3,88.8,196.6,141.2,254.2,48.2,163.8,157.2,234.6,50.9,98.4,182.8,237.6,107.7,131.2,97.1,68.8,250.9,214.6,173.4,139.8,35.9,118.4
"JayCounty",25.8,60.1,114.6,138.7,37.2,101.6,137.8,108.6,101.7,172.6,153.3,83.6,207.1,203.6,104.9,93.3,82.9,27,217.1,126.5,62.9,180.6,147.3,82.5,106.9,250.8,54.5,169.9,74.4,72.1,201,110.2,47.7,78.1,55.4,154.1,154.6,10.1,139.8,117.6,110,227.9,107.1,111.9,195.4,172.2,168,51.3,89.7,130.9,194.6,78.3,145,126,119,158.8,97.3,133,190.5,150.3,151.3,237.4,222.5,183.3,304,133.6,140.2,24.8,110.8,72.1,157.7,151.5,91.4,242.3,145.7,101.1,193.4,142.1,109.5,60.1,63.9,273.8,164.3,171.1,73,133.9,256.8,169.4,50.7,38.9,128.2,85
"JeffersonCounty",164.6,200.9,43.7,183.4,134.1,116.7,71.3,161.6,165.7,37.6,142.2,136.1,91.9,108.4,61.8,50.5,217.8,118.7,117.6,244.2,87.7,48.3,157.6,73.8,183.2,155.8,150.8,113.3,115,91.8,68.7,104.8,96.1,142.1,170.8,43.3,199.3,139.8,9.8,22.5,69.6,124.1,211.6,239.1,240.2,239.1,70.9,119.8,88.8,203,92.4,166.9,88.8,136.3,94.7,203.5,220.9,48.1,67.6,109.1,145.9,108,119.7,253.6,185.6,197.6,134,129.7,33.7,72.5,230.5,23.4,73.2,127.7,209.8,236.1,134,36.6,154.2,133,85.4,155.4,158.9,160,182.9,175.2,142.3,43.6,110.1,160.4,176.9,195.3
"JenningsCounty",142.4,178.7,21.5,161.2,112,94.5,49.1,139.4,143.5,56.2,120,113.9,93.5,97.8,58.2,29.7,195.6,96.5,113.9,222,63.8,64.2,135.5,70.2,161,171.6,128.7,95.4,92.8,69.7,84.5,82.7,73.9,119.9,148.6,21.1,177.2,117.6,22.5,10,47.4,113.5,189.4,216.9,218,216.9,53,97.6,66.6,180.8,81.8,144.8,66.6,114.2,72.6,181.3,198.7,60.1,76.9,86.9,123.7,123.8,117.2,231.5,201.4,175.5,111.8,107.5,28.3,50.3,208.3,30.1,51,143.6,187.6,213.9,116.1,56.2,132.1,110.8,81.8,171.3,136.7,137.8,160.8,153,158.1,53,87.9,138.3,154.7,173.1
"JohnsonCounty",134.8,150.9,27.2,116.7,103.2,49.9,31.5,94.9,101.8,88,64.3,69.3,110.1,106.5,88.1,46.2,167.8,83.8,120.1,180.3,56.4,96,90.9,68.1,119.3,142.6,89.3,78.5,51.1,40.3,116.4,38.1,68.7,78.2,120.8,49.8,132.6,110,69.6,47.4,9.2,119.8,147.7,189.1,173.5,172.3,71,69.8,24.9,139.1,97.6,103,48,69.6,26.1,136.8,170.9,106.8,93.5,55.6,79.2,155.7,125.4,186.9,195.8,133.7,56.1,102.7,64.5,43,166.6,66.9,22,145.3,145.9,186.1,104.4,103.4,87.5,69.1,71.6,165.7,92.2,82.2,119,108.5,159.8,84.8,85.1,138.8,110.2,145.2
"KnoxCounty",252.8,268.8,118.1,157.2,221.2,152.1,100.8,197.1,203.9,114.1,76.8,171.5,81.3,23,171.4,142.1,285.8,201.8,53.4,289.9,190.2,101.9,115.8,202.1,228.9,34.1,207.3,44.6,160.7,158.3,101.2,129.6,186.7,187.8,238.7,92.7,191.8,227.9,124.1,113.5,119.8,11.8,257.3,307,215.6,243.3,61.8,187.7,137.5,248.7,38.3,212.7,76.7,120.6,97,172.3,288.9,165.3,58.7,71.4,89.1,96.5,33.7,239.7,87.3,206.2,105.6,220.6,141.6,173,276.2,102.4,160.8,77.8,244.9,304,38.3,153.8,150.7,178.7,205.4,57.2,88.4,63.3,228.7,126.1,70.4,83.3,203.1,256.8,175.9,263.2
"KosciuskoCounty",82.7,44.9,169.2,120.9,76.1,118.5,175.5,83.9,64,230,182.6,102.6,241.6,233.9,212.2,170.3,61.8,100.3,251.6,29,140.5,238,140.9,173.6,32.6,280.1,58.4,200.8,105.9,126.5,258.4,138.1,114.4,72.4,46.8,191.8,98,107.1,211.6,189.4,147.7,257.3,12.1,53.3,90.5,65.9,202.5,86.8,127.4,24.6,229.1,48.7,179.5,138.5,149.9,103,39.3,230.9,225,181.3,174.3,271.9,252.9,77,333.4,57.1,168.1,118.7,188.6,148.3,51.4,208.9,146.5,276.8,54,80.1,222.8,240,102.7,91.7,163.9,303.2,177,200.5,36.1,137.8,291.3,226.8,133.2,73.6,90.5,21.2
"LaGrangeCounty",87.6,50.1,210.6,167.8,99,180.7,216.9,130.8,111.3,271.4,232.3,149.5,286.2,282.6,234.5,192.5,40.7,123.2,296.2,31.8,163.4,279.4,187.8,196.5,86.6,329.8,103.7,248.9,153.5,149.5,299.8,189.3,137.4,127.2,65.3,233.2,142.4,111.9,239.1,216.9,189.1,307,53.3,10.1,112.4,77.5,247.1,129.1,168.8,67.7,273.7,94,224.1,205.1,198,159.9,21.6,253.2,269.6,229.4,230.4,316.5,301.5,104.9,383,111.1,219.3,127.1,210.8,171.2,52.5,250.3,168.8,321.4,91.7,24.7,272.4,262.3,149.6,134.4,168.7,352.9,243.3,250.2,79.4,205.6,335.9,268.2,156.1,82,135.6,41.3
"LakeCounty",172.5,134.6,197.8,75.1,165.8,124.3,197.2,99.7,99.4,258.6,163.3,113.4,259.9,235.6,247.7,205.8,144.9,176,269.9,86.9,208.4,266.6,107.4,220.3,86.5,238.4,159.7,219.2,144.8,169.5,287,147.3,189.3,131.9,136.6,220.4,46,195.4,240.2,218,173.5,215.6,90.5,112.4,12.9,40,220.8,169.8,150.5,67.5,247.4,114.3,197.8,117.8,168.3,48.6,122.4,266.4,243.3,199.6,134.3,290.3,236.9,23.5,291.6,67.5,145.1,198.8,224.1,191.2,67.6,237.5,182,295.1,57.5,142.3,181,275.5,91.8,139.2,223.6,261.5,131.5,155.1,124.1,92.6,274.7,255.4,214.3,163.3,76.8,110.9
"LaPorteCounty",147.8,110,196.7,102.8,141.1,123.2,196.1,89.9,74.7,257.5,199.8,112.3,258.8,251.1,245.6,203.6,110,161.4,268.8,52,206.3,265.5,124.2,218.1,61.9,266.1,133.3,218,139.3,167.3,285.8,146.2,172.8,105.8,111.9,219.3,57.5,172.2,239.1,216.9,172.3,243.3,65.9,77.5,40,12.7,219.7,154.1,149.4,42.9,246.3,89.7,196.7,116.7,167.1,74.5,87.4,264.3,242.2,198.5,151.1,289.1,264.6,20.9,319.3,51.5,144,184.3,221.9,189.1,32.7,236.4,179.9,293.9,32.8,107,208.7,273.3,90.6,125.1,221.5,289.1,159.2,182.7,99.5,120.3,302.4,254.3,212.2,138.6,67.5,86.3
"LawrenceCounty",192.8,208.9,60.1,164,161.3,97.3,52,142.2,149,63.8,68.8,116.7,42.6,46.1,110.9,81.5,225.9,141.8,55.8,235.1,120.4,63,138.3,127.8,174.1,92.9,147.4,43.7,105.9,98.3,62.3,78.7,126.7,133,178.8,32.1,180,168,70.9,53,71,61.8,202.5,247.1,220.8,219.7,10.9,127.8,82.9,193.9,30.1,157.9,27.9,98,54,184.1,228.9,112.8,26,47.1,96.8,72.9,65.5,234.3,130.2,178,72.4,160.7,81,113.1,221.4,53.9,85.9,80.9,190.1,244.1,64.4,100.7,134.9,123.9,139.4,100.1,109.8,85.3,173.9,155.8,95.5,34.8,143.2,196.9,157.5,203.3
