"County","Density"
"AdamsCounty",56.3
"AllenCounty",86.9
"BartholomewCounty",67.9
"BentonCounty",21.8
"BlackfordCounty",40.2
"BooneCounty",48.6
"BrownCounty",48.9
"CarrollCounty",44.3
"CassCounty",43.5
"ClarkCounty",71.5
"ClayCounty",46.5
"ClintonCounty",41.6
"CrawfordCounty",35.1
"DaviessCounty",45.1
"DearbornCounty",92.9
"DecaturCounty",37.8
"DeKalbCounty",51
"DelawareCounty",78
"DuboisCounty",49.9
"ElkhartCounty",112.8
"FayetteCounty",43.3
"FloydCounty",141.2
"FountainCounty",28.9
"FranklinCounty",53.7
"FultonCounty",37.2
"GibsonCounty",37.4
"GrantCounty",52.1
"GreeneCounty",46.3
"HamiltonCounty",60.8
"HancockCounty",79
"HarrisonCounty",70.3
"HendricksCounty",79.3
"HenryCounty",56.4
"HowardCounty",69.9
"HuntingtonCounty",50.9
"JacksonCounty",37.5
"JasperCounty",41.2
"JayCounty",31.2
"JeffersonCounty",42.1
"JenningsCounty",46.6
"JohnsonCounty",73
"KnoxCounty",27.7
"KosciuskoCounty",72.9
"LaGrangeCounty",90.1
"LakeCounty",74.9
"LaPorteCounty",71.3
"LawrenceCounty",62.1
"MadisonCounty",79.9
"MarionCounty",146.4
"MarshallCounty",69
"MartinCounty",22.4
"MiamiCounty",47.6
"MonroeCounty",83.8
"MontgomeryCounty",40.8
"MorganCounty",90
"NewtonCounty",35.5
"NobleCounty",80.2
"OhioCounty",71.1
"OrangeCounty",41.8
"OwenCounty",56
"ParkeCounty",29.5
"PerryCounty",28.2
"PikeCounty",38.4
"PorterCounty",105.1
"PoseyCounty",43.2
"PulaskiCounty",25.1
"PutnamCounty",52
"RandolphCounty",36.2
"RipleyCounty",54.1
"RushCounty",26.3
"StJosephCounty",72.8
"ScottCounty",69.6
"ShelbyCounty",57.8
"SpencerCounty",52.8
"StarkeCounty",62.8
"SteubenCounty",76.7
"SullivanCounty",38.1
"SwitzerlandCounty",48.1
"TippecanoeCounty",57.5
"TiptonCounty",38.1
"UnionCounty",46.6
"VanderburghCounty",109.3
"VermillionCounty",38.7
"VigoCounty",72.1
"WabashCounty",40.6
"WarrenCounty",18.1
"WarrickCounty",48.1
"WashingtonCounty",42.6
"WayneCounty",60.6
"WellsCounty",38.9
"WhiteCounty",33.6
"WhitleyCounty",72
