"SCTG","Payload","N"
1,12.2468285097997,7
2,13.4053771517099,84
3,10.0579479122818,17
4,6.64045257929541,11
5,15.3568767024241,5
6,5.92686271885712,9
7,11.0517832140996,22
8,10.2941785681165,6
9,12.5303662811142,0
10,12.7559630168912,4
11,14.7601763932821,1
12,13.7683722707381,44
13,14.57148120894,3
14,19.7343283246373,0
15,21.9759244651015,3
16,14.0428921341034,0
17,24.3515448152176,2
18,11.7399553387464,3
19,7.93839400500825,15
20,14.6935220971178,3
21,5.12434471305138,1
22,12.3981086517133,10
23,13.0010261050525,10
24,8.08007484107098,13
25,17.5629107877451,6
26,9.41760689955349,23
27,16.5382555630002,1
28,13.1552492378572,5
29,5.51350467372506,1
30,10.307661585523,3
31,12.6496665493585,24
32,12.9344314106079,26
33,5.49018229544027,26
34,14.2322723096382,23
35,6.91185118160956,1
36,9.46488853521035,35
37,17.1134794135312,1
38,4.51852664992441,1
39,8.16516040574048,14
40,8.45253065398721,128
41,9.65070937804726,39
43,16.2260504081315,25
99,10.8934974922361,1
