Value,Area,Fwy,Art,Other
BusVmt,Bloomington,,,
TruckVmt,Bloomington,,,
BusVmt,Chicago,,,
TruckVmt,Chicago,,,
BusVmt,Cincinnati,,,
TruckVmt,Cincinnati,,,
BusVmt,Evansville,,,
TruckVmt,Evansville,,,
BusVmt,FortWayne,,,
TruckVmt,FortWayne,,,
BusVmt,Indianapolis,,,
TruckVmt,Indianapolis,,,
BusVmt,Kokomo,,,
TruckVmt,Kokomo,,,
BusVmt,Lafayette,,,
TruckVmt,Lafayette,,,
BusVmt,LouisvilleJeffersonCounty,,,
TruckVmt,LouisvilleJeffersonCounty,,,
BusVmt,SouthBend,,,
TruckVmt,SouthBend,,,
BusVmt,TerreHaute,,,
TruckVmt,TerreHaute,,,
