County,Region,Msa
AdamsCounty,,NA
AllenCounty,,FortWayne
BartholomewCounty,,Indianapolis
BentonCounty,,NA
BlackfordCounty,,NA
BooneCounty,,Indianapolis
BrownCounty,,NA
CarrollCounty,,NA
CassCounty,,NA
ClarkCounty,,LouisvilleJeffersonCounty
ClayCounty,,TerreHaute
ClintonCounty,,NA
CrawfordCounty,,NA
DaviessCounty,,NA
DearbornCounty,,Cincinnati
DecaturCounty,,NA
DeKalbCounty,,NA
DelawareCounty,,Indianapolis
DuboisCounty,,NA
ElkhartCounty,,SouthBend
FayetteCounty,,NA
FloydCounty,,LouisvilleJeffersonCounty
FountainCounty,,NA
FranklinCounty,,NA
FultonCounty,,NA
GibsonCounty,,NA
GrantCounty,,NA
GreeneCounty,,NA
HamiltonCounty,,Indianapolis
HancockCounty,,Indianapolis
HarrisonCounty,,LouisvilleJeffersonCounty
HendricksCounty,,Indianapolis
HenryCounty,,NA
HowardCounty,,Kokomo
HuntingtonCounty,,NA
JacksonCounty,,NA
JasperCounty,,NA
JayCounty,,NA
JeffersonCounty,,NA
JenningsCounty,,NA
JohnsonCounty,,Indianapolis
KnoxCounty,,NA
KosciuskoCounty,,NA
LaGrangeCounty,,NA
LakeCounty,,Chicago
LaPorteCounty,,Chicago
LawrenceCounty,,NA
MadisonCounty,,Indianapolis
MarionCounty,,Indianapolis
MarshallCounty,,NA
MartinCounty,,NA
MiamiCounty,,Kokomo
MonroeCounty,,Bloomington
MontgomeryCounty,,NA
MorganCounty,,Indianapolis
NewtonCounty,,NA
NobleCounty,,NA
OhioCounty,,NA
OrangeCounty,,NA
OwenCounty,,NA
ParkeCounty,,NA
PerryCounty,,NA
PikeCounty,,NA
PorterCounty,,Chicago
PoseyCounty,,Evansville
PulaskiCounty,,NA
PutnamCounty,,NA
RandolphCounty,,Indianapolis
RipleyCounty,,NA
RushCounty,,NA
StJosephCounty,,SouthBend
ScottCounty,,NA
ShelbyCounty,,Indianapolis
SpencerCounty,,NA
StarkeCounty,,NA
SteubenCounty,,NA
SullivanCounty,,NA
SwitzerlandCounty,,NA
TippecanoeCounty,,Lafayette
TiptonCounty,,Kokomo
UnionCounty,,NA
VanderburghCounty,,Evansville
VermillionCounty,,NA
VigoCounty,,TerreHaute
WabashCounty,,NA
WarrenCounty,,NA
WarrickCounty,,Evansville
WashingtonCounty,,NA
WayneCounty,,NA
WellsCounty,,NA
WhiteCounty,,NA
WhitleyCounty,,FortWayne
