Msa,DvmtFactor
FortWayne,0.85
SouthBend,0.85
Lafayette,0.75
Chicago,0.95
Cincinnati,0.70
Indianapolis,1.00
Kokomo,0.75
LouisvilleJeffersonCounty,0.80
TerreHaute,0.75
Evansville,0.80
Bloomington,0.75
