"FAFZone","AutaugaCounty","BaldwinCounty","BarbourCounty","BibbCounty","BlountCounty","BullockCounty","ButlerCounty","CalhounCounty","ChambersCounty","CherokeeCounty","ChiltonCounty","ChoctawCounty","ClarkeCounty","ClayCounty","CleburneCounty","CoffeeCounty","ColbertCounty","ConecuhCounty","CoosaCounty","CovingtonCounty","CrenshawCounty","CullmanCounty","DaleCounty","DallasCounty","DeKalbCounty","ElmoreCounty","EscambiaCounty","EtowahCounty","FayetteCounty","FranklinCounty","GenevaCounty","GreeneCounty","HaleCounty","HenryCounty","HoustonCounty","JacksonCounty","JeffersonCounty","LamarCounty","LauderdaleCounty","LawrenceCounty","LeeCounty","LimestoneCounty","LowndesCounty","MaconCounty","MadisonCounty","MarengoCounty","MarionCounty","MarshallCounty","MobileCounty","MonroeCounty","MontgomeryCounty","MorganCounty","PerryCounty","PickensCounty","PikeCounty","RandolphCounty","RussellCounty","StClairCounty","ShelbyCounty","SumterCounty","TalladegaCounty","TallapoosaCounty","TuscaloosaCounty","WalkerCounty","WashingtonCounty","WilcoxCounty","WinstonCounty"
"20",1342.42068965517,1476.12068965517,1392.0724137931,1307.36551724138,1264.87931034483,1368.77586206897,1372.1275862069,1305.3,1357.19655172414,1277.94482758621,1316.29655172414,1388.44827586207,1422.86896551724,1331.61034482759,1313.88965517241,1392.31034482759,1301.55862068966,1389.01379310345,1321.07586206897,1402.90344827586,1370.64482758621,1249.44482758621,1394.90344827586,1337.67586206897,1263.24137931034,1337.96206896552,1410.92068965517,1285.89655172414,1322.26551724138,1312.43793103448,1409.20344827586,1352.85172413793,1365.69310344828,1406.96896551724,1409.70344827586,1239.33103448276,1278.47586206897,1311.90344827586,1292.69655172414,1318.62413793103,1357.26206896552,1220.4,1356.76551724138,1361.64482758621,1226.55517241379,1385.57586206897,1303.9275862069,1253.05862068966,1452.75172413793,1444.54137931034,1341.9275862069,1232.61379310345,1328.72068965517,1336.14482758621,1372.29310344828,1330.16551724138,1389.45862068966,1289.68620689655,1295.30344827586,1364.72068965517,1312.61034482759,1333.3724137931,1351.71034482759,1337.28620689655,1416.44137931034,1421.99655172414,1326.19310344828
"41",1688.4,1643.3,1775.7,1665.6,1709.2,1740.2,1699,1753.45,1779,1776.6,1698,1581.7,1618.1,1761.8,1762.8,1749.6,1624.1,1707.9,1739.6,1753,1713.4,1695.8,1776.7,1649.9,1754.85,1705.85,1694.1,1747,1644,1651,1792.7,1597.5,1622.2,1795.1,1799.3,1741,1683.55,1625.6,1641.7,1650.1,1757.3,1676.65,1688.1,1730.8,1691.4,1602.3,1636.3,1722.45,1621.2,1667.8,1695.8,1677.25,1636.7,1625.55,1742.1,1780.8,1779.9,1724,1694.6,1573.7,1726.65,1758.3,1637.05,1671.8,1610.7,1635.5,1665.6
"42",1610.15,1565.1,1697.5,1587.4,1645.9,1662,1620.8,1675.25,1700.8,1698.4,1619.8,1503.5,1539.9,1683.55,1684.6,1671.4,1575.15,1629.7,1661.35,1674.8,1635.2,1652.05,1698.45,1571.7,1705.4,1627.65,1615.9,1668.8,1574.75,1602.05,1714.5,1519.3,1544.05,1716.85,1721.05,1692.1,1605.35,1553.8,1592.8,1601.2,1679.1,1627.7,1609.9,1652.6,1642.5,1524.1,1587.35,1675.3,1542.95,1589.65,1617.6,1628.35,1558.55,1547.35,1663.95,1702.65,1701.65,1645.75,1616.4,1495.5,1648.45,1680.15,1558.85,1611.85,1532.5,1557.3,1616.7
"49",1655.85454545455,1603.69090909091,1726.89090909091,1623.40909090909,1638.15454545455,1691.35454545455,1650.16363636364,1692.2,1727.67272727273,1688.44545454545,1655.12727272727,1532.85454545455,1569.30909090909,1700.5,1701.56363636364,1700.79090909091,1548.63636363636,1648.84545454545,1681.11818181818,1693.95454545455,1664.6,1618.95454545455,1727.82727272727,1601.09090909091,1679.55454545455,1674.41818181818,1649.6,1657.61818181818,1574.07272727273,1575.53636363636,1735.58181818182,1548.69090909091,1573.40909090909,1746.24545454545,1750.40909090909,1665.56363636364,1621.40909090909,1556.38181818182,1566.26363636364,1574.67272727273,1715.89090909091,1601.19090909091,1639.30909090909,1681.96363636364,1615.96363636364,1553.46363636364,1560.85454545455,1646.53636363636,1575.40909090909,1619,1646.96363636364,1601.83636363636,1587.90909090909,1573.77272727273,1693.30909090909,1719.6,1742.52727272727,1662.71818181818,1638.70909090909,1524.85454545455,1668.17272727273,1699.87272727273,1590.81818181818,1599.35454545455,1561.87272727273,1586.66363636364,1590.16363636364
"50",470.82,515.531333333333,573.612666666667,429.438,424.764,538.078,530.136666666667,486.263333333333,530.996666666666,474.277333333333,460.771333333333,421.506,459.558,494.994666666666,496.05,567.919333333333,328.824666666667,535.97,477.322,570.502666666667,534.075333333333,391.956,576.258,469.615333333333,459.753333333333,493.912666666666,538.035333333333,442.765333333333,355.552666666666,350.728666666667,594.042,391.049333333333,411.426666666667,594.673333333334,598.851333333333,445.518,415.027333333334,337.526666666667,346.11,354.628666666667,528.67,381.058,511.144666666667,527.221333333333,395.919333333333,428.652666666667,336.567333333333,422.925333333333,479.856666666667,499.127333333333,495.396666666667,381.656666666667,443.084666666667,363.81,541.746,514.081333333334,559.434666666667,456.975333333333,436.706,398.148666666667,464.406,496.084666666667,391.403333333334,378.053333333333,451.403333333333,465.604666666667,365.070666666667
"61",2068.9,2026.9,2149.1,2039.3,2032.76,2113.54,2072.34,2099.9,2142.64,2088.1,2071.14,1955.04,1991.52,2108.2,2109.24,2122.98,1933.22,2076.74,2090.88,2121.84,2086.8,1999.8,2150.02,2023.3,2064.52,2086.88,2077.72,2056.68,1973.42,1960.12,2176.36,1970.88,1995.62,2168.42,2172.62,2050.16,2028.4,1957.62,1950.86,1959.26,2131.68,1985.78,2061.52,2104.16,2000.54,1975.64,1945.42,2029.86,1995.88,2041.2,2069.16,1986.42,2010.12,1988.64,2115.52,2127.28,2157.84,2070.4,2052.22,1947.04,2077.98,2109.68,2007.22,1991.92,1984.06,2008.84,1974.76
"62",2446.41428571429,2383.9,2501.35714285714,2401,2375.81428571429,2465.8,2419.27142857143,2447.95714285714,2491.84285714286,2422.74285714286,2429.42857142857,2301.97142857143,2338.44285714286,2452.78571428571,2453.8,2479.02857142857,2276.25714285714,2405.77142857143,2436.68571428571,2450.87142857143,2433.74285714286,2342.85714285714,2502.75714285714,2370.22857142857,2402.81428571429,2462.48571428571,2423.91428571429,2392.41428571429,2312.78571428571,2300.21428571429,2503.98571428571,2317.82857142857,2342.55714285714,2521.17142857143,2525.35714285714,2376.82857142857,2372.45714285714,2296.98571428571,2289.94285714286,2302.32857142857,2491.94285714286,2329.44285714286,2408.44285714286,2456.21428571429,2341.9,2322.6,2284.78571428571,2375.98571428571,2348.24285714286,2388.14285714286,2421.91428571429,2329.45714285714,2357.05714285714,2333.98571428571,2468.25714285714,2471.88571428571,2523.47142857143,2412.58571428571,2397.37142857143,2293.97142857143,2423.78571428571,2455.47142857143,2357.74285714286,2331.28571428571,2331,2355.77142857143,2317.51428571429
"63",2001.7,1956.6,2089,1978.9,2037.4,2053.5,2012.3,2066.8,2092.3,2089.9,2011.3,1895,1931.4,2075.1,2076.1,2062.9,1966.7,2021.2,2052.9,2066.3,2026.7,2043.6,2090,1963.2,2096.9,2019.2,2007.4,2060.3,1966.3,1993.6,2106,1910.8,1935.6,2108.4,2112.6,2083.6,1996.9,1945.3,1984.3,1992.7,2070.6,2019.2,2001.4,2044.1,2034,1915.6,1978.9,2066.8,1934.5,1981.2,2009.1,2019.9,1950.1,1938.9,2055.5,2094.1,2093.2,2037.3,2007.9,1887,2040,2071.6,1950.4,2003.4,1924,1948.8,2008.2
"64",2396.99166666667,2336.31666666667,2448.43333333333,2352.93333333333,2329.90833333333,2412.90833333333,2371.70833333333,2398.85833333333,2446.225,2378.33333333333,2383.8,2254.40833333333,2290.84166666667,2407.175,2408.225,2422.33333333333,2230.39166666667,2358.2,2391.1,2403.29166666667,2386.13333333333,2296.95,2449.39166666667,2322.63333333333,2361.675,2416.85833333333,2376.325,2346.50833333333,2270.59166666667,2257.29166666667,2447.13333333333,2270.23333333333,2294.95833333333,2467.79166666667,2471.96666666667,2347.31666666667,2326.96666666667,2254.76666666667,2248.01666666667,2256.43333333333,2446.325,2282.93333333333,2360.84166666667,2403.51666666667,2297.70833333333,2275.01666666667,2242.6,2327.01666666667,2300.63333333333,2340.54166666667,2368.51666666667,2283.575,2309.45,2291.75,2414.85833333333,2426.25,2477.84166666667,2369.39166666667,2351.74166666667,2246.40833333333,2378.175,2409.84166666667,2315.525,2289.1,2283.43333333333,2308.20833333333,2271.90833333333
"65",2255,2194.3,2306.4,2210.9,2187.9,2270.9,2229.7,2256.85,2304.2,2236.3,2241.8,2112.4,2148.85,2265.15,2266.2,2280.3,2088.35,2216.2,2249.1,2261.3,2244.15,2154.95,2307.35,2180.6,2219.65,2274.85,2234.3,2204.5,2128.6,2115.3,2305.15,2128.2,2152.95,2325.8,2329.95,2205.3,2184.95,2112.75,2106,2114.4,2304.3,2140.9,2218.85,2261.5,2155.7,2133,2100.6,2185,2158.65,2198.55,2226.5,2141.55,2167.45,2149.75,2272.85,2284.25,2335.85,2227.35,2209.7,2104.4,2236.15,2267.85,2173.5,2147.1,2141.4,2166.2,2129.9
