Msa,DvmtFactor
Dothan,0.75
Mobile,0.85
Pensacola,0.75
Tuscaloosa,0.75
AnnistonOxford,0.80
Montgomery,0.80
Florence,0.75
Columbus,0.80
Decatur,0.75
Birmingham,1.00
Huntsville,0.85
