"County","Metropolitan","Town","Rural"
"AutaugaCounty",0.58,0,0.42
"BaldwinCounty",0.3492,0.228,0.4228
"BarbourCounty",0,0.3221,0.6779
"BibbCounty",0,0.3165,0.6835
"BlountCounty",0.0067,0.0938,0.8995
"BullockCounty",0,0.4863,0.5137
"ButlerCounty",0,0.2877,0.7123
"CalhounCounty",0.6321,0.0309,0.337
"ChambersCounty",0,0.5085,0.4915
"CherokeeCounty",0,0.1426,0.8574
"ChiltonCounty",0,0.1326,0.8674
"ChoctawCounty",0,0,1
"ClarkeCounty",0,0.2402,0.7598
"ClayCounty",0,0,1
"CleburneCounty",0,0,1
"CoffeeCounty",0,0.528,0.472
"ColbertCounty",0.5524,0.0087,0.4389
"ConecuhCounty",0,0.1905,0.8095
"CoosaCounty",0,0,1
"CovingtonCounty",0,0.3035,0.6965
"CrenshawCounty",0,0,1
"CullmanCounty",0,0.2676,0.7324
"DaleCounty",0.051,0.4402,0.5089
"DallasCounty",0,0.5436,0.4564
"DeKalbCounty",0,0.0987,0.9013
"ElmoreCounty",0.3399,0.1182,0.5419
"EscambiaCounty",0,0.3649,0.6351
"EtowahCounty",0.6142,0.011,0.3748
"FayetteCounty",0,0.1977,0.8023
"FranklinCounty",0,0.2963,0.7037
"GenevaCounty",0.0045,0.0991,0.8964
"GreeneCounty",0,0,1
"HaleCounty",0,0.1083,0.8917
"HenryCounty",0,0.1225,0.8775
"HoustonCounty",0.6509,0.011,0.338
"JacksonCounty",0,0.2298,0.7702
"JeffersonCounty",0.8999,0.0018,0.0983
"LamarCounty",0,0,1
"LauderdaleCounty",0.507,0,0.493
"LawrenceCounty",0.0021,0.085,0.9129
"LeeCounty",0.7259,0,0.2741
"LimestoneCounty",0.1224,0.3015,0.5761
"LowndesCounty",0,0,1
"MaconCounty",0,0.4445,0.5555
"MadisonCounty",0.826,0.0096,0.1644
"MarengoCounty",0,0.3068,0.6932
"MarionCounty",0,0.1115,0.8885
"MarshallCounty",0,0.4673,0.5327
"MobileCounty",0.7898,0.01,0.2002
"MonroeCounty",0,0.2096,0.7904
"MontgomeryCounty",0.8951,0,0.1049
"MorganCounty",0.5889,0.0252,0.386
"PerryCounty",0,0,1
"PickensCounty",0,0,1
"PikeCounty",0,0.4832,0.5168
"RandolphCounty",0,0.1866,0.8134
"RussellCounty",0.6459,0,0.3541
"StClairCounty",0.1061,0.1659,0.728
"ShelbyCounty",0.757,0.0135,0.2294
"SumterCounty",0,0,1
"TalladegaCounty",0.0593,0.3826,0.5582
"TallapoosaCounty",0,0.2577,0.7423
"TuscaloosaCounty",0.7147,0.0303,0.2551
"WalkerCounty",0,0.2591,0.7409
"WashingtonCounty",0,0,1
"WilcoxCounty",0,0,1
"WinstonCounty",0,0.1511,0.8489
