Value,Area,Fwy,Art,Other
BusVmt,AnnistonOxford,,,
TruckVmt,AnnistonOxford,,,
BusVmt,Birmingham,,,
TruckVmt,Birmingham,,,
BusVmt,Columbus,,,
TruckVmt,Columbus,,,
BusVmt,Decatur,,,
TruckVmt,Decatur,,,
BusVmt,Dothan,,,
TruckVmt,Dothan,,,
BusVmt,Florence,,,
TruckVmt,Florence,,,
BusVmt,Huntsville,,,
TruckVmt,Huntsville,,,
BusVmt,Mobile,,,
TruckVmt,Mobile,,,
BusVmt,Montgomery,,,
TruckVmt,Montgomery,,,
BusVmt,Pensacola,,,
TruckVmt,Pensacola,,,
BusVmt,Tuscaloosa,,,
TruckVmt,Tuscaloosa,,,
