"County","Density"
"AutaugaCounty",39.9
"BaldwinCounty",51.9
"BarbourCounty",21.2
"BibbCounty",25.5
"BlountCounty",80.5
"BullockCounty",9.1
"ButlerCounty",19.3
"CalhounCounty",76.1
"ChambersCounty",29.2
"CherokeeCounty",41
"ChiltonCounty",55.2
"ChoctawCounty",15.2
"ClarkeCounty",15.9
"ClayCounty",23.1
"CleburneCounty",26.7
"CoffeeCounty",35.9
"ColbertCounty",42.2
"ConecuhCounty",12.6
"CoosaCounty",17.7
"CovingtonCounty",25.8
"CrenshawCounty",22.8
"CullmanCounty",82.9
"DaleCounty",48.1
"DallasCounty",20.8
"DeKalbCounty",82.9
"ElmoreCounty",73.5
"EscambiaCounty",26.1
"EtowahCounty",84.9
"FayetteCounty",22.1
"FranklinCounty",35.6
"GenevaCounty",42
"GreeneCounty",14
"HaleCounty",21.9
"HenryCounty",27.1
"HoustonCounty",65.2
"JacksonCounty",38.5
"JeffersonCounty",91.2
"LamarCounty",24.1
"LauderdaleCounty",72.4
"LawrenceCounty",45.6
"LeeCounty",72.6
"LimestoneCounty",91.5
"LowndesCounty",15.8
"MaconCounty",19.9
"MadisonCounty",91.7
"MarengoCounty",15
"MarionCounty",37.1
"MarshallCounty",94.6
"MobileCounty",82.6
"MonroeCounty",17.9
"MontgomeryCounty",35.6
"MorganCounty",89.1
"PerryCounty",14.7
"PickensCounty",22.4
"PikeCounty",25.8
"RandolphCounty",32.3
"RussellCounty",30.4
"StClairCounty",100.1
"ShelbyCounty",67.9
"SumterCounty",15.2
"TalladegaCounty",65.9
"TallapoosaCounty",43.8
"TuscaloosaCounty",40.5
"WalkerCounty",64.8
"WashingtonCounty",16.3
"WilcoxCounty",13.1
"WinstonCounty",34.1
