County,Region,Msa
ClarkeCounty,,NA
ClayCounty,,NA
CleburneCounty,,NA
CoffeeCounty,,NA
ColbertCounty,,Florence
ConecuhCounty,,NA
CoosaCounty,,NA
CovingtonCounty,,NA
CrenshawCounty,,NA
CullmanCounty,,NA
DaleCounty,,Dothan
DallasCounty,,NA
DeKalbCounty,,NA
ElmoreCounty,,Montgomery
EscambiaCounty,,NA
EtowahCounty,,AnnistonOxford
FayetteCounty,,NA
FranklinCounty,,NA
GenevaCounty,,Dothan
GreeneCounty,,NA
HaleCounty,,NA
HenryCounty,,NA
HoustonCounty,,Dothan
JacksonCounty,,NA
JeffersonCounty,,Birmingham
LamarCounty,,NA
LauderdaleCounty,,Florence
LawrenceCounty,,Decatur
LeeCounty,,Columbus
LimestoneCounty,,Huntsville
LowndesCounty,,NA
MaconCounty,,NA
AutaugaCounty,,Montgomery
MadisonCounty,,Huntsville
MarengoCounty,,NA
BibbCounty,,NA
MarionCounty,,NA
MarshallCounty,,NA
MobileCounty,,Mobile
MonroeCounty,,NA
MontgomeryCounty,,Montgomery
MorganCounty,,Decatur
PerryCounty,,NA
PickensCounty,,NA
PikeCounty,,NA
RandolphCounty,,NA
RussellCounty,,Columbus
StClairCounty,,Birmingham
ShelbyCounty,,Birmingham
SumterCounty,,NA
TalladegaCounty,,AnnistonOxford
TallapoosaCounty,,NA
TuscaloosaCounty,,Tuscaloosa
WalkerCounty,,NA
WashingtonCounty,,NA
WilcoxCounty,,NA
BaldwinCounty,,Pensacola
BarbourCounty,,NA
WinstonCounty,,NA
BlountCounty,,Birmingham
BullockCounty,,NA
ButlerCounty,,NA
CalhounCounty,,AnnistonOxford
ChambersCounty,,NA
CherokeeCounty,,NA
ChiltonCounty,,NA
ChoctawCounty,,NA
