Value,Area,Fwy,Art,Other
BusVmt,BaltimoreColumbiaTowson,0.468651292,0.322723127,0.208625581
BusVmt,CaliforniaLexington,0.026480671,0.696890885,0.276628443
BusVmt,Cumberland,0.368625351,0.434011511,0.197363137
BusVmt,Hagerstown,0.480580267,0.329190044,0.190229689
BusVmt,PhiladelphiaCamdenWilmington,0.368704615,0.430077301,0.201218084
BusVmt,Salisbury,0.324598149,0.369605455,0.305796396
BusVmt,WashingtonArlingtonAlexandria,0.448201578,0.330602217,0.221196205
TruckVmt,BaltimoreColumbiaTowson,0.533268389,0.321357006,0.145374605
TruckVmt,CaliforniaLexington,0.024957231,0.773947297,0.201095473
TruckVmt,Cumberland,0.432559218,0.436910236,0.130530546
TruckVmt,Hagerstown,0.560336028,0.314763112,0.12490086
TruckVmt,PhiladelphiaCamdenWilmington,0.423215463,0.444509238,0.132275298
TruckVmt,Salisbury,0.33656785,0.414137596,0.249294554
TruckVmt,WashingtonArlingtonAlexandria,0.511692632,0.334556456,0.153750912
