Msa,Artlnmi
BaltimoreColumbiaTowson,3724.459
CaliforniaLexington,99.805
Cumberland,172.873
Hagerstown,227.296
PhiladelphiaCamdenWilmington,114.914
Salisbury,180.639
WashingtonArlingtonAlexandria,2937.66
