"County","AlleganyCounty","AnneArundelCounty","BaltimoreCounty","CalvertCounty","CarolineCounty","CarrollCounty","CecilCounty","CharlesCounty","DorchesterCounty","FrederickCounty","GarrettCounty","HarfordCounty","HowardCounty","KentCounty","MontgomeryCounty","PrinceGeorgesCounty","QueenAnnesCounty","StMarysCounty","SomersetCounty","TalbotCounty","WashingtonCounty","WicomicoCounty","WorcesterCounty","Baltimorecity"
"AlleganyCounty",10.7,157.2,148.9,189.1,201,125.1,191.7,179,217.6,98.8,48.5,174.8,134.2,205.3,122.7,147.5,187.7,202.8,267.5,199.1,69.1,244.2,264.7,145.5
"AnneArundelCounty",157.2,12.5,33.1,48.5,53.4,52.7,67,50.9,70,69.8,201.3,50.1,24,57.7,43.6,26.5,40.1,71.1,119.9,51.5,91.8,96.6,117.1,25.6
"BaltimoreCounty",148.9,32.4,13.4,75.6,76.2,35,47.8,73.4,92.9,61.6,193.1,30.9,28.1,84.3,50.2,49.5,63,98.1,142.8,74.4,83.5,119.5,140,7.2
"CalvertCounty",189.1,48.5,76.3,9.6,86.2,95.9,110.2,30.9,102.8,101.8,233.3,93.3,66.5,90.5,67.6,45.3,72.9,24.1,152.7,84.3,123.8,129.4,149.9,68.8
"CarolineCounty",201,53.4,76.9,86.2,9.3,96.5,79,91.9,33.2,113.7,245.1,100.5,70.9,42.9,84.6,67.5,25.3,108.7,70.9,30.3,135.6,43.2,64.4,69.4
"CarrollCounty",125.1,52.7,35,95.9,96.5,10.9,77.8,93.6,113.1,28.9,169.2,60.9,38.9,100.8,42.3,68.1,83.2,118.4,163,94.6,59.7,139.7,160.2,36.3
"CecilCounty",191.7,67,47.8,110.2,79,77.8,10.5,107.9,95.6,104.4,235.8,25.1,70.9,40.2,93,83.5,56.5,132.7,135.2,77.1,126.3,107.5,120.1,47.1
"CharlesCounty",179,50.9,74.1,30.9,91.9,93.6,107.9,13,108.6,91.7,223.1,91.1,62.4,96.3,57.4,36.3,78.7,33.5,158.4,90,113.6,135.1,155.6,66.5
"DorchesterCounty",217.6,70,93.6,102.8,33.2,113.1,95.6,108.6,16.1,130.3,261.7,117.1,87.5,59.6,101.3,84.1,42,125.3,51.1,23.8,152.2,27.8,56,86.1
"FrederickCounty",98.8,69.8,61.6,101.8,113.7,28.9,104.4,91.7,130.3,13.3,143,87.5,46.9,118,35.4,60.2,100.4,115.5,180.2,111.8,33.5,156.9,177.4,58.2
"GarrettCounty",48.5,201.3,193.1,233.3,245.1,169.2,235.8,223.1,261.7,143,13.2,218.9,178.3,249.4,166.8,191.6,231.9,246.9,311.6,243.2,113.2,288.3,308.8,189.6
"HarfordCounty",174.8,50.1,30.9,93.3,100.5,60.9,25.1,91.1,117.1,87.5,218.9,11.8,54,61.6,76.1,66.6,78,115.8,157.8,98.6,109.4,130.1,144.5,30.3
"HowardCounty",134.2,24,28.1,66.5,70.9,38.9,70.9,62.4,87.5,46.9,178.3,54,8.2,75.2,23.3,30.9,57.6,86.2,137.4,69,68.8,114.1,134.6,21.7
"KentCounty",205.3,57.7,84.3,90.5,42.9,100.8,40.2,96.3,59.6,118,249.4,61.6,75.2,10.5,88.9,71.8,21.2,113,109.4,41,139.9,86.1,106.6,73.7
"MontgomeryCounty",122.7,43.6,50.2,67.6,84.6,42.3,93,57.4,101.3,35.4,166.8,76.1,23.3,88.9,11.6,25.9,71.4,81.3,151.1,82.7,57.3,127.8,148.3,43.6
"PrinceGeorgesCounty",147.5,26.5,50.2,45.3,67.5,68.1,83.5,36.3,84.1,60.2,191.6,66.6,30.9,71.8,25.9,11.5,54.2,60.1,134,65.6,82.1,110.7,131.2,42.7
"QueenAnnesCounty",187.7,40.1,63.7,72.9,25.3,83.2,56.5,78.7,42,100.4,231.9,78,57.6,21.2,71.4,54.2,11.6,95.4,91.9,23.5,122.3,68.6,89.1,56.2
"StMarysCounty",202.8,71.1,98.8,24.1,108.7,118.4,132.7,33.5,125.3,115.5,246.9,115.8,86.2,113,81.3,60.1,95.4,14.2,175.2,106.8,137.4,151.9,172.4,91.3
"SomersetCounty",267.5,119.9,143.5,152.7,70.9,163,133.4,158.4,51.1,180.2,311.6,157.8,137.4,109.4,151.1,134,91.9,175.2,12.7,73.6,202.1,25.1,39.6,135.9
"TalbotCounty",199.1,51.5,75.1,84.3,30.3,94.6,77.1,90,23.8,111.8,243.2,98.6,69,41,82.7,65.6,23.5,106.8,73.6,11.2,133.7,50.3,78.5,67.5
"WashingtonCounty",69.1,91.8,83.5,123.8,135.6,59.7,126.3,113.6,152.2,33.5,113.2,109.4,68.8,139.9,57.3,82.1,122.3,137.4,202.1,133.7,11.1,178.8,199.3,80.1
"WicomicoCounty",244.2,96.6,120.2,129.4,43.2,139.7,107.5,135.1,27.8,156.9,288.3,131.9,114.1,86.1,127.8,110.7,68.6,151.9,25.1,50.3,178.8,10.3,30.7,112.6
"WorcesterCounty",264.7,117.1,140.7,149.9,64.4,160.2,120.1,155.6,56,177.4,308.8,144.5,134.6,106.6,148.3,131.2,89.1,172.4,39.6,78.5,199.3,30.7,13.6,133.1
"Baltimorecity",145.6,25.7,7.2,68.9,69.5,36.3,47.1,66.7,86.2,58.3,189.8,30.3,21.8,73.9,43.8,42.8,56.3,91.4,136.1,67.7,80.2,112.8,133.3,4.9
