Msa,Fwylnmi
BaltimoreColumbiaTowson,1655.08
CaliforniaLexington,1.66
Cumberland,64.452
Hagerstown,84.64
PhiladelphiaCamdenWilmington,34.415
Salisbury,107.305
WashingtonArlingtonAlexandria,1143.773
