Msa,Bus,Rail,,Total
BaltimoreColumbiaTowson,16,5,,21
CaliforniaLexington,0,0,,0
Cumberland,8,0,,8
Hagerstown,5,0,,5
PhiladelphiaCamdenWilmington,0,0,,0
Salisbury,27,0,,27
WashingtonArlingtonAlexandria,8,0,,8
