"SCTG","Payload","N"
1,12.2468285097997,7
2,13.8582887794452,29
3,4.69382871166178,26
4,11.2798150119434,5
5,5.03242715715146,14
6,1.07835713228832,12
7,6.37284292306624,25
8,10.2941785681165,9
9,12.5303662811142,1
10,12.7559630168912,3
11,14.7601763932821,5
12,11.9183169616631,36
13,14.57148120894,2
14,19.7343283246373,0
15,21.9759244651015,1
16,14.0428921341034,0
17,24.3515448152176,2
18,6.89515409189522,11
19,9.3205966594687,5
20,14.6935220971178,1
21,5.12434471305138,0
22,9.93234871988097,3
23,12.2174191704086,6
24,9.66549316294252,1
25,17.5629107877451,2
26,5.52948993095381,19
27,16.5382555630002,2
28,13.1552492378572,5
29,5.51350467372506,3
30,10.307661585523,2
31,14.9354150236955,36
32,12.2402812906222,8
33,2.16658010676228,48
34,5.8279858921848,22
35,6.91185118160956,8
36,4.56624882274537,15
37,17.1134794135312,0
38,4.51852664992441,1
39,2.09563005405516,19
40,4.83965599703754,177
41,4.01782657646352,45
43,16.6344819186119,7
99,10.8934974922361,5
