MedTruck,HvyTruck,Bus
0.020881868,0.020881868,0.000237782
0.068955457,0.068955457,0.087627009
0.109348036,0.109348036,0.174185409
0.147932088,0.147932088,0.245217458
0.248541307,0.248541307,0.316781211
0.330903165,0.330903165,0.388054518
0.418058167,0.418058167,0.454308162
0.472510906,0.472510906,0.544256059
0.518990269,0.518990269,0.618086284
0.563078389,0.563078389,0.663172516
0.615026478,0.615026478,0.696815841
0.675873822,0.675873822,0.73905358
0.721450542,0.721450542,0.777819795
0.758472486,0.758472486,0.81267072
0.789039077,0.789039077,0.840570353
0.81212227,0.81212227,0.859499998
0.844930152,0.844930152,0.882259586
0.864113167,0.864113167,0.896183113
0.878789687,0.878789687,0.907233735
0.890075959,0.890075959,0.916760622
0.906137353,0.906137353,0.926959438
0.924433846,0.924433846,0.943455429
0.940052897,0.940052897,0.956063691
0.955514163,0.955514163,0.964343799
0.972429794,0.972429794,0.970114203
0.98458148,0.98458148,0.974268759
0.990332099,0.990332099,0.977351927
0.992958151,0.992958151,0.979723451
0.994648218,0.994648218,0.981621413
0.995436576,0.995436576,0.983203647
0.996957717,0.996957717,0.988802431
0.998478859,0.998478859,0.994401216
1,1,1
