"FAFZone","AlleganyCounty","AnneArundelCounty","BaltimoreCounty","CalvertCounty","CarolineCounty","CarrollCounty","CecilCounty","CharlesCounty","DorchesterCounty","FrederickCounty","GarrettCounty","HarfordCounty","HowardCounty","KentCounty","MontgomeryCounty","PrinceGeorgesCounty","QueenAnnesCounty","StMarysCounty","SomersetCounty","TalbotCounty","WashingtonCounty","WicomicoCounty","WorcesterCounty","Baltimorecity"
"11",760.27,795.07,795.35,785.53,836.08,771.52,838.1,741.16,852.75,745.27,733.79,821.25,780.57,840.42,760.52,759.78,822.85,756.18,850.875,834.21,731.77,857.065,855.635,791.98
"12",998.3,987.4,997.15,960.5,1028.4,1002.85,1035.15,929.6,1045.1,976.6,971.85,1018.3,973.6,1032.8,955.35,965.75,1015.2,944.6,1018.25,1026.55,963.1,1030.325,1025.475,990.025
"19",808.541818181818,831.132727272727,836.546363636363,814.250909090909,872.141818181818,825.06,877.098181818182,775.372727272727,888.798181818182,798.818181818182,789.138181818182,860.238181818182,817.121818181818,876.470909090909,797.907272727273,802.521818181818,858.909090909091,790.392727272727,884.045454545455,870.265454545455,785.318181818182,889.078181818182,889.48,831.318181818182
"20",1251,1341.86896551724,1336.47931034483,1362.83103448276,1370.58275862069,1320.86206896552,1357.48620689655,1356.18620689655,1381.47931034483,1303.66551724138,1242.11034482759,1353.43793103448,1326.8,1373.41034482759,1319.28965517241,1335.53103448276,1361.89655172414,1371.8,1414.16206896552,1369.34482758621,1284.14482758621,1398.89310344828,1412.32413793103,1334.27068965517
"41",2176,2328.85,2320.55,2360.8,2372.65,2296.75,2364.25,2341.8,2389.25,2270.5,2169.15,2346.45,2305.85,2376.95,2294.35,2319.15,2359.35,2356.8,2439.15,2370.75,2240.7,2415.85,2436.35,2317.2
"42",2160.15,2347,2347.3,2340.6,2388,2323.45,2390.05,2292.85,2404.65,2297.2,2153.3,2373.15,2332.5,2392.35,2312.45,2311.7,2374.8,2307.9,2441.3,2386.15,2224.85,2431.25,2448.55,2343.925
"49",2125.41818181818,2285.57272727273,2279.66363636364,2307.09090909091,2328.61818181818,2255.80909090909,2323.06363636364,2266.33636363636,2345.27272727273,2229.58181818182,2118.54090909091,2305.54545454545,2264.89090909091,2332.93636363636,2251.06363636364,2268.9,2315.38181818182,2281.36363636364,2391.51818181818,2326.72727272727,2190.10454545454,2371.84545454545,2391.46818181819,2276.28181818182
"50",974.452666666667,1091.82866666667,1090.574,1090.87666666667,1133.322,1066.738,1133.40066666667,1044.44066666667,1149.97,1040.49933333333,950.104666666667,1116.46466666667,1075.806,1137.65333333334,1057.27666666667,1060.45266666667,1120.08333333333,1058.82866666667,1197.37933333334,1131.44466666667,1022.80866666667,1175.94533333333,1195.38133333333,1087.20866666667
"61",2504.2,2656.98,2648.74,2688.96,2700.8,2624.92,2692.4,2650.92,2717.42,2598.66,2497.32,2674.62,2633.98,2705.12,2622.52,2647.3,2687.54,2665.92,2767.32,2698.92,2568.86,2744.02,2764.52,2645.37
"62",2592.88571428571,2731.58571428571,2723.35714285714,2763.57142857143,2775.38571428571,2699.5,2755.4,2753.41428571429,2792.04285714286,2673.27142857143,2579.28571428571,2749.21428571429,2708.58571428571,2779.7,2697.1,2721.88571428571,2762.15714285714,2777.24285714286,2841.9,2773.5,2643.47142857143,2818.6,2839.1,2719.97142857143
"63",2538.3,2691.1,2682.9,2723.1,2734.9,2659.1,2726.6,2684.4,2751.6,2632.8,2531.4,2708.8,2668.1,2739.3,2656.7,2681.4,2721.7,2699.4,2801.5,2733.1,2603,2778.2,2798.7,2679.55
"64",2702.97916666667,2842.85,2834.625,2874.83333333333,2886.66666666667,2810.775,2867.63333333334,2862.38333333334,2903.31666666666,2784.54166666667,2689.95833333333,2860.51666666667,2819.85,2890.99166666666,2808.39166666667,2833.16666666667,2873.41666666667,2885.46666666666,2953.19166666666,2884.775,2754.75,2929.9,2950.39166666667,2831.25833333333
"65",2659.3,2812.1,2803.9,2844.1,2855.9,2780.05,2847.55,2806.1,2872.6,2753.8,2652.45,2829.8,2789.1,2860.25,2777.65,2802.4,2842.7,2821.1,2922.45,2854.05,2724,2899.15,2919.65,2800.525
"69",2650.55645161291,2792.6435483871,2784.39838709677,2824.62903225807,2836.46129032258,2760.58064516129,2819.46451612903,2808.2064516129,2853.09677419355,2734.32580645161,2639.14516129032,2810.2935483871,2769.6435483871,2840.78709677419,2758.18064516129,2782.96129032258,2823.20161290322,2829.19677419355,2902.99032258064,2834.58064516129,2704.52903225806,2879.69032258064,2900.18064516129,2781.04032258064
"81",1538.65833333333,1690.27916666666,1682.05833333333,1722.275,1734.0875,1658.20416666667,1724.72083333334,1712.12916666667,1750.75,1631.975,1531.20416666667,1707.95416666667,1667.27916666666,1738.40416666666,1655.79583333333,1680.5875,1720.86666666667,1735.95833333333,1800.6125,1732.20416666667,1602.175,1777.30416666666,1797.79583333333,1678.68333333333
"89",1617.20961538462,1768.48076923077,1760.26153846154,1800.47884615385,1812.2923076923,1736.4173076923,1801.92115384615,1790.34423076923,1828.95576923077,1710.17307692307,1609.55576923077,1786.15384615384,1745.48076923077,1816.63076923077,1734.025,1758.7923076923,1799.06153846154,1814.16346153846,1878.82884615385,1810.4173076923,1680.37884615385,1855.53076923077,1876.025,1756.88942307693
"91",438.266666666667,330.833333333333,311.566666666667,374,313.033333333333,363,267.233333333333,371.733333333333,340.333333333333,369.7,482.4,288.1,334.7,289.866666666667,356.8,347.333333333333,301.233333333333,396.533333333333,368.433333333333,321.833333333333,375.166666666667,341.633333333333,354.233333333333,310.933333333333
"92",395.366666666667,290.266666666667,271.066666666667,333.466666666667,272.466666666667,320.066666666667,226.666666666667,331.166666666667,299.766666666667,326.766666666667,439.466666666667,247.566666666667,294.166666666667,249.366666666667,316.266666666667,306.766666666667,260.666666666667,355.966666666667,327.866666666667,281.266666666667,332.266666666667,301.066666666667,313.666666666667,270.366666666667
"99",459.45,351.15,331.95,394.35,333.35,384.15,287.55,392.05,360.7,390.85,503.55,308.45,355.05,310.25,377.15,367.65,321.55,416.85,388.75,342.15,396.35,361.95,374.55,331.25
"101",218.3,82.15,83.45,120.1,50.45,113.55,39.7,121.85,78.2,130.95,262.4,61.9,92.85,45.975,110.7,97.45,51.875,142.65,103,67.7,152.9,75.75,91.45,82.85
"109",235.1,87.5,110.75,120.3,34.8,130.6,90.5,126.1,48.3,147.8,279.2,114.9,105,77.1,118.8,101.6,59.5,142.8,58.9,55.3,169.7,31.2,32.2,103.65
"111",139.9,32.2,46.85,51.5,73.2,59.5,84.9,35.5,89.8,52.6,184,68,27.9,77.5,18.3,8.9,59.9,59.3,139.7,71.3,74.5,116.4,136.9,39.75
"121",826.483333333333,774.666666666667,794.383333333333,747.766666666667,815.683333333333,789.883333333333,831.683333333333,716.816666666667,802.941666666666,782.966666666667,830.183333333333,814.833333333333,770.85,819.983333333333,752.583333333333,752.983333333333,802.45,731.85,764.841666666666,813.783333333333,804.866666666667,776.941666666666,772.125,787.266666666667
"122",1068.7,1016.85714285714,1036.57857142857,989.957142857143,1057.9,1032.1,1073.9,959.028571428571,1045.17857142857,1025.14285714286,1072.4,1057.02857142857,1013.04285714286,1062.22857142857,994.8,995.2,1044.62857142857,974.028571428571,1007.07142857143,1056.01428571429,1047.08571428571,1019.17857142857,1014.35,1029.47142857143
"123",922.128571428571,870.285714285714,890.021428571429,843.385714285714,911.285714285714,885.557142857143,927.328571428571,812.457142857143,898.607142857143,878.585714285714,925.828571428571,910.471428571429,866.471428571429,915.657142857143,848.242857142857,848.6,898.071428571429,827.471428571429,860.507142857143,909.442857142857,900.485714285714,872.607142857143,867.742857142857,882.907142857143
"124",988.5,936.675,956.35,909.75,977.7,951.9,993.7,878.8,964.95,944.95,992.2,976.8,932.825,982,914.6,915,964.425,893.825,926.85,975.8,966.9,938.95,934.15,949.2625
"129",961.038372093024,935.033720930232,952.901162790698,908.126744186046,976.05465116279,949.408139534884,990.336046511628,877.196511627906,968.803488372093,937.210465116279,962.629069767442,973.477906976744,929.356976744186,980.387209302326,911.11511627907,913.356976744186,962.812790697674,892.210465116279,933.829069767442,974.173255813954,942.061627906977,945.929069767442,941.096511627907,945.783720930232
"131",656.80641025641,669.276923076923,679.115384615385,643.074358974359,710.28717948718,677.664102564103,717.812820512821,611.71282051282,726.808974358975,651.423076923077,650.291025641026,700.953846153846,655.902564102564,714.617948717949,637.464102564103,646.192307692308,697.05641025641,626.730769230769,699.479487179487,708.410256410256,637.923076923077,711.270512820513,706.747435897436,671.80641025641
"132",675.1,637.666666666667,657.366666666667,610.733333333333,678.683333333333,652.883333333333,694.683333333333,579.8,665.941666666666,645.933333333333,678.8,677.8,633.816666666667,683,615.583333333333,615.983333333333,665.416666666667,594.8,627.841666666666,676.783333333333,655.4,639.941666666666,635.133333333333,650.241666666667
