"County","Density"
"AdamsCounty",15.6
"AlamosaCounty",8
"ArapahoeCounty",14
"ArchuletaCounty",5.3
"BacaCounty",1.5
"BentCounty",1.6
"BoulderCounty",41
"BroomfieldCounty",33.1
"ChaffeeCounty",6.6
"CheyenneCounty",1
"ClearCreekCounty",23
"ConejosCounty",6.4
"CostillaCounty",2.9
"CrowleyCounty",7.4
"CusterCounty",5.8
"DeltaCounty",17.3
"DenverCounty",0
"DoloresCounty",1.9
"DouglasCounty",39.7
"EagleCounty",6.3
"ElbertCounty",12.5
"ElPasoCounty",28.7
"FremontCounty",8.2
"GarfieldCounty",4.6
"GilpinCounty",36.3
"GrandCounty",6.6
"GunnisonCounty",2.8
"HinsdaleCounty",0.8
"HuerfanoCounty",2.4
"JacksonCounty",0.9
"JeffersonCounty",61.1
"KiowaCounty",0.8
"KitCarsonCounty",1.9
"LakeCounty",6.1
"LaPlataCounty",18.3
"LarimerCounty",14.1
"LasAnimasCounty",1.3
"LincolnCounty",2.1
"LoganCounty",3.6
"MesaCounty",5.7
"MineralCounty",0.8
"MoffatCounty",0.8
"MontezumaCounty",8.5
"MontroseCounty",8.4
"MorganCounty",7.2
"OteroCounty",5.2
"OurayCounty",8.2
"ParkCounty",7.4
"PhillipsCounty",6.5
"PitkinCounty",7.9
"ProwersCounty",2.9
"PuebloCounty",9.7
"RioBlancoCounty",2.1
"RioGrandeCounty",8.2
"RouttCounty",4.5
"SaguacheCounty",1.9
"SanJuanCounty",1.8
"SanMiguelCounty",5.7
"SedgwickCounty",4.3
"SummitCounty",9.2
"TellerCounty",26.6
"WashingtonCounty",1.9
"WeldCounty",13.2
"YumaCounty",2.8
