"SCTG","Medium","Heavy","N_Medium","N_Heavy"
1,0.137483093430365,0.862516906569635,4,11
2,0.466981862881634,0.533018137118366,56,40
3,0.624346493052161,0.375653506947839,47,17
4,0.403291702116802,0.596708297883198,14,12
5,0.0763722238391646,0.923627776160835,0,3
6,0.122889011275152,0.877110988724848,13,1
7,0.338009492048949,0.661990507951051,21,15
8,0.077667816716856,0.922332183283144,2,10
9,0.134342821827482,0.865657178172518,0,0
10,0.511086890555729,0.488913109444271,6,0
11,0.532061763030145,0.467938236969855,8,0
12,0.521789361646372,0.478210638353628,75,46
13,0.574043705293349,0.425956294706651,4,1
14,0.296984478905375,0.703015521094625,0,0
15,0.254762106060935,0.745237893939064,1,1
16,0.292247289852626,0.707752710147374,0,0
17,0.0512840369554983,0.948715963044502,0,6
18,0.595712731390873,0.404287268609127,5,0
19,0.581603200366766,0.418396799633234,11,5
20,0.329692303802877,0.670307696197123,6,4
21,0.48565728180227,0.51434271819773,0,0
22,0.634547071721447,0.365452928278553,6,0
23,0.220262195048898,0.779737804951102,5,2
24,0.143309869173441,0.856690130826559,2,0
25,0.172627570488467,0.827372429511533,5,3
26,0.612971762796644,0.387028237203356,22,10
27,0.0664638925860683,0.933536107413932,0,0
28,0.13006920545436,0.86993079454564,4,1
29,0.499509853805331,0.500490146194669,1,5
30,0.122154702334916,0.877845297665084,2,0
31,0.643404042722056,0.356595957277944,71,34
32,0.659962094682272,0.340037905317728,10,2
33,0.629883563601491,0.370116436398509,32,12
34,0.113571659913853,0.886428340086147,9,23
35,0.267488635666556,0.732511364333444,4,0
36,0.236691752933356,0.763308247066644,7,10
37,0.0687078468861626,0.931292153113837,1,3
38,0.301345390186715,0.698654609813286,3,0
39,0.920831499291693,0.0791685007083073,13,1
40,0.597778348567502,0.402221651432498,164,43
41,0.765353354228655,0.234646645771345,45,10
43,0.0764939746002898,0.92350602539971,6,26
99,0.878821084251169,0.121178915748831,26,4
