"SCTG","Payload","N"
1,7.94336716645516,15
2,15.579159768426,96
3,11.556761271427,64
4,9.6720471973124,26
5,15.3568767024241,3
6,4.30237496105906,14
7,9.56865277566064,36
8,14.1776582930424,12
9,12.5303662811142,0
10,12.7559630168912,6
11,14.7601763932821,8
12,15.2180625839453,121
13,14.57148120894,5
14,19.7343283246373,0
15,21.9759244651015,2
16,14.0428921341034,0
17,24.3515448152176,6
18,11.7399553387464,5
19,6.73397471585762,16
20,8.9896059287839,10
21,5.12434471305138,0
22,9.93234871988097,6
23,12.2174191704086,7
24,9.66549316294252,2
25,17.5629107877451,8
26,4.28425835871451,32
27,16.5382555630002,0
28,13.1552492378572,5
29,5.51350467372506,6
30,10.307661585523,2
31,15.4725595924775,105
32,2.86791247701087,12
33,3.78546610766877,44
34,13.7807022834568,32
35,6.91185118160956,4
36,5.48075973216172,17
37,17.1134794135312,4
38,4.51852664992441,3
39,2.97300709408243,14
40,5.35561030629728,207
41,6.34125534417784,55
43,13.4303732448571,32
99,9.75341840397511,30
