County,Region,Msa
LakeCounty,,NA
LaPlataCounty,,NA
LarimerCounty,,DenverAurora
LasAnimasCounty,,NA
LincolnCounty,,NA
LoganCounty,,NA
MesaCounty,,GrandJunction
MineralCounty,,NA
MoffatCounty,,NA
MontezumaCounty,,NA
MontroseCounty,,NA
MorganCounty,,NA
OteroCounty,,NA
OurayCounty,,NA
ParkCounty,,NA
PhillipsCounty,,NA
PitkinCounty,,NA
ProwersCounty,,NA
PuebloCounty,,Pueblo
RioBlancoCounty,,NA
RioGrandeCounty,,NA
RouttCounty,,NA
SaguacheCounty,,NA
SanJuanCounty,,NA
SanMiguelCounty,,NA
SedgwickCounty,,NA
SummitCounty,,NA
TellerCounty,,NA
WashingtonCounty,,NA
WeldCounty,,DenverAurora
YumaCounty,,NA
AdamsCounty,,DenverAurora
AlamosaCounty,,NA
ArapahoeCounty,,DenverAurora
ArchuletaCounty,,NA
BacaCounty,,NA
BentCounty,,NA
BoulderCounty,,DenverAurora
BroomfieldCounty,,DenverAurora
ChaffeeCounty,,NA
CheyenneCounty,,NA
ClearCreekCounty,,NA
ConejosCounty,,NA
CostillaCounty,,NA
CrowleyCounty,,NA
CusterCounty,,NA
DeltaCounty,,NA
DenverCounty,,DenverAurora
DoloresCounty,,NA
DouglasCounty,,DenverAurora
EagleCounty,,NA
ElbertCounty,,NA
ElPasoCounty,,DenverAurora
FremontCounty,,NA
GarfieldCounty,,NA
GilpinCounty,,NA
GrandCounty,,NA
GunnisonCounty,,NA
HinsdaleCounty,,NA
HuerfanoCounty,,NA
JacksonCounty,,NA
JeffersonCounty,,DenverAurora
KiowaCounty,,NA
KitCarsonCounty,,NA
