Value,Area,Fwy,Art,Other
BusVmt,DenverAurora,,,
TruckVmt,DenverAurora,,,
BusVmt,GrandJunction,,,
TruckVmt,GrandJunction,,,
BusVmt,Pueblo,,,
TruckVmt,Pueblo,,,
