"FAFZone","AdamsCounty","AlamosaCounty","ArapahoeCounty","ArchuletaCounty","BacaCounty","BentCounty","BoulderCounty","BroomfieldCounty","ChaffeeCounty","CheyenneCounty","ClearCreekCounty","ConejosCounty","CostillaCounty","CrowleyCounty","CusterCounty","DeltaCounty","DenverCounty","DoloresCounty","DouglasCounty","EagleCounty","ElbertCounty","ElPasoCounty","FremontCounty","GarfieldCounty","GilpinCounty","GrandCounty","GunnisonCounty","HinsdaleCounty","HuerfanoCounty","JacksonCounty","JeffersonCounty","KiowaCounty","KitCarsonCounty","LakeCounty","LaPlataCounty","LarimerCounty","LasAnimasCounty","LincolnCounty","LoganCounty","MesaCounty","MineralCounty","MoffatCounty","MontezumaCounty","MontroseCounty","MorganCounty","OteroCounty","OurayCounty","ParkCounty","PhillipsCounty","PitkinCounty","ProwersCounty","PuebloCounty","RioBlancoCounty","RioGrandeCounty","RouttCounty","SaguacheCounty","SanJuanCounty","SanMiguelCounty","SedgwickCounty","SummitCounty","TellerCounty","WashingtonCounty","WeldCounty","YumaCounty"
"11",1334.39,1334.07,1329.89,1429.47,1115.9,1169.97,1358.33,1343.18,1422.21,1177.93,1373.71,1377.6,1323.57,1232.84,1338.57,1584.41,1333.6,1564.6,1320.04,1455.91,1280.18,1314.75,1355.85,1512.48,1370.05,1430.18,1463.44,1434.42,1275.1,1474.57,1342.88,1176.1,1185.59,1440.83,1484.52,1398.61,1235.52,1258.45,1289.36,1578.91,1403.24,1573.51,1523.14,1538.26,1327.18,1209.89,1567.47,1391.69,1266.03,1530.04,1130.9,1309.71,1585.42,1365.69,1506.27,1392.62,1532.8,1614.53,1244.95,1408.42,1349.61,1276.94,1368.23,1233.73
"12",1424.35,1307.25,1419.85,1400.95,1135.45,1207.05,1448.3,1433.15,1368.3,1267.9,1463.65,1349.05,1296.75,1260.2,1311.75,1514.35,1423.575,1536.05,1374.45,1545.85,1370.15,1329.55,1327.5,1602.45,1460.05,1520.15,1430.35,1407.6,1248.25,1564.55,1432.85,1216,1275.55,1415.2,1456,1488.55,1208.65,1348.45,1411.6,1668.85,1376.45,1663.45,1494.6,1505.15,1393.95,1246.95,1538.95,1396.65,1346.45,1620,1190.25,1282.9,1675.35,1338.85,1596.25,1365.8,1504.25,1586,1367.15,1498.35,1354.55,1366.9,1458.2,1323.65
"19",1374.10545454545,1338.05818181818,1369.60545454545,1432.62363636364,1142.67636363636,1207.52181818182,1398.04545454545,1382.90181818182,1410.80363636364,1217.63818181818,1413.42181818182,1380.73454545455,1327.55090909091,1267.04727272727,1344.03454545455,1586.71090909091,1373.31636363636,1567.73272727273,1357.60181818182,1495.61636363636,1319.90181818182,1344.74181818182,1358.61090909091,1552.19454545455,1409.78181818182,1469.90181818182,1467.04,1438.41272727273,1279.06727272727,1514.29090909091,1382.59454545455,1212.12727272727,1225.3,1465.75818181818,1487.66,1438.32,1239.49272727273,1298.18181818182,1327.82363636364,1618.60909090909,1407.22545454545,1613.22727272727,1526.29454545455,1541.85454545455,1366.04909090909,1246.72545454546,1569.67818181818,1417.17272727273,1306.44909090909,1569.75454545455,1170.14545454545,1315.60727272727,1625.12909090909,1369.66363636364,1545.99272727273,1397.23454545455,1535.94181818182,1617.15272727273,1283.40545454545,1448.12909090909,1375.08,1316.65818181818,1407.96,1273.43818181818
"20",793.841379310345,946.496551724138,804.720689655172,977.465517241379,962.103448275862,930.744827586207,788,789.165517241379,878.627586206897,898.337931034483,818.231034482759,964.134482758621,939.61724137931,899.403448275862,888.972413793103,902.686206896552,797.120689655173,905.78275862069,810.193103448276,872.08275862069,833.689655172414,839.075862068966,872.513793103448,914.7,815.855172413793,793.58275862069,957.944827586207,965.731034482759,907.851724137931,759.634482758621,801.037931034483,908.358620689655,889.920689655172,862.210344827586,949.651724137931,764.568965517241,929.955172413793,860.010344827586,820.674137931034,872.344827586207,989.08275862069,856.541379310345,913.251724137931,922.448275862069,799.803448275862,904.227586206896,927.868965517241,863.848275862069,847.841379310345,951.103448275862,933.910344827586,869.872413793103,856.848275862069,939.934482758621,791.320689655172,915.544827586207,948.786206896552,909.255172413793,829.120689655172,840.968965517241,857.931034482759,828.827586206897,770.403448275862,852.627586206897
"41",864.4,654.75,887.85,523.15,824.85,809.7,870.4,864.25,677.7,883.8,821.95,632.35,651.55,792.85,807.95,588.7,848.1,459.35,870.65,734.05,898.25,825.75,730.65,672.5,834.4,819.05,629.25,533.35,698.85,853.4,847.15,855.75,941.275,724.6,480.7,919.65,704.9,862.525,976.15,607.85,594.45,741.05,417.95,549.8,927.8,775.15,529.05,731.6,1015,700.45,845.75,779.1,702.1,594.55,791.65,631.1,507.45,502.45,1023.8,744.7,850.75,948.8,897.9,979.375
"42",926.8,670.95,904.1,584.85,841.125,825.95,941.25,926.1,752.45,900.05,944.75,648.625,667.8,809.1,824.2,676.2,906.675,546.85,886.85,843.65,914.525,842.05,839.95,793.75,947.775,891.6,716.75,616.5,715.1,938.55,914.6,871.95,957.55,799.35,542.4,981.525,721.15,878.8,1037.55,729.1,656.1,862.3,505.4,662.55,989.2,791.4,616.6,806.35,1076.4,779,861.95,795.35,823.35,694.5,913.225,721.45,590.7,596.8,1085.25,828.45,867.025,965,961.15,1011.775
"49",815.150000000001,590.327272727273,822.168181818181,486.668181818181,777.186363636363,750.886363636364,820.386363636364,815.031818181818,632.404545454546,824.436363636363,780.55,568.213636363636,592.359090909091,732.959090909091,725.268181818182,560.845454545455,804.690909090909,425.018181818182,809.559090909091,695.995454545455,838.731818181818,764.159090909091,694.75909090909,643.6,790.431818181818,765.695454545455,595.486363636363,505.954545454545,639.804545454545,804.613636363636,787.168181818181,796.654545454546,880.859090909091,689.368181818181,447.268181818182,870.477272727273,657.213636363636,805.113636363636,926.995454545455,580.436363636364,555.677272727273,708.809090909091,383.572727272727,517.754545454545,878.622727272728,715.813636363637,494.745454545455,686.304545454545,965.840909090909,673.25909090909,786.904545454546,717.45909090909,676.027272727273,556.113636363636,756.159090909091,590.059090909091,479.013636363636,467.745454545455,974.686363636363,713.45,763.786363636364,895.568181818182,848.536363636364,933.245454545455
"50",963.94,953.585333333333,959.44,1050.84133333333,730.022666666667,778.681333333333,987.896,972.741333333333,1009.264,807.482666666667,1003.26133333333,997.484,943.072,844.593333333333,957.201333333333,1201.51066666667,963.162,1185.95333333333,949.610666666667,1085.46133333333,909.741333333333,941.101333333333,963.454666666667,1142.032,999.621333333333,1059.74133333333,1072.91866666667,1053.944,894.593333333333,1104.128,972.434666666667,773.186666666667,815.14,1070.38666666667,1105.88266666667,1028.16,855.068,888.022666666667,927.573333333333,1208.45066666667,1022.752,1203.07066666667,1144.512,1147.74,933.918666666667,818.604,1178.556,1015.804,886.221333333333,1159.60266666667,739.161333333333,922.530666666667,1214.972,985.194666666667,1135.83466666667,1014.83066666667,1154.15866666667,1227.07866666667,899.549333333333,1037.96933333333,973.709333333333,906.5,997.804,863.288
"61",1028.22,982.88,1026.86,851.32,1153.02,1137.86,1025.76,1028.62,991.32,1181.4,987.32,960.52,979.72,1121.01,1017.22,819.58,1015.74,761.72,1034.96,899.42,1071.02,1079.04,1052.3,837.92,999.82,984.42,903.92,840,1027.02,1018.8,1005.9,1189.66,1168.54,947.16,808.86,1084.02,1033.04,1122.9,1140.96,773.26,922.6,872.42,720.3,849.72,1092.62,1103.32,858.02,999.16,1179.82,893.48,1173.9,1107.26,867.52,922.7,957.06,959.46,814.12,818.78,1188.64,945.62,1034.62,1136.92,1060.78,1173.22
"62",1158.5,1165.15714285714,1175.1,1072.3,1415.34285714286,1367.47142857143,1149.58571428571,1151.38571428571,1129.91428571429,1318,1125.94285714286,1184.84285714286,1198.4,1319.61428571429,1155.8,958.171428571429,1163.52142857143,962.885714285714,1183.47142857143,1038.04285714286,1219.34285714286,1227.54285714286,1190.88571428571,976.5,1138.4,1085.4,1042.5,1054.38571428571,1226.7,1033.58571428571,1169.48571428571,1333.28571428571,1305.15714285714,1085.75714285714,1029.85714285714,1088.94285714286,1354.22857142857,1259.5,1203.87142857143,911.871428571429,1116.78571428571,892.142857142857,974.285714285714,988.328571428571,1167.6,1326.99285714286,996.6,1137.75714285714,1245.34285714286,1032.08571428571,1372.28571428571,1274.57142857143,892.6,1148.68571428571,954.371428571429,1103.7,1028.54285714286,968.185714285714,1216.75714285714,1084.25714285714,1173.21428571429,1211.9,1122.71428571429,1248.21428571429
