"County","FIPS","StateFIPS","CountyFIPS"
"AdamsCounty",8001,8,1
"AlamosaCounty",8003,8,3
"ArapahoeCounty",8005,8,5
"ArchuletaCounty",8007,8,7
"BacaCounty",8009,8,9
"BentCounty",8011,8,11
"BoulderCounty",8013,8,13
"BroomfieldCounty",8014,8,14
"ChaffeeCounty",8015,8,15
"CheyenneCounty",8017,8,17
"ClearCreekCounty",8019,8,19
"ConejosCounty",8021,8,21
"CostillaCounty",8023,8,23
"CrowleyCounty",8025,8,25
"CusterCounty",8027,8,27
"DeltaCounty",8029,8,29
"DenverCounty",8031,8,31
"DoloresCounty",8033,8,33
"DouglasCounty",8035,8,35
"EagleCounty",8037,8,37
"ElbertCounty",8039,8,39
"ElPasoCounty",8041,8,41
"FremontCounty",8043,8,43
"GarfieldCounty",8045,8,45
"GilpinCounty",8047,8,47
"GrandCounty",8049,8,49
"GunnisonCounty",8051,8,51
"HinsdaleCounty",8053,8,53
"HuerfanoCounty",8055,8,55
"JacksonCounty",8057,8,57
"JeffersonCounty",8059,8,59
"KiowaCounty",8061,8,61
"KitCarsonCounty",8063,8,63
"LakeCounty",8065,8,65
"LaPlataCounty",8067,8,67
"LarimerCounty",8069,8,69
"LasAnimasCounty",8071,8,71
"LincolnCounty",8073,8,73
"LoganCounty",8075,8,75
"MesaCounty",8077,8,77
"MineralCounty",8079,8,79
"MoffatCounty",8081,8,81
"MontezumaCounty",8083,8,83
"MontroseCounty",8085,8,85
"MorganCounty",8087,8,87
"OteroCounty",8089,8,89
"OurayCounty",8091,8,91
"ParkCounty",8093,8,93
"PhillipsCounty",8095,8,95
"PitkinCounty",8097,8,97
"ProwersCounty",8099,8,99
"PuebloCounty",8101,8,101
"RioBlancoCounty",8103,8,103
"RioGrandeCounty",8105,8,105
"RouttCounty",8107,8,107
"SaguacheCounty",8109,8,109
"SanJuanCounty",8111,8,111
"SanMiguelCounty",8113,8,113
"SedgwickCounty",8115,8,115
"SummitCounty",8117,8,117
"TellerCounty",8119,8,119
"WashingtonCounty",8121,8,121
"WeldCounty",8123,8,123
"YumaCounty",8125,8,125
