"County","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20"
"ArkansasCounty",206,2,111,343,3584,590,987,877,85,247,46,115,258,48,527,1100,64,398,105,324
"AshleyCounty",313,0,37,642,1869,255,633,234,46,191,22,82,15,184,673,988,14,405,148,250
"BaxterCounty",13,65,97,648,2441,271,1984,121,197,504,182,512,9,323,1050,3422,146,1324,389,518
"BentonCounty",574,39,623,4113,11433,5859,10293,8207,1090,2147,941,7106,20072,5304,7990,9067,1294,8674,1755,2060
"BooneCounty",8,2,70,749,1737,346,1690,1333,259,379,105,228,84,955,1384,2159,130,998,310,486
"BradleyCounty",280,4,28,99,926,89,330,26,10,121,30,45,15,54,405,726,8,142,94,165
"CalhounCounty",16,14,9,49,519,1,57,186,5,23,69,9,0,19,169,70,0,18,4,70
"CarrollCounty",197,14,182,355,3534,198,962,147,87,304,49,168,8,191,640,955,156,1214,130,358
"ChicotCounty",266,0,2,168,60,87,282,268,6,123,23,51,3,7,266,1034,10,192,81,312
"ClarkCounty",211,2,83,121,1204,54,1078,135,21,198,100,249,74,311,1740,1132,88,1038,219,433
"ClayCounty",269,0,87,148,331,295,414,133,40,88,21,46,0,72,354,717,30,213,95,333
"CleburneCounty",75,188,107,331,910,213,887,387,68,177,52,176,10,204,578,860,98,775,149,235
"ClevelandCounty",142,0,14,46,88,47,55,69,8,17,5,3,1,22,105,159,0,23,11,92
"ColumbiaCounty",68,348,55,401,1829,215,813,214,74,285,84,180,14,132,1102,1325,49,605,228,259
"ConwayCounty",170,180,88,500,783,230,727,566,26,126,52,143,1,443,1064,814,79,443,115,314
"CraigheadCounty",302,18,368,1883,5314,1934,6331,1228,614,1000,551,1097,255,2716,4857,9884,452,4505,905,1225
"CrawfordCounty",270,179,88,950,4748,897,1837,2431,149,343,169,414,30,1067,1433,1599,88,1541,410,415
"CrittendenCounty",304,1,62,519,1659,873,2089,2218,95,231,223,248,166,1422,1934,2408,540,1708,486,885
"CrossCounty",244,0,52,375,666,376,790,113,48,206,168,89,19,49,539,888,29,305,94,231
"DallasCounty",171,1,16,89,525,22,332,113,13,54,15,17,1,28,210,689,5,98,80,164
"DeshaCounty",360,0,25,117,390,245,403,141,10,130,87,70,1,43,512,859,35,257,56,439
"DrewCounty",344,0,48,119,835,181,809,86,97,156,61,109,66,153,1277,1446,41,547,56,395
"FaulknerCounty",21,1168,256,2855,3350,878,5615,623,376,1181,525,3219,502,2471,5351,5783,391,4226,796,1397
"FranklinCounty",36,259,253,144,748,55,577,60,28,230,23,112,0,47,530,596,8,243,52,250
