"County","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20"
"AitkinCounty",8,8,60,145,362,47,523,107,44,886,13,41,17,65,443,730,53,458,135,317
"AnokaCounty",337,2,485,7095,24157,6053,18647,4547,574,2198,1399,3773,891,6449,10359,15764,2221,8195,4808,5825
"BeckerCounty",438,30,8,683,2295,252,4128,618,71,321,110,232,37,311,1375,3465,164,1205,405,779
"BeltramiCounty",210,3,110,1018,1121,480,2378,700,354,422,110,471,48,431,2661,3926,306,1786,533,1796
"BentonCounty",248,2,0,1716,3901,687,1871,1031,239,258,197,368,280,819,1180,2180,62,1024,459,439
"BigStoneCounty",28,4,0,165,22,709,198,12,25,59,5,24,11,5,249,517,4,139,50,146
"BlueEarthCounty",318,61,119,1738,4293,1425,8326,804,589,1050,565,1279,285,1330,4450,4051,500,3168,1511,750
"BrownCounty",614,0,101,621,1857,425,1655,653,532,415,46,570,171,202,799,4721,131,935,311,658
"CarltonCounty",71,8,119,1008,1484,330,1203,242,54,469,36,315,21,156,1423,2692,912,1020,320,2181
"CarverCounty",132,0,18,1683,9963,2015,2634,313,436,737,389,995,1132,944,3786,4388,670,2209,916,1427
"CassCounty",94,0,0,347,372,230,967,109,94,186,321,180,13,122,1220,1130,901,1647,225,2058
"ChippewaCounty",94,4,27,302,1146,239,639,176,34,237,102,92,77,61,609,997,24,319,297,279
"ChisagoCounty",31,0,9,659,2316,349,1571,217,32,173,93,278,50,449,1618,2748,223,1037,419,1057
"ClayCounty",206,0,69,771,1083,809,2144,571,196,361,143,457,288,279,4076,3188,170,1538,659,1121
"ClearwaterCounty",60,0,28,200,423,53,229,22,14,86,0,13,23,16,325,565,7,172,64,261
"CookCounty",1,0,35,137,47,7,350,9,28,43,32,27,2,34,172,238,340,744,34,312
"CottonwoodCounty",249,12,33,304,1554,352,399,84,42,99,5,54,8,35,551,914,19,240,119,242
"CrowWingCounty",77,11,151,1528,2582,577,4052,483,437,1123,327,711,105,985,2412,5946,150,3189,940,1440
"DakotaCounty",750,190,417,9814,20396,10905,18153,9817,3988,9996,3519,9119,3449,7406,16308,20658,2234,13248,6758,5643
"DodgeCounty",286,11,1,467,1466,650,358,145,63,157,13,171,3,79,699,350,49,365,246,302
"DouglasCounty",63,14,97,865,3119,1086,2350,382,169,677,141,453,648,1742,1502,2414,246,1978,592,712
"FaribaultCounty",156,0,37,253,810,146,436,77,126,240,19,62,11,44,685,683,3,309,201,367
"FillmoreCounty",301,25,76,257,708,454,665,115,74,226,18,138,0,50,884,1019,72,520,145,546
"FreebornCounty",193,2,133,358,2502,460,1794,316,259,538,58,226,40,265,852,2435,139,824,460,669
"GoodhueCounty",361,10,31,871,3577,685,2907,472,211,392,176,431,964,512,1216,3273,1409,1717,719,1099
"GrantCounty",109,0,0,207,102,217,199,60,35,89,1,37,0,15,239,402,4,35,94,144
"HennepinCounty",731,313,2559,29745,70607,52039,73003,19863,21510,63792,26036,80841,57942,60434,69650,133853,13402,64424,28452,19163
"HoustonCounty",164,0,7,300,703,146,834,483,197,127,34,95,55,90,850,974,22,198,123,472
"HubbardCounty",273,37,59,298,805,56,779,82,61,185,20,56,0,78,546,875,41,548,220,368
"IsantiCounty",106,0,122,362,1697,159,1446,205,196,330,54,234,5,171,1373,2894,64,704,377,606
"ItascaCounty",192,680,515,918,1360,374,2190,258,116,415,84,269,16,850,1443,3269,329,1223,622,1225
"JacksonCounty",110,0,35,117,1624,312,267,245,51,104,14,72,1,181,453,1475,13,315,84,248
"KanabecCounty",29,14,1,222,404,70,516,39,32,135,21,72,6,21,564,901,45,488,209,315
"KandiyohiCounty",956,8,130,1067,3833,810,2464,463,396,572,134,705,166,573,1571,5674,230,1292,827,1019
"KittsonCounty",32,0,0,27,165,142,219,38,60,39,1,30,3,4,215,319,10,56,62,110
"KoochichingCounty",130,0,16,205,931,97,621,192,75,186,27,65,0,94,459,681,100,555,136,416
"LacquiParleCounty",51,0,0,128,189,177,245,81,27,95,27,24,0,30,318,595,8,96,86,163
"LakeCounty",15,709,54,89,554,64,418,44,14,84,21,40,2,152,357,611,51,746,113,335
"LakeoftheWoodsCounty",69,0,18,43,96,24,172,31,14,9,1,11,0,9,161,238,29,464,81,139
"LeSueurCounty",180,166,40,412,2720,348,511,288,41,240,28,171,138,105,899,685,49,531,324,626
"LincolnCounty",128,8,39,85,37,97,198,103,15,47,12,65,2,18,171,501,16,93,123,134
"LyonCounty",149,0,48,558,2099,679,1770,524,54,1252,129,493,656,297,1551,7597,160,998,366,734
"McLeodCounty",154,10,130,474,3170,572,2092,317,138,295,76,365,74,237,1137,2315,167,1097,437,624
"MahnomenCounty",22,0,57,43,0,24,138,49,8,55,4,17,0,9,273,144,1127,79,53,141
"MarshallCounty",74,8,22,103,241,290,211,25,26,123,4,31,0,12,384,354,0,112,69,258
"MartinCounty",396,0,46,253,663,525,1308,287,77,438,79,182,68,205,722,1363,64,689,225,572
"MeekerCounty",232,9,32,287,1366,443,714,310,32,132,33,129,69,62,594,1188,29,564,256,419
"MilleLacsCounty",47,11,52,383,712,132,799,213,30,230,35,222,42,87,1307,1487,82,2135,270,1359
"MorrisonCounty",382,8,63,458,1147,564,1437,257,108,560,29,155,20,172,1295,1825,93,914,535,762
"MowerCounty",190,0,130,522,3612,642,1979,439,139,287,82,417,836,411,1729,2803,96,1038,583,819
"MurrayCounty",84,14,76,137,525,191,356,112,20,129,3,73,3,23,233,664,22,157,103,163
"NicolletCounty",386,0,0,273,3844,612,1016,293,101,176,40,239,20,633,1954,2799,93,791,451,935
"NoblesCounty",237,0,37,258,3213,450,1397,350,138,268,30,315,5,208,1062,1030,23,586,348,343
"NormanCounty",130,0,31,73,3,109,214,20,78,83,1,50,0,7,286,411,1,52,36,175
"OlmstedCounty",268,13,151,3250,8600,1382,9377,1593,2041,1241,787,1804,763,2789,5593,38251,872,6754,2585,2461
"OtterTailCounty",406,17,468,1029,3501,747,2732,438,369,598,101,471,918,506,1872,4954,195,1552,696,1595
"PenningtonCounty",83,0,6,195,1214,3227,910,114,171,149,52,109,10,331,667,596,881,515,252,312
"PineCounty",194,4,36,293,262,112,925,119,137,175,42,106,41,137,986,891,1836,767,215,920
"PipestoneCounty",386,46,38,214,430,284,2982,140,37,126,22,142,3,65,368,923,37,267,110,248
"PolkCounty",462,35,33,377,1468,562,1590,466,227,221,57,298,55,114,1654,2539,78,996,543,898
"PopeCounty",219,0,2,190,809,749,384,108,23,157,12,63,0,48,295,671,27,255,108,218
"RamseyCounty",50,46,307,11881,28067,13147,24683,5505,7500,16021,4423,16575,28628,14820,36404,55648,5375,24172,11530,25845
"RedLakeCounty",31,0,25,62,119,45,95,67,0,55,3,20,0,12,237,71,2,62,76,97
"RedwoodCounty",152,5,18,315,943,444,692,207,35,261,47,87,302,45,633,887,38,966,169,429
"RenvilleCounty",844,0,25,237,897,332,417,384,22,150,7,148,19,70,518,866,35,213,99,398
"RiceCounty",543,37,10,1003,3943,1201,2492,612,420,525,109,518,63,369,4159,3970,196,1556,742,1539
"RockCounty",112,1,0,122,168,231,321,99,55,382,33,93,3,73,325,857,22,227,90,220
"RoseauCounty",84,0,25,119,4954,142,746,111,69,136,20,106,3,510,618,661,31,313,168,254
"StLouisCounty",188,3861,1235,4418,4584,2499,10456,6261,1020,3844,931,4020,1271,3606,9729,25967,1869,8258,3715,5604
"ScottCounty",116,86,162,2968,5280,2526,4074,1110,321,590,297,1127,133,1859,3480,4038,1228,6781,1713,2480
"SherburneCounty",187,63,316,1824,3718,1010,3024,1083,219,315,112,446,279,849,3047,4655,160,1824,930,1814
"SibleyCounty",756,0,0,276,510,204,337,271,25,127,7,57,111,46,656,421,10,169,90,418
"StearnsCounty",887,108,85,3776,10625,3689,11855,3055,2270,3189,921,2252,382,3718,8464,18111,940,5675,2513,3372
"SteeleCounty",128,10,90,636,5377,552,3515,298,111,1968,237,175,59,2942,1330,1978,161,1139,451,842
"StevensCounty",706,2,28,175,998,171,500,70,86,139,16,126,139,30,933,1441,66,304,99,246
"SwiftCounty",106,8,97,133,792,344,336,92,42,135,40,87,0,75,360,598,32,225,118,280
"ToddCounty",196,8,8,155,1483,137,702,196,60,220,31,81,5,82,1118,1069,32,332,188,496
"TraverseCounty",94,0,14,31,45,158,142,31,4,51,2,6,0,12,133,155,1,43,21,170
"WabashaCounty",285,8,7,309,1812,331,726,439,50,197,19,95,28,87,617,665,82,658,198,517
"WadenaCounty",47,0,41,244,450,346,645,179,64,173,20,54,2,29,742,1440,42,378,138,288
"WasecaCounty",179,4,2,236,2106,122,643,174,105,193,22,109,10,83,811,1364,47,401,128,644
"WashingtonCounty",529,33,8,3450,7281,2528,10200,1745,488,3517,701,3230,1373,2702,8076,10950,1329,7273,3035,3676
"WatonwanCounty",69,4,32,263,1183,119,282,134,62,140,25,39,3,144,529,708,19,202,100,312
"WilkinCounty",257,13,4,132,22,213,188,39,7,81,32,49,0,8,258,586,3,271,74,123
"WinonaCounty",497,4,5,697,6184,733,3029,980,528,608,137,369,970,745,3963,3644,237,1910,727,1006
"WrightCounty",453,7,134,3213,5218,1777,5581,1040,217,688,276,885,358,1698,4950,4381,437,3783,1467,1381
"YellowMedicineCounty",118,17,43,257,267,238,376,102,37,82,16,53,3,25,528,874,430,209,84,312
