"County","Metropolitan","Town","Rural"
"AlbanyCounty",0,0.8806,0.1194
"BigHornCounty",0,0,1
"CampbellCounty",0,0.7093,0.2907
"CarbonCounty",0,0.5837,0.4163
"ConverseCounty",0,0.4464,0.5536
"CrookCounty",0,0,1
"FremontCounty",0,0.4858,0.5142
"GoshenCounty",0,0.54,0.46
"HotSpringsCounty",0,0.6852,0.3148
"JohnsonCounty",0,0.5097,0.4903
"LaramieCounty",0.8022,0,0.1978
"LincolnCounty",0,0.1727,0.8273
"NatronaCounty",0.8555,0,0.1445
"NiobraraCounty",0,0,1
"ParkCounty",0,0.5576,0.4424
"PlatteCounty",0,0.4135,0.5865
"SheridanCounty",0,0.6452,0.3548
"SubletteCounty",0,0,1
"SweetwaterCounty",0,0.8908,0.1092
"TetonCounty",0,0.5357,0.4643
"UintaCounty",0,0.569,0.431
"WashakieCounty",0,0.6405,0.3595
"WestonCounty",0,0.4546,0.5454
