"FAFZone","AlbanyCounty","BigHornCounty","CampbellCounty","CarbonCounty","ConverseCounty","CrookCounty","FremontCounty","GoshenCounty","HotSpringsCounty","JohnsonCounty","LaramieCounty","LincolnCounty","NatronaCounty","NiobraraCounty","ParkCounty","PlatteCounty","SheridanCounty","SubletteCounty","SweetwaterCounty","TetonCounty","UintaCounty","WashakieCounty","WestonCounty"
"11",1437.63,1784.96,1598.36,1507.92,1512.94,1548.07,1666.25,1370.01,1688.46,1645.25,1373.5,1754.14,1561.47,1446.42,1769.54,1454.19,1685.16,1753.17,1628.36,1818.94,1711.36,1736.96,1547.71
"12",1559.85,1907.2,1720.6,1630.15,1635.15,1670.35,1788.5,1492.25,1810.65,1767.5,1495.75,1876.35,1683.75,1568.65,1891.75,1576.45,1807.4,1875.45,1750.6,1941.15,1833.6,1859.15,1669.95
"19",1476.08727272727,1823.42181818182,1636.82363636364,1546.38909090909,1551.39454545455,1586.54545454545,1704.71272727273,1408.48181818182,1726.91454545455,1683.71272727273,1411.96909090909,1792.59454545455,1599.94727272727,1484.88909090909,1807.99454545455,1492.66545454545,1723.61818181818,1791.65818181818,1666.83636363636,1857.39454545455,1749.81454545455,1775.41454545455,1586.17454545455
"20",710.337931034483,516.151724137931,595.755172413793,703.920689655172,651.686206896552,624.734482758621,608.396551724138,705.062068965517,554.379310344828,554.813793103448,730.420689655172,649.989655172414,618.634482758621,679.393103448276,503.11724137931,681.28275862069,520.144827586207,578.748275862069,642.396551724138,536.896551724138,723.58275862069,552.051724137931,631.568965517241
"41",926.45,1115.95,1173.6,894.85,1085.35,1246.75,987.7,1037.75,1046.85,1085.05,953.85,837.5,996.2,1123.65,1127.95,1026.65,1137.35,887.55,851.45,949.55,766.9,1090.55,1209
"42",1067.5,1237.2,1235.45,1067.775,1147.25,1308.55,1108.95,1099.6,1168.1,1279.55,1015.7,958.75,1195.75,1185.5,1249.15,1088.5,1331.85,1008.75,972.7,1070.8,888.1,1211.8,1270.85
"49",895.786363636364,1048.70454545455,1088.02272727272,859.54090909091,1008.31363636363,1160.36818181818,915.463636363636,981.677272727273,979.604545454546,1062.86818181818,904.631818181819,787.336363636364,975.840909090909,1053.96818181819,1060.68636363637,963.168181818181,1115.16818181819,837.363636363636,779.2,899.4,716.718181818182,1024.69545454546,1125.06818181818
"50",1098.132,1430.37866666667,1254.33866666667,1168.42666666667,1175.51733333333,1209.596,1326.76133333333,1025.31466666667,1351.044,1307.844,1039.588,1414.63733333333,1224.06666666667,1101.728,1432.11733333333,1116.788,1341.8,1413.69866666667,1288.88,1479.43733333333,1371.864,1393.42133333333,1203.61466666667
"61",1045.12,1113.76,1185.46,973.36,1128.42,1255.8,985.52,1164.4,1044.64,1163.54,1118.22,835.32,1074.7,1193.92,1125.72,1119.62,1215.86,885.32,849.26,947.32,764.72,1088.36,1226.88
"62",1010.05714285714,1078.67142857143,1150.37142857143,938.271428571428,1093.34285714286,1220.68571428571,950.4,1129.28571428571,1009.57142857143,1128.47142857143,1072.4,800.2,1039.58571428571,1158.8,1090.61428571429,1084.5,1180.77142857143,850.2,814.171428571429,830.042857142857,729.6,1053.25714285714,1191.77142857143
