"FAFZone","BarnstableCounty","BerkshireCounty","BristolCounty","DukesCounty","EssexCounty","FranklinCounty","HampdenCounty","HampshireCounty","MiddlesexCounty","NantucketCounty","NorfolkCounty","PlymouthCounty","SuffolkCounty","WorcesterCounty"
"11",1235.18,1122.15,1183.47,1245.1,1219.96,1166.54,1126.64,1141.93,1195.15,1266.12,1194.81,1199.62,1198.21,1166.48
"12",1466.55,1353.5,1414.8,1476.45,1451.3,1397.9,1358,1373.3,1426.5,1497.45,1426.15,1430.95,1429.55,1397.8
"19",1288.74,1175.70545454545,1237.01818181818,1298.65454545455,1273.51272727273,1220.08,1180.18181818182,1195.47818181818,1248.68909090909,1319.66181818182,1248.36363636364,1253.16181818182,1251.76545454545,1220.03636363636
"20",1550.54137931034,1434.46896551724,1516.66206896552,1557.04137931034,1536.24827586207,1465.27931034483,1463.52413793103,1464.21379310345,1519.97931034483,1570.81034482759,1523.04827586207,1540.27931034483,1522,1501.20344827586
"41",2709.05,2563.85,2657.3,2718.95,2697.05,2610.85,2603.55,2609.25,2672.25,2739.95,2676.95,2673.45,2675.35,2643.65
"42",2693.15,2548,2641.45,2703.075,2681.25,2595.025,2587.7,2593.4,2656.4,2724.1,2661.1,2657.6,2659.475,2627.75
"49",2658.43181818182,2513.24090909091,2606.71363636364,2668.34090909091,2646.49545454545,2560.28636363636,2552.96818181819,2558.65909090909,2621.66818181819,2689.34090909091,2626.34090909091,2622.84090909091,2624.73181818182,2593.01818181818
"50",1521.34133333334,1398.576,1469.628,1531.252,1508.95933333333,1444.45133333333,1415.86733333333,1428.08666666666,1484.138,1552.264,1484.48733333333,1485.764,1487.21066666667,1455.48933333334
"61",3036.24,2865.46,2984.48,3046.14,3016.34,2912.46,2908.88,2910.86,2991.54,3067.14,2996.24,3016.58,2994.62,2962.9
"62",3050.08571428571,2872.9,2998.37142857143,3059.98571428571,3028.24285714286,2919.91428571429,2917.25714285714,2918.3,3003.41428571429,3080.98571428571,3008.1,3034.4,3006.48571428571,2974.77142857143
"63",3071.3,2921.4,3019.6,3081.3,3059.4,2968.5,2965.8,2966.9,3034.6,3102.3,3039.3,3035.8,3037.6,3005.9
"64",3164.775,2987.60833333333,3113.05,3174.68333333334,3142.95,3034.63333333334,3031.95833333333,3033.025,3118.13333333334,3195.69166666666,3122.825,3149.09166666666,3121.19166666666,3089.47916666667
"65",3188.8,3011.65,3137.1,3198.7,3167,3058.7,3056,3057.05,3142.15,3219.75,3146.85,3173.15,3145.25,3113.5
"69",3125.76935483871,2949.63548387097,3074.03548387097,3135.69677419355,3104.25161290322,2996.65161290323,2993.82258064516,2995.04516129032,3079.43548387097,3156.69677419355,3084.13548387097,3109.45806451613,3082.5129032258,3050.79677419355
"81",2041.92083333333,1868.82083333334,1990.2,2051.82916666666,2021.73333333333,1915.85416666666,1912.79166666667,1914.22916666666,1996.92083333333,2072.82916666666,2001.59583333334,2022.9125,1999.97916666666,1968.27083333334
"89",2132.93653846154,1969.76923076923,2081.22115384616,2142.84423076923,2116.51153846154,2016.79615384615,2012.5826923077,2015.18076923077,2091.69423076923,2163.85192307693,2096.38269230769,2108.33653846154,2094.75096153846,2063.03653846154
"91",144.1,84.6,92.3666666666667,154,125.966666666667,80.8333333333333,40.9333333333333,56.2333333333333,101.166666666667,175.066666666667,100.366666666667,123.766666666667,104.266666666667,72.5
"92",190.966666666667,88.0333333333333,139.233333333333,200.866666666667,170.366666666667,111.966666666666,73.8,86.4,145.533333333333,221.866666666667,148.533333333333,163.8,148.6,116.9
"99",119.25,112.3,67.55,129.15,113.95,102.25,62.35,77.65,89.15,150.15,75.75,93.35,90.1,58.65
"101",399.2,326.45,347.5,409.1,383.95,330.55,290.65,305.95,359.15,429.65,358.8,363.6,362.2,330.5
"109",455.4,384.3,403.7,465.3,440.2,386.8,346.9,362.2,415.4,486.4,415,419.9,418.5,386.7
"111",479.5,405.1,427.8,489.4,464.3,410.8,370.9,386.2,439.4,510.4,439.1,443.9,442.5,410.8
"121",1226.28333333333,1151.95,1174.56666666667,1236.18333333333,1211.05,1157.61666666667,1117.71666666667,1133.01666666667,1186.23333333333,1257.18333333333,1185.88333333333,1190.68333333333,1189.28333333333,1157.58333333333
"122",1468.48571428571,1394.12857142857,1416.75714285714,1478.4,1453.22857142857,1399.82857142857,1359.92857142857,1375.22857142857,1428.42857142857,1499.41428571429,1428.1,1432.91428571429,1431.51428571429,1399.8
"123",1321.88571428571,1247.57142857143,1270.18571428571,1331.82857142857,1306.67142857143,1253.27142857143,1213.37142857143,1228.67142857143,1281.87142857143,1352.84285714286,1281.55714285714,1286.34285714286,1284.95714285714,1253.2
"124",1388.3,1313.925,1336.55,1398.2,1373.05,1319.6,1279.7,1295,1348.2,1419.2,1347.9,1352.7,1351.3,1319.6
