"County","BarnstableCounty","BerkshireCounty","BristolCounty","DukesCounty","EssexCounty","FranklinCounty","HampdenCounty","HampshireCounty","MiddlesexCounty","NantucketCounty","NorfolkCounty","PlymouthCounty","SuffolkCounty","WorcesterCounty"
"BarnstableCounty",18.6,196.4,58.4,47.5,97.8,162.1,147,162,87.6,35.4,67.5,42,68.2,112.7
"BerkshireCounty",196.4,15.8,152.9,206.3,159.3,72.1,56.5,45.6,134.5,227.4,139.2,165.4,137.6,105.8
"BristolCounty",58.4,152.9,13.5,68.3,73.8,127.6,103.5,118.5,56.4,89.3,36.3,27.4,44.2,78.2
"DukesCounty",47.5,206.3,68.3,11.4,114.7,172,156.9,171.9,100.8,70.1,80.7,58.9,85.1,122.6
"EssexCounty",97.8,159.3,73.8,114.7,14.8,104,109.9,124.9,28.1,128.8,47.6,71.7,30.6,71.3
"FranklinCounty",162.1,72.1,127.6,172,104,13.8,44.7,25.3,78.5,193,98.4,131.1,96.7,57.6
"HampdenCounty",147,56.5,103.5,156.9,109.9,44.7,13,20.1,85.1,178,89.8,116.1,88.2,56.4
"HampshireCounty",162,45.6,118.5,171.9,124.9,25.3,20.1,12,100.1,192.9,104.7,131,103.1,71.4
"MiddlesexCounty",87.6,134.5,56.4,100.8,28.1,78.5,85.1,100.1,15,118.5,22.8,61.5,21.1,42.1
"NantucketCounty",35.4,227.4,89.3,70.1,128.8,193,178,192.9,118.5,9,98.4,72.9,99.1,143.6
"NorfolkCounty",67.5,139.2,36.3,80.7,47.6,98.4,89.8,104.7,22.8,98.4,10.8,41.4,17.1,54.3
"PlymouthCounty",42,165.4,27.4,58.9,71.7,131.1,116.1,131,61.5,72.9,41.4,17,42,81.7
"SuffolkCounty",68.2,137.6,44.2,85.1,30.6,96.7,88.2,103.1,21.1,99.1,17.1,42,5.6,52.7
"WorcesterCounty",112.7,105.8,78.2,122.6,71.3,57.6,56.4,71.4,42.1,143.6,54.3,81.7,52.7,20.4
