Value,Area,Fwy,Art,Other
BusVmt,Boston,,,
TruckVmt,Boston,,,
BusVmt,Pittsfield,,,
TruckVmt,Pittsfield,,,
BusVmt,Springfield,,,
TruckVmt,Springfield,,,
