"SCTG","PctEmpty","N"
1,0.404712182455824,1
2,0.409262159847782,0
3,0.342586320039328,17
4,0.40062253072999,1
5,0.21055086044807,17
6,0.222117037792489,20
7,0.250510291665308,54
8,0.0987211547040885,10
9,0.220797674677544,0
10,0.345868222703136,3
11,0.371186091573267,13
12,0.334868116173623,82
13,0.382289317879428,8
14,0.330631811974,1
15,0.394477968299597,0
16,0.411406611770122,2
17,0.5,13
18,0.140140333222032,25
19,0.116705807143539,10
20,0.319153846071907,2
21,0.163003296356002,0
22,0.381398011930285,4
23,0.329297413853261,8
24,0.259173648542417,8
25,0.430737531709114,9
26,0.359988208279841,30
27,0.207833893632727,2
28,0.216947168869503,6
29,0.142965266998763,6
30,0.150707615637309,6
31,0.388703371093196,48
32,0.272330705520314,12
33,0.0757366519085796,70
34,0.272168510199793,24
35,0.0301035332112983,10
36,0.29861515848432,18
37,0.179037995207116,5
38,0.253528170079209,1
39,0.150901538373902,20
40,0.21367354726553,273
41,0.298968317049409,63
43,0.101601853884798,53
99,0.377666020609811,3
