County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AdamsCounty,5904,1964,3030,9741,3681,4230
AllenCounty,21004,8394,13754,34051,13431,15697
AshlandCounty,10404,4098,6664,16784,6773,8416
AshtabulaCounty,19611,6903,10968,34489,13649,15877
AthensCounty,8395,8502,18410,16543,6369,6538
AuglaizeCounty,9569,3265,4806,15358,5890,7061
BelmontCounty,11181,4368,8395,23767,10270,12419
BrownCounty,9038,3118,4750,15698,5773,6469
ButlerCounty,77015,28324,51429,125986,42892,42484
CarrollCounty,5432,1882,2751,9748,4220,4803
ChampaignCounty,8132,3049,4354,13697,5107,5758
ClarkCounty,26745,9798,16344,44258,18766,22422
ClermontCounty,42165,13185,22570,71294,24905,23244
ClintonCounty,8541,3013,5182,14269,5351,5684
ColumbianaCounty,19153,6989,11451,37234,15221,17793
CoshoctonCounty,7281,2525,4071,12108,4924,5992
CrawfordCounty,8307,2912,4466,14422,5881,7796
CuyahogaCounty,234960,90130,160321,432059,164111,198541
DarkeCounty,10968,3560,5355,17418,6729,8929
DefianceCounty,7972,2738,4520,12805,5145,5857
DelawareCounty,42721,11593,15132,68389,19862,16517
ErieCounty,13803,5101,8046,25404,11420,13305
FairfieldCounty,31472,10545,16151,52206,17707,18075
FayetteCounty,5960,1897,3320,9747,3761,4345
FranklinCounty,233663,80992,204556,406620,121877,115706
FultonCounty,8956,3093,4427,14637,5585,6000
GalliaCounty,6008,2179,3720,10172,3915,4940
GeaugaCounty,19428,6952,7515,31456,13564,14474
GreeneCounty,28698,13746,26176,50686,20269,21998
GuernseyCounty,7827,2746,4408,13222,5458,6426
HamiltonCounty,156393,57712,117603,267864,95939,106863
HancockCounty,14462,5514,10112,24678,9343,10673
HardinCounty,6255,2839,5274,9714,3673,4303
HarrisonCounty,2866,967,1550,5218,2383,2880
HenryCounty,5815,1990,3048,9469,3544,4349
HighlandCounty,9247,2969,4808,14560,5387,6618
HockingCounty,5792,1990,3062,10003,4042,4491
HolmesCounty,12215,3619,5515,12083,4133,4801
HuronCounty,12812,4337,6607,20322,7464,8084
JacksonCounty,6734,2256,3875,11218,4452,4690
JeffersonCounty,11387,4795,7996,22382,10393,12756
KnoxCounty,12064,4984,7962,19326,7598,8987
LakeCounty,41616,14654,24825,80498,31483,36965
LawrenceCounty,12042,4157,7065,21282,8187,9717
LickingCounty,33950,12230,18864,58457,20904,22087
LoganCounty,9498,3215,4836,15419,6130,6760
LorainCounty,58971,21452,33158,105076,39568,43131
LucasCounty,87117,33647,63232,145623,54387,57809
MadisonCounty,7914,3032,5172,16781,5147,5389
MahoningCounty,41518,16247,26625,77965,33766,42702
MarionCounty,12026,4371,8430,23485,8721,9468
MedinaCounty,35755,11920,16222,63166,22668,22601
MeigsCounty,4486,1523,2623,8100,3313,3725
MercerCounty,8827,3023,4407,13038,5215,6304
MiamiCounty,20286,6977,10903,34817,13792,15731
MonroeCounty,2544,912,1415,4715,2218,2838
MontgomeryCounty,101422,37018,70943,176666,68063,81041
MorganCounty,2855,1043,1551,4886,2108,2611
MorrowCounty,7355,2545,3407,12340,4500,4680
MuskingumCounty,16913,6143,10462,28506,10866,13184
NobleCounty,2248,847,1388,4352,2768,3042
OttawaCounty,6924,2567,3672,13733,6664,7868
PauldingCounty,4061,1335,2104,6560,2647,2907
PerryCounty,7637,2749,3979,12437,4598,4658
PickawayCounty,10707,3979,6732,20425,6699,7156
PikeCounty,5847,2027,3221,9810,3592,4212
PortageCounty,27274,14504,26394,52534,19894,20819
PrebleCounty,8444,2816,4463,14304,5815,6428
PutnamCounty,7531,2574,3736,11561,4167,4930
RichlandCounty,22971,8365,14530,41792,16557,20260
RossCounty,14464,4905,9170,29212,9793,10520
SanduskyCounty,12173,4147,6624,20672,8013,9315
SciotoCounty,14987,5575,10376,26295,9949,12317
SenecaCounty,11059,4432,7100,18325,7404,8425
ShelbyCounty,11208,3561,5306,16921,6065,6362
StarkCounty,70141,26408,43184,124062,50813,60978
SummitCounty,100608,38225,67322,185134,71524,78968
TrumbullCounty,37750,13953,22822,68998,30172,36617
TuscarawasCounty,18048,6074,10290,30571,12427,15172
UnionCounty,11845,3563,5766,20768,5415,4943
VanWertCounty,5820,2072,3011,9442,3711,4688
VintonCounty,2699,1011,1385,4687,1774,1879
WarrenCounty,48928,14077,21356,81683,23713,22936
WashingtonCounty,10482,4227,6940,20444,8891,10794
WayneCounty,24068,8713,13851,36817,14384,16687
WilliamsCounty,7331,2548,4077,12808,4847,6031
WoodCounty,22218,11277,21975,39486,15143,15389
WyandotCounty,4521,1509,2378,7593,2934,3680
