County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AndroscogginCounty,20088,7276,13424,37972,13758,15184
AroostookCounty,11478,4801,7217,23696,11027,13651
CumberlandCounty,48144,18599,35120,101647,38007,40157
FranklinCounty,4871,2369,3890,9973,4505,5160
HancockCounty,8054,3289,5645,18254,9239,9937
KennebecCounty,20484,8098,13867,43008,17734,18960
KnoxCounty,6315,2135,3721,13437,6534,7594
LincolnCounty,5211,1896,2923,11115,5919,7393
OxfordCounty,9734,3988,5485,20134,8649,9843
PenobscotCounty,24721,11942,23421,51290,20296,22253
PiscataquisCounty,2671,1066,1359,5840,3035,3564
SagadahocCounty,6059,2048,3428,12670,5300,5788
SomersetCounty,9034,3332,5050,18492,7783,8537
WaldoCounty,6601,2495,3871,13134,6405,6280
WashingtonCounty,5247,2091,3154,10632,5306,6426
YorkCounty,33937,12885,20752,70600,28604,30353
