"County","BristolCounty","KentCounty","NewportCounty","ProvidenceCounty","WashingtonCounty"
"BristolCounty",3.4,24.4,40.1,18.1,43.5
"KentCounty",24.3,7.1,26.8,21.7,20.2
"NewportCounty",39.9,26.8,9.1,37.2,24.6
"ProvidenceCounty",17.9,21.7,37.2,10.7,40.7
"WashingtonCounty",43.3,20.2,24.6,40.7,12.2
