"County","Metropolitan","Town","Rural"
"BristolCounty",0.9886,0,0.0114
"KentCounty",0.9201,0,0.0799
"NewportCounty",0.8791,0,0.1209
"ProvidenceCounty",0.9449,0,0.0551
"WashingtonCounty",0.6686,0.0232,0.3082
