"FAFZone","BristolCounty","KentCounty","NewportCounty","ProvidenceCounty","WashingtonCounty"
"11",1175.57,1152.39,1162.15,1167.94,1143.13
"12",1406.9,1383.75,1393.5,1399.3,1374.45
"19",1229.13,1205.93636363636,1215.70545454545,1221.49272727273,1196.67090909091
"20",1511.48965517241,1499.71379310345,1506.11034482759,1504.45172413793,1493.63448275862
"41",2649.425,2626.25,2635.95,2641.75,2616.95
"42",2633.55,2610.35,2620.15,2625.925,2601.1
"49",2598.82272727273,2575.62272727272,2585.38636363636,2591.18636363637,2566.34090909091
"50",1461.732,1438.54133333333,1448.298,1454.09,1429.26933333333
"61",2976.61,2957.6,2967.32,2966.48,2948.32
"62",2990.47142857143,2972.48571428571,2982.24285714286,2979.71428571429,2963.2
"63",3011.7,2988.5,2998.3,3004.1,2979.3
"64",3105.1625,3087.18333333334,3096.95,3094.425,3077.90833333334
"65",3129.2,3111.2,3121,3118.5,3101.95
"69",3066.15322580645,3048.02580645161,3057.76451612903,3055.51612903226,3038.74516129032
"81",1982.3125,1963.4625,1973.21666666667,1972.09583333334,1954.17916666666
"89",2073.325,2052.63846153846,2062.4076923077,2064.72692307693,2043.37307692308
"91",84.4833333333333,71.3333333333333,88.3666666666667,72.4666666666667,69.9666666666667
"92",131.366666666667,112.8,123.166666666667,120.2,107.933333333333
"99",59.65,44.6,64.3,48.95,47.85
"101",339.6,316.4,326.15,331.95,307.1
"109",395.8,372.6,382.4,388.2,363.4
"111",419.9,396.7,406.4,412.2,387.4
"121",1166.66666666667,1143.46666666667,1153.25,1159.03333333333,1134.2
"122",1408.87142857142,1385.7,1395.42857142857,1401.22857142857,1376.41428571429
"123",1262.28571428571,1239.1,1248.87142857143,1254.67142857143,1229.85714285714
"124",1328.675,1305.5,1315.225,1321,1296.2
"129",1331.69534883721,1308.51511627907,1318.26860465116,1324.06860465116,1299.24534883721
"131",1081.73333333333,1058.54102564103,1068.31025641026,1074.09743589744,1049.27435897436
"132",1029.65,1006.48333333333,1016.21666666667,1022,997.183333333333
"139",1126.20482456141,1103.01403508772,1112.77631578947,1118.56754385965,1093.74561403509
"151",,,,,
"159",,,,,
"160",2602.40568181818,2584.41704545455,2594.17159090909,2591.65113636364,2575.14431818182
"171",1024.16923076923,1006.20769230769,1015.93076923077,1013.42307692308,996.923076923077
"172",1147.87777777778,1124.67777777778,1134.44444444444,1140.24444444444,1115.42222222222
"179",1114.071875,1092.575,1102.345,1105.435,1083.3125
"181",957.96,940,949.74,947.24,930.74
"182",919.566666666667,896.366666666667,906.155555555556,910.805555555556,887.105555555555
"183",840.4125,822.45,832.2125,829.675,813.1625
"189",942.831147540983,921.256557377049,931.018032786885,933.704098360656,911.984426229508
"190",1331.61060606061,1313.6308080808,1323.39141414141,1320.87626262627,1304.36212121212
"201",1438.59444444444,1415.41111111111,1425.17777777778,1430.96666666667,1406.13333333333
"202",1605.21666666667,1582.01666666667,1591.76666666667,1597.55,1572.71666666667
"209",1645.49777777778,1622.71611111111,1632.47277777777,1637.21833333334,1613.445
"211",866.075,842.8875,852.625,858.4125,833.6125
"212",952.118181818182,928.945454545454,938.690909090909,944.490909090909,919.690909090909
"219",974.105940594059,950.919306930693,960.678712871287,966.468811881188,941.64900990099
"221",1554.22777777777,1531.03333333333,1540.81111111111,1546.6,1521.75555555556
"222",1709.625,1686.45,1696.2,1702,1677.2
"223",1517.1,1493.91,1503.67,1509.43,1484.61
"229",1583.45813953488,1560.26976744186,1570.03488372093,1575.82790697674,1551.00232558139
"230",276.38125,273.3875,279.3,268.1375,292.421875
"241",391.342857142857,368.142857142857,377.885714285714,383.685714285714,358.857142857143
"242",435.24,412.06,421.78,427.58,402.78
"249",428.7875,405.6,415.358333333333,421.141666666667,396.308333333333
"251",60.5125,59.7875,65.0875,55.125,77.55
"259",111.633333333333,110.233333333333,121,101.033333333333,122.05
"261",821.5,803.52,813.3,810.79,794.25
"262",937.90625,919.925,929.7,927.2,910.6875
"269",1026.14923076923,1008.16384615385,1017.92692307693,1015.40384615385,998.894615384615
"271",1422.92368421053,1404.93157894737,1414.71052631579,1412.15789473684,1395.64736842105
"279",1521.99117647059,1504.01617647059,1513.77794117647,1511.25588235294,1494.74852941176
"280",1378.17256097561,1354.98353658537,1364.73597560976,1370.52987804878,1345.70548780488
"291",1400.68461538462,1377.5,1387.25384615385,1393.03846153846,1368.23846153846
"292",1196.05625,1172.8625,1182.625,1188.425,1163.625
"299",1326.26063829787,1303.62553191489,1313.38829787234,1318.64574468085,1294.35531914894
"300",2324.79642857143,2306.81964285714,2316.58392857143,2314.05892857143,2297.55357142857
"311",1452.875,1434.91666666667,1444.63333333333,1442.11666666667,1425.61666666667
"319",1641.58850574713,1623.60172413793,1633.36149425287,1630.83965517241,1614.33045977011
"321",2740.6,2722.6,2732.4,2729.85,2713.3
"329",2784.14666666667,2766.16666666667,2775.9,2773.36666666667,2756.86666666667
