"County","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20"
"AdamsCounty",812,1442,1382,18579,13173,15987,19762,15422,3063,3203,3171,6465,1738,11561,22129,23341,1583,13949,5649,7562
"AlamosaCounty",187,30,86,318,167,160,791,179,89,302,79,212,126,88,1098,1496,98,690,156,784
"ArapahoeCounty",92,964,243,16960,8171,14262,33685,3820,19857,25407,6056,30043,8179,25755,17025,40422,4944,24427,8778,7529
"ArchuletaCounty",21,29,61,232,92,42,483,24,66,87,202,138,7,101,253,326,26,633,126,269
"BacaCounty",44,7,10,37,1,54,127,30,5,39,2,11,0,1,215,301,6,18,22,182
"BentCounty",159,0,18,19,2,2,45,0,9,61,0,5,1,237,65,200,0,36,6,146
"BoulderCounty",398,196,311,4714,18525,5693,14721,1775,8194,4820,2429,24357,1104,7173,17702,19465,3181,15776,4598,7946
"BroomfieldCounty",3,70,0,1466,3815,1358,4358,220,1674,941,507,5020,2993,1292,494,1908,401,3015,619,1029
"ChaffeeCounty",54,30,60,565,194,251,763,39,109,217,130,248,2,65,578,833,425,1092,139,859
"CheyenneCounty",42,127,2,9,13,37,62,35,15,42,2,2,10,5,85,118,3,28,2,70
"ClearCreekCounty",0,672,15,106,24,64,205,76,52,21,37,128,11,67,226,64,385,456,91,381
"ConejosCounty",99,30,0,92,46,36,179,45,8,30,9,22,0,11,150,170,8,36,9,168
"CostillaCounty",77,2,24,17,2,79,31,0,0,3,48,4,0,6,131,59,15,40,5,248
"CrowleyCounty",82,0,8,9,5,4,77,3,0,9,5,15,1,238,83,87,0,20,7,355
"CusterCounty",10,0,14,103,47,10,107,4,27,13,14,36,0,14,116,79,30,46,39,194
"DeltaCounty",285,565,43,313,568,184,1005,55,195,265,83,240,29,159,926,1726,25,528,222,624
"DenverCounty",436,9403,3584,17985,21804,27832,31278,25528,14147,27066,10956,47694,12716,34363,30673,56723,7929,47341,16223,29488
"DoloresCounty",23,3,0,176,7,8,77,18,11,5,0,1,0,5,56,44,1,12,3,96
"DouglasCounty",248,648,439,7315,2222,4413,16858,872,5124,7491,1410,12073,3165,6395,10283,10299,3215,10598,3251,3092
"EagleCounty",33,28,111,2336,278,566,2630,551,383,377,1676,1088,70,1235,1291,2049,3674,7220,999,1387
"ElbertCounty",62,3,1,745,131,84,341,25,50,59,27,237,0,186,722,80,53,216,100,275
"ElPasoCounty",259,111,727,13242,12282,5417,28471,3451,9147,12524,4058,22273,1386,18567,25393,32254,4447,26245,9633,7457
"FremontCounty",63,80,111,586,616,129,1438,217,87,209,137,266,10,202,895,1778,188,876,216,2271
"GarfieldCounty",189,1297,243,2703,285,656,2398,582,220,448,616,1038,200,843,2928,2987,309,2479,673,1319
"GilpinCounty",2,0,2,26,19,12,25,14,21,13,6,82,13,73,117,69,1874,2328,47,332
"GrandCounty",50,23,129,637,121,49,553,95,89,90,382,180,3,141,382,366,1653,1607,116,771
"GunnisonCounty",70,380,90,661,116,49,761,102,115,125,239,351,19,203,825,574,195,1301,213,632
"HinsdaleCounty",3,7,0,28,2,0,29,1,7,6,17,3,0,2,33,14,0,38,8,43
"HuerfanoCounty",24,10,29,83,36,37,177,4,35,16,12,32,0,3,232,393,11,159,19,235
"JacksonCounty",72,3,1,62,27,10,37,20,4,14,0,48,0,6,50,22,6,65,2,87
"JeffersonCounty",544,468,1189,13426,19247,7549,29545,2376,4896,8274,3209,22531,2782,11731,20820,32277,3378,21393,7115,16081
"KiowaCounty",12,2,16,14,0,24,39,2,3,12,0,2,0,0,87,103,8,30,4,75
"KitCarsonCounty",338,46,36,287,149,295,252,58,39,102,10,40,0,159,197,170,3,320,75,204
"LakeCounty",0,47,18,136,54,25,150,8,5,17,21,35,0,60,389,182,193,256,25,132
"LaPlataCounty",84,642,151,2502,601,582,3166,602,413,993,473,1147,135,788,2435,2870,726,3583,628,2639
"LarimerCounty",753,564,719,9111,12574,4061,14895,2303,2403,3371,2446,10978,877,8170,11263,19336,2194,15103,3865,7287
"LasAnimasCounty",17,461,22,220,69,112,492,82,24,167,77,95,4,58,755,844,34,495,426,458
"LincolnCounty",67,0,39,101,6,11,251,7,55,69,25,56,7,10,178,323,0,260,31,523
"LoganCounty",254,191,111,365,323,305,949,199,52,232,47,96,71,398,819,1110,15,813,307,1260
"MesaCounty",289,3196,403,3799,2743,2502,8240,2305,879,2080,1068,2589,149,3047,4645,10577,1028,7012,1685,3145
"MineralCounty",1,6,1,18,1,1,49,0,1,4,2,7,0,11,30,11,12,60,5,56
"MoffatCounty",68,238,367,245,86,173,476,86,52,88,35,76,11,153,455,572,55,414,176,526
"MontezumaCounty",79,209,130,582,323,255,1391,160,102,172,129,311,41,150,977,1099,111,976,206,988
"MontroseCounty",266,59,324,867,1224,394,1816,443,208,301,341,476,56,362,1178,2378,297,1181,352,974
"MorganCounty",823,521,189,818,3519,466,893,146,355,270,72,140,7,551,1135,921,39,777,234,710
"OteroCounty",170,2,123,182,617,223,565,82,78,192,63,127,9,30,1013,1262,16,526,107,520
"OurayCounty",46,105,27,128,62,12,108,2,19,27,14,87,8,21,78,47,38,327,45,166
"ParkCounty",24,6,12,194,71,95,182,22,17,77,26,147,0,95,441,80,14,208,67,322
"PhillipsCounty",259,17,43,58,34,93,121,30,36,28,6,23,0,5,172,146,0,73,24,192
"PitkinCounty",55,6,87,754,101,101,1137,161,219,207,1228,667,45,837,779,844,2295,4843,711,1437
"ProwersCounty",232,101,66,161,319,103,635,45,43,229,39,78,5,53,488,650,13,439,93,506
"PuebloCounty",121,33,601,3004,4487,1265,6410,562,657,1059,668,1636,125,5111,6027,11599,801,5448,1262,4143
"RioBlancoCounty",27,710,51,283,35,22,197,66,26,40,11,60,0,180,313,194,91,194,47,389
"RioGrandeCounty",978,0,69,132,143,229,268,53,34,112,25,66,0,38,422,417,30,277,92,560
"RouttCounty",66,529,80,977,114,263,1256,347,160,262,646,620,56,427,1040,1124,1728,1993,679,780
"SaguacheCounty",396,0,18,46,57,131,123,12,16,16,10,12,0,7,350,71,0,82,40,186
"SanJuanCounty",0,0,1,9,6,2,16,0,0,3,2,2,0,3,38,14,29,28,5,24
"SanMiguelCounty",3,28,9,368,134,23,324,62,112,68,245,173,10,128,281,197,941,1111,154,423
"SedgwickCounty",92,0,14,11,38,37,62,23,14,71,7,7,0,18,96,130,3,35,17,107
"SummitCounty",15,117,63,876,91,239,2045,281,143,185,928,625,16,620,878,912,1230,7372,450,1931
"TellerCounty",11,597,25,227,94,59,659,64,57,155,86,310,48,154,686,476,777,1311,158,578
"WashingtonCounty",118,38,56,50,31,101,106,60,8,60,8,16,0,34,187,79,3,44,24,189
"WeldCounty",3878,6790,348,9754,11971,4064,7914,2840,926,3156,1324,2702,1529,5874,7750,8927,992,6270,2087,4412
"YumaCounty",742,254,11,166,85,263,456,70,45,178,36,76,17,13,425,467,30,242,75,366
