"SCTG","PctEmpty","N"
1,0.389394140491902,13
2,0.416383735244439,15
3,0.318996697129134,25
4,0.49841221223688,19
5,0.199516035193507,2
6,0.207755228768538,9
7,0.153583386691469,33
8,0.209453973305391,4
9,0.220797674677544,1
10,0.345868222703136,2
11,0.293100575154662,13
12,0.464380508366206,102
13,0.382289317879428,3
14,0.330631811974,1
15,0.394477968299597,1
16,0.411406611770122,4
17,0.405256894636644,6
18,0.30780628855648,5
19,0.472174017638935,15
20,0.319153846071907,5
21,0.163003296356002,0
22,0.381398011930285,5
23,0.329297413853261,6
24,0.259173648542417,2
25,0.430737531709114,9
26,0.316060271954654,15
27,0.207833893632727,0
28,0.216947168869503,1
29,0.142965266998763,0
30,0.150707615637309,0
31,0.345785637310916,81
32,0.217604044021483,4
33,0.13869531291919,46
34,0.444347489780096,29
35,0.159588441529491,3
36,0.272901682253501,16
37,0.179037995207116,2
38,0.253528170079209,0
39,0.161274863360372,11
40,0.179184505123877,157
41,0.363838647158455,74
43,0.103194523165089,6
99,0.357080008572128,49
