"FAFZone","BernalilloCounty","CatronCounty","ChavesCounty","CibolaCounty","ColfaxCounty","CurryCounty","DeBacaCounty","DonaAnaCounty","EddyCounty","GrantCounty","GuadalupeCounty","HardingCounty","HidalgoCounty","LeaCounty","LincolnCounty","LosAlamosCounty","LunaCounty","McKinleyCounty","MoraCounty","OteroCounty","QuayCounty","RioArribaCounty","RooseveltCounty","SandovalCounty","SanJuanCounty","SanMiguelCounty","SantaFeCounty","SierraCounty","SocorroCounty","TaosCounty","TorranceCounty","UnionCounty","ValenciaCounty"
"11",1273.82,1455.74,1155.43,1363.14,1232.78,1098.76,1161.08,1343.85,1131.8,1460.025,1171.43,1152.25,1485.29,1084.51,1227.15,1300.53,1409.345,1401.67,1220.34,1248.61,1100.35,1347.39,1108.395,1313.57,1469.29,1208.82,1272.13,1404.64,1348.4,1314.42,1257.67,1136.43,1304.72
"12",1245.25,1362.1,1094.05,1334.65,1204.25,1059.5,1121.85,1268.45,1069.95,1384.6,1142.95,1123.75,1409.85,1022.6,1167.5,1272,1333.95,1373.15,1191.85,1186.7,1071.85,1318.85,1064.25,1285.05,1440.75,1180.3,1243.6,1337.65,1319.85,1285.9,1229.15,1109.6,1276.2
"19",1276.95818181818,1425.10181818182,1150.40727272727,1366.30545454545,1235.92363636364,1095.33090909091,1157.64363636364,1340.46,1127.44,1455.33636363636,1174.58727272727,1155.41454545455,1481.88363636364,1080.13818181818,1222.21090909091,1303.69454545455,1405.94181818182,1404.81272727273,1223.48909090909,1244.23818181818,1103.50727272727,1350.52909090909,1103.79636363636,1316.71454545455,1472.42909090909,1211.96909090909,1275.27636363636,1398.97818181818,1351.54,1317.57818181818,1260.81272727273,1140.42727272727,1307.86727272727
"20",1077.70689655172,1105.75517241379,1128.86206896552,1047.56551724138,958.658620689655,1090.11379310345,1086.75517241379,1229.7275862069,1172.7275862069,1171.36551724138,1057.9275862069,1014.78965517241,1227.32413793103,1194.8275862069,1130.65172413793,1024.12413793103,1236.0724137931,1017.43103448276,992.348275862069,1162.93448275862,1060.1,1047.32068965517,1128.17586206897,1049.14137931034,968.631034482759,1017.78620689655,1054.05172413793,1176.99655172414,1125.22413793103,976.544827586207,1108.58620689655,983.644827586207,1096.61379310345
"41",448.85,302.15,558.7,354,653.95,664.8,616.95,367.4,580,290.9,573.05,675.75,279.7,613.8,509.8,540.65,317.55,335.15,609.05,444.8,631.55,502.55,654.55,485.65,445.05,582.15,500.9,390.55,357.3,588.4,481.95,731.65,436.15
"42",465.1,339.05,480.5,388.5,670.2,591.3,548.9,289.2,501.85,212.7,525.8,692.05,201.55,535.6,431.6,556.85,239.3,396.85,625.35,366.6,647.775,587.125,560.9,505.9,506.75,598.4,517.15,312.35,402.25,604.65,478.8,747.85,436.6
"49",401.168181818181,305.209090909091,530.9,334.881818181818,606.286363636364,596.054545454546,546.709090909091,390.927272727272,572.981818181818,301.263636363636,511.936363636364,628.113636363636,328.1,606.736363636364,477.527272727273,492.95,339.363636363636,309.881818181818,561.413636363636,463.045454545455,583.859090909091,467.85,586.245454545455,439.05,406.745454545455,534.486363636363,453.236363636364,396.781818181818,392.509090909091,540.736363636364,441.268181818182,683.940909090909,394.513636363636
"50",895.181333333333,1077.11333333333,810.558666666667,984.52,854.14,725.066,787.374,1007.64933333333,822.223333333333,1115.43066666667,792.812,773.629333333333,1156.25533333333,776.474,879.602,921.913333333333,1089.64133333333,1023.032,841.713333333333,919.386,721.721333333333,968.748,738.03,934.932,1090.64933333333,830.194666666667,893.505333333333,1040.95466666666,969.76,935.805333333333,879.032,757.993333333333,926.096
"61",777.02,679.68,945.04,709.3,982.12,998.52,945.2,751,963.68,674.52,901.2,1003.94,663.36,997.4,891.68,868.8,701.13,663.32,937.24,828.4,959.72,830.72,1008.42,813.82,773.22,910.32,829.1,774.16,755.76,916.6,832.62,1059.8,783.26
"62",1121.75714285714,1064.15714285714,1325.27142857143,1054.04285714286,1329.71428571429,1343.25714285714,1289.94285714286,1180.34285714286,1392.25714285714,1103.87142857143,1245.94285714286,1348.67142857143,1092.72857142857,1425.98571428571,1272.64285714286,1213.54285714286,1130.47857142857,1008.05714285714,1281.98571428571,1257.75714285714,1304.44285714286,1162.25714285714,1353.15714285714,1158.55714285714,1067.17142857143,1255.05714285714,1173.84285714286,1203.52142857143,1171.67142857143,1250.75714285714,1177.35714285714,1405.52857142857,1128.01428571429
