"County","Density"
"BernalilloCounty",28.8
"CatronCounty",0.5
"ChavesCounty",2.6
"CibolaCounty",3.3
"ColfaxCounty",1.9
"CurryCounty",4.9
"DeBacaCounty",0.9
"DoaAnaCounty",10.9
"EddyCounty",2.7
"GrantCounty",3.2
"GuadalupeCounty",0.7
"HardingCounty",0.3
"HidalgoCounty",1.4
"LeaCounty",3.1
"LincolnCounty",2.3
"LosAlamosCounty",20.3
"LunaCounty",3.4
"McKinleyCounty",7.6
"MoraCounty",2.5
"OteroCounty",2.9
"QuayCounty",1.3
"RioArribaCounty",3.4
"RooseveltCounty",3
"SandovalCounty",6.1
"SanJuanCounty",8
"SanMiguelCounty",2.9
"SantaFeCounty",19.8
"SierraCounty",1
"SocorroCounty",1.3
"TaosCounty",8.8
"TorranceCounty",4.8
"UnionCounty",1.2
"ValenciaCounty",12.9
