"SCTG","Medium","Heavy","N_Medium","N_Heavy"
1,0.122549959181878,0.877450040818122,1,8
2,0.116660024152758,0.883339975847242,2,11
3,0.272753669567859,0.727246330432141,10,13
4,0.0985507358280498,0.90144926417195,4,13
5,0.0763722238391646,0.923627776160835,1,0
6,0.192501294148437,0.807498705851563,4,3
7,0.385011512540996,0.614988487459004,11,18
8,0.233455388714992,0.766544611285008,3,1
9,0.134342821827482,0.865657178172518,1,0
10,0.511086890555729,0.488913109444271,0,2
11,0.573095124375611,0.426904875624389,8,4
12,0.339556566187278,0.660443433812722,42,51
13,0.574043705293349,0.425956294706651,1,2
14,0.296984478905375,0.703015521094625,0,1
15,0.254762106060935,0.745237893939064,0,1
16,0.292247289852626,0.707752710147374,1,3
17,0.0512840369554983,0.948715963044502,0,6
18,0.595712731390873,0.404287268609127,2,1
19,0.10652523795601,0.89347476204399,9,6
20,0.153884141884506,0.846115858115494,3,1
21,0.48565728180227,0.51434271819773,0,0
22,0.634547071721447,0.365452928278553,1,3
23,0.220262195048898,0.779737804951102,3,3
24,0.143309869173441,0.856690130826559,2,0
25,0.172627570488467,0.827372429511533,4,4
26,0.542950470196993,0.457049529803007,10,4
27,0.0664638925860683,0.933536107413932,0,0
28,0.13006920545436,0.86993079454564,1,0
29,0.499509853805331,0.500490146194669,0,0
30,0.122154702334916,0.877845297665084,0,0
31,0.753940753268382,0.246059246731618,61,12
32,0.111509729259209,0.888490270740792,3,1
33,0.315943642238563,0.684056357761437,29,10
34,0.121077539908017,0.878922460091983,6,17
35,0.267488635666556,0.732511364333444,3,0
36,0.437930080476903,0.562069919523097,7,5
37,0.0687078468861626,0.931292153113837,1,1
38,0.301345390186715,0.698654609813286,0,0
39,0.495022793707737,0.504977206292263,7,4
40,0.352127423567136,0.647872576432864,99,41
41,0.524654005626345,0.475345994373655,47,25
43,0.0168182985519259,0.983181701448074,3,3
99,0.410691732524214,0.589308267475786,23,23
