"SCTG","Payload","N"
1,12.2468285097997,9
2,23.7981480053665,13
3,8.82672835357665,23
4,18.951039710621,17
5,15.3568767024241,1
6,5.92686271885712,7
7,8.61010249732925,29
8,10.2941785681165,4
9,12.5303662811142,1
10,12.7559630168912,2
11,8.6759042574144,12
12,18.24563148107,93
13,14.57148120894,3
14,19.7343283246373,1
15,21.9759244651015,1
16,14.0428921341034,4
17,24.3515448152176,6
18,11.7399553387464,3
19,18.3407507325502,15
20,14.6935220971178,4
21,5.12434471305138,0
22,9.93234871988097,4
23,12.2174191704086,6
24,9.66549316294252,2
25,17.5629107877451,8
26,6.38533961836316,14
27,16.5382555630002,0
28,13.1552492378572,1
29,5.51350467372506,0
30,10.307661585523,0
31,16.0768349888819,73
32,12.2402812906222,4
33,6.73248827843798,39
34,15.1046519010376,23
35,6.91185118160956,3
36,4.21489951606672,12
37,17.1134794135312,2
38,4.51852664992441,0
39,4.21388534860591,11
40,6.5660654523137,140
41,9.54438884430657,72
43,16.6344819186119,6
99,13.8077618900361,46
