"County","BernalilloCounty","CatronCounty","ChavesCounty","CibolaCounty","ColfaxCounty","CurryCounty","DeBacaCounty","DonaAnaCounty","EddyCounty","GrantCounty","GuadalupeCounty","HardingCounty","HidalgoCounty","LeaCounty","LincolnCounty","LosAlamosCounty","LunaCounty","McKinleyCounty","MoraCounty","OteroCounty","QuayCounty","RioArribaCounty","RooseveltCounty","SandovalCounty","SanJuanCounty","SanMiguelCounty","SantaFeCounty","SierraCounty","SocorroCounty","TaosCounty","TorranceCounty","UnionCounty","ValenciaCounty"
"GuadalupeCounty",125.2,266.4,131.9,214.5,163.3,120.1,66.8,247.8,198.9,326,28.3,148.5,381.6,232.6,134.6,151.9,306,253,118.4,183.9,81.3,198.7,130,164.9,320.6,74.9,123.5,238.1,159.1,165.8,109,197.4,156.1
"HardingCounty",230,409.8,245.6,317.3,97.5,131.9,186.7,392.4,312.5,469.4,148.5,23.7,547.8,256.4,279.2,207.6,471.7,355.8,85,328.5,86.1,234.7,159.7,238.8,394.5,123.9,179.2,381.5,302.5,168.6,225.3,87.8,258.8
"HidalgoCounty",321,218.7,336.3,385.7,526.1,447.2,404.8,145,357.7,92.3,381.6,547.9,30.2,391.4,287.5,412.8,95.1,424.2,481.2,222.4,503.7,443,416.8,361.8,517.5,454.3,373.1,168.2,258.2,460.6,334.7,603.8,292.5
"LeaCounty",305.2,376.8,109,394.5,372.3,132.2,185.6,257.6,71.2,365.8,232.6,256.3,391.4,34.1,182.2,331.9,315.8,433.1,327.4,171.6,205.1,378.8,101.6,345,500.7,283.9,303.5,313.2,288.7,379.7,271.6,305.2,318.9
"LincolnCounty",176.5,201.8,81.4,241.2,274.3,192.3,149.9,153.6,148.5,242.3,134.6,279.2,287.5,182.2,35.8,214.6,211.8,279.7,229.4,89.7,212,261.4,161.9,217.3,373,185.9,186.2,154.4,113.7,262.4,121.2,328.1,148
"LosAlamosCounty",94.8,274.7,231.2,182.1,137.7,249.2,195.9,326.8,298.2,334.3,151.9,207.6,412.7,331.9,214.6,5.4,336.5,220.6,140.9,263.9,210.4,71.3,259.1,58.5,209.3,114,44.2,246.4,167.3,74.9,104.4,227.2,123.7
"LunaCounty",244.8,188.7,260.1,309.4,449.9,370.9,328.5,68.8,281.4,69.7,305.4,471.7,95.2,315.2,211.2,336.5,28,347.9,405,146.2,427.4,366.8,340.5,285.5,441.3,378.1,296.8,92,181.9,384.3,258.5,527.5,216.2
"McKinleyCounty",128.8,187.6,332.4,61.1,333.9,350.3,297,338.3,399.3,301.1,253,355.8,424.1,433.1,279.7,220.6,347.9,38,289.1,329,311.5,182.6,360.2,165.6,120.7,262.1,180.9,257.8,178.8,268.4,184.4,411.6,135.1
"MoraCounty",163.3,343.1,226.7,250.6,63.2,200,162.4,395.3,293.6,402.7,118.4,85,481.1,327.4,229.4,140.9,405,289.1,22.6,278.7,154.2,168,225.7,172.1,327.8,57.2,112.5,314.8,235.8,109.2,158.6,140.9,192.1
"OteroCounty",225.8,251.1,138.6,290.5,323.6,249.4,207.1,88.6,137.9,196.8,183.9,328.5,222.4,171.6,89.7,263.9,146.8,329,278.7,41.9,261.3,310.7,219,266.6,422.3,235.2,235.4,144.2,162.9,311.6,170.5,377.4,197.3
"QuayCounty",183.7,365.6,178.3,273,166.6,80,119.5,325.1,245.3,425.2,81.3,86.1,503.6,205.1,212,210.4,427.4,311.5,154.2,261.3,27.6,257.2,106.3,223.4,379.1,118.7,182,337.3,258.2,224.3,167.5,135,214.6
"RioArribaCounty",125.1,304.9,278.1,208.3,166.4,296,242.7,357.1,345,364.5,198.7,234.7,442.9,378.8,261.4,71.3,366.8,182.6,168,310.7,257.2,39.5,305.9,81.5,153.2,160.9,91,276.6,197.6,103.5,151.2,255.8,153.9
"RooseveltCounty",232.4,356.5,96.9,321.7,270.5,35.5,84.4,282.9,163.9,391.1,130,159.6,416.8,101.6,161.9,259.1,341.1,360.2,225.7,219,106.3,305.9,25.5,272.1,427.8,182.2,230.7,309.1,259.8,273,200.1,208.5,263.3
"SandovalCounty",43.8,223.7,244.3,127.1,216.9,262.2,208.9,275.9,311.2,283.3,164.9,238.8,361.7,345,217.3,58.5,285.5,165.6,172.1,266.6,223.4,81.5,272.1,31.4,155.9,145.1,63.9,195.4,116.3,151.4,96.3,294.6,72.7
"SanJuanCounty",199.6,271.6,400,139.2,304.4,417.9,364.6,431.6,466.9,439,320.6,394.5,517.4,500.7,373,209.3,441.3,120.7,327.8,422.3,379.1,153.2,427.8,155.9,38.3,300.9,219.6,351.1,272.1,241.5,252,393.8,228.4
"SanMiguelCounty",136.4,316.2,183.2,223.6,102.1,172.3,118.9,299.1,250.2,375.8,74.9,123.9,454.2,283.9,185.9,114,378.1,262.1,57.2,235.2,118.7,160.9,182.2,145.1,300.9,35.4,85.6,287.9,208.9,104.5,131.6,179.7,165.2
"SantaFeCounty",55.1,235,202.8,142.4,157.4,220.8,167.5,287.1,269.8,294.5,123.5,179.2,373,303.5,186.2,44.2,296.8,180.9,112.5,235.4,182,91,230.7,63.9,219.6,85.6,22.5,206.6,127.6,92,76,235.1,83.9
"SierraCounty",154.6,179.9,228.7,219.3,359.7,328.9,273.1,82.3,279.5,89.7,238.1,381.5,168.1,313.2,154.4,246.4,92,257.8,314.8,144.2,337.3,276.6,309.1,195.4,351.1,287.9,206.6,33.5,91.7,294.1,168.3,437.4,126.1
"SocorroCounty",75.6,95.8,187.9,140.2,280.7,249.8,194.1,172.2,255,179.6,159.1,302.5,258.1,288.7,113.7,167.3,181.9,178.8,235.8,162.9,258.2,197.6,259.8,116.3,272.1,208.9,127.6,91.7,42,215.1,89.3,358.3,47
"TaosCounty",142.6,322.5,279,229.9,84.2,263.1,209.8,374.6,346,382,165.8,168.6,460.5,379.7,262.4,74.9,384.3,268.4,109.2,311.6,224.3,103.5,273,151.4,241.5,104.5,92,294.1,215.1,24.2,152.2,173.7,171.4
"TorranceCounty",56.6,196.6,170.9,145.9,203.4,190.2,134.5,248.8,237.8,256.2,109,225.3,334.6,271.6,121.2,104.4,258.5,184.4,158.6,170.5,167.5,151.2,200.1,96.3,252,131.6,76,168.3,89.3,152.2,29.8,281.1,76.9
"UnionCounty",285.8,465.7,294.4,373.1,99.5,180.8,235.6,441.2,361.4,525.3,197.4,87.8,603.7,305.3,328.1,227.2,527.5,411.6,140.9,377.4,135,255.8,208.6,294.6,393.8,179.7,235.1,437.4,358.3,173.7,281.1,31.8,314.7
"ValenciaCounty",31.9,154.4,218.2,96.6,237,253.4,200.1,206.6,285.1,214,156.1,258.8,292.4,318.9,148,123.7,216.2,135.1,192.1,197.3,214.6,153.9,263.3,72.7,228.4,165.2,83.9,126.1,47,171.4,76.9,314.7,16.8
