"County","FIPS","StateFIPS","CountyFIPS"
"BernalilloCounty",35001,35,1
"CatronCounty",35003,35,3
"ChavesCounty",35005,35,5
"CibolaCounty",35006,35,6
"ColfaxCounty",35007,35,7
"CurryCounty",35009,35,9
"DeBacaCounty",35011,35,11
"DonaAnaCounty",35013,35,13
"EddyCounty",35015,35,15
"GrantCounty",35017,35,17
"GuadalupeCounty",35019,35,19
"HardingCounty",35021,35,21
"HidalgoCounty",35023,35,23
"LeaCounty",35025,35,25
"LincolnCounty",35027,35,27
"LosAlamosCounty",35028,35,28
"LunaCounty",35029,35,29
"McKinleyCounty",35031,35,31
"MoraCounty",35033,35,33
"OteroCounty",35035,35,35
"QuayCounty",35037,35,37
"RioArribaCounty",35039,35,39
"RooseveltCounty",35041,35,41
"SandovalCounty",35043,35,43
"SanJuanCounty",35045,35,45
"SanMiguelCounty",35047,35,47
"SantaFeCounty",35049,35,49
"SierraCounty",35051,35,51
"SocorroCounty",35053,35,53
"TaosCounty",35055,35,55
"TorranceCounty",35057,35,57
"UnionCounty",35059,35,59
"ValenciaCounty",35061,35,61
