"County","Density"
"AlconaCounty",16
"AlgerCounty",7.3
"AlleganCounty",90.6
"AlpenaCounty",27.3
"AntrimCounty",49.6
"ArenacCounty",43.8
"BaragaCounty",9.9
"BarryCounty",83.9
"BayCounty",82
"BenzieCounty",54.8
"BerrienCounty",106.5
"BranchCounty",57.3
"CalhounCounty",65.5
"CassCounty",78.3
"CharlevoixCounty",44.7
"CheboyganCounty",30.4
"ChippewaCounty",12.2
"ClareCounty",39.4
"ClintonCounty",74.4
"CrawfordCounty",18.5
"DeltaCounty",14.1
"DickinsonCounty",11.5
"EatonCounty",77.6
"EmmetCounty",53.1
"GeneseeCounty",177.1
"GladwinCounty",45.6
"GogebicCounty",10.2
"GrandTraverseCounty",98.7
"GratiotCounty",45.5
"HillsdaleCounty",54.9
"HoughtonCounty",13.9
"HuronCounty",35.6
"InghamCounty",81.5
"IoniaCounty",69.6
"IoscoCounty",28.5
"IronCounty",7.4
"IsabellaCounty",58.9
"JacksonCounty",104.6
"KalamazooCounty",101.3
"KalkaskaCounty",26
"KentCounty",155.6
"KeweenawCounty",4
"LakeCounty",20.3
"LapeerCounty",108.7
"LeelanauCounty",57.5
"LenaweeCounty",71.5
"LivingstonCounty",146.6
"LuceCounty",3.8
"MackinacCounty",8.4
"MacombCounty",111.7
"ManisteeCounty",28.3
"MarquetteCounty",15.6
"MasonCounty",37
"MecostaCounty",52.3
"MenomineeCounty",14.9
"MidlandCounty",74.2
"MissaukeeCounty",26.3
"MonroeCounty",118.6
"MontcalmCounty",76.7
"MontmorencyCounty",17.9
"MuskegonCounty",99.2
"NewaygoCounty",50.4
"OaklandCounty",178.1
"OceanaCounty",46.8
"OgemawCounty",38.5
"OntonagonCounty",5.2
"OsceolaCounty",41.5
"OscodaCounty",15.3
"OtsegoCounty",31.4
"OttawaCounty",124.8
"PresqueIsleCounty",16.5
"RoscommonCounty",31.6
"SaginawCounty",86.7
"StClairCounty",96.7
"StJosephCounty",70.2
"SanilacCounty",40.5
"SchoolcraftCounty",4.3
"ShiawasseeCounty",75.8
"TuscolaCounty",58.9
"VanBurenCounty",92.2
"WashtenawCounty",99.3
"WayneCounty",196.3
"WexfordCounty",37.8
