"FAFZone","AlconaCounty","AlgerCounty","AlleganCounty","AlpenaCounty","AntrimCounty","ArenacCounty","BaragaCounty","BarryCounty","BayCounty","BenzieCounty","BerrienCounty","BranchCounty","CalhounCounty","CassCounty","CharlevoixCounty","CheboyganCounty","ChippewaCounty","ClareCounty","ClintonCounty","CrawfordCounty","DeltaCounty","DickinsonCounty","EatonCounty","EmmetCounty","GeneseeCounty","GladwinCounty","GogebicCounty","GrandTraverseCounty","GratiotCounty","HillsdaleCounty","HoughtonCounty","HuronCounty","InghamCounty","IoniaCounty","IoscoCounty","IronCounty","IsabellaCounty","JacksonCounty","KalamazooCounty","KalkaskaCounty","KentCounty","KeweenawCounty","LakeCounty","LapeerCounty","LeelanauCounty","LenaweeCounty","LivingstonCounty","LuceCounty","MackinacCounty","MacombCounty","ManisteeCounty","MarquetteCounty","MasonCounty","MecostaCounty","MenomineeCounty","MidlandCounty","MissaukeeCounty","MonroeCounty","MontcalmCounty","MontmorencyCounty","MuskegonCounty","NewaygoCounty","OaklandCounty","OceanaCounty","OgemawCounty","OntonagonCounty","OsceolaCounty","OscodaCounty","OtsegoCounty","OttawaCounty","PresqueIsleCounty","RoscommonCounty","SaginawCounty","StClairCounty","StJosephCounty","SanilacCounty","SchoolcraftCounty","ShiawasseeCounty","TuscolaCounty","VanBurenCounty","WashtenawCounty","WayneCounty","WexfordCounty"
"11",926.5,1066.34,727.01,959.19,915.86,863.7,1073.21,744.39,829.3,876.39,665.25,682.59,706.86,669.43,949.63,954.29,1014.93,844.28,761.23,892.03,1019.52,997.2,731.15,962.52,783.26,857.3,1064.52,891.9,787.77,703.29,1102.1,876.56,747.93,759.18,899.95,1039.52,817.9,722.9,709.36,888.51,758.1,1138.36,829.25,809.36,914.59,714.86,753.36,1055.52,998.68,764.96,853.52,1063.5,823.46,818.7,976.09,823.7,865.57,709.72,795.95,944.48,760.9,798,760.58,796.29,879.14,1064.87,840.32,904.42,917.7,740.9,981,879.61,818.455,794.04,690.27,827.08,1079.05,784.4,830.97,699.34,728.38,741.99,857.04
"12",1163.05,1271.8,962.65,1195.7,1151.5,1100.2,1278.7,980,1065.8,1112,900.85,918.2,942.5,905.05,1185.25,1189.9,1250.55,1079.9,996.85,1127.65,1225,1202.65,966.8,1198.15,1019.8,1092.9,1264.85,1127.5,1023.4,938.9,1313.25,1113.1,983.55,994.8,1136.45,1245,1053.55,958.5,945,1124.15,993.7,1343.85,1064.85,1045.85,1150.2,951.35,989.85,1291.15,1234.3,1001.5,1089.15,1268.95,1059.1,1054.3,1181.55,1059.3,1101.2,946.25,1031.6,1183.05,996.5,1033.6,997.1,1031.9,1115.65,1265.2,1075.95,1140.9,1153.3,976.5,1216.6,1115.25,1055.1,1030.55,925.9,1063.6,1314.7,1020,1067.5,934.95,964.9,978.5,1092.7
"19",980.941818181818,1122.94181818182,788.585454545454,1013.60363636364,977.525454545455,918.112727272727,1129.33090909091,805.503636363636,883.729090909091,937.947272727273,726.812727272727,743.703636363636,767.98,731.009090909091,1010.06909090909,1014.71454545455,1075.36727272727,905.461818181818,822.441818181818,952.465454545454,1075.63272727273,1053.31272727273,792.276363636364,1022.95636363636,837.678181818182,915.685454545454,1121.69090909091,953.461818181818,848.96,759.930909090909,1160.07636363636,930.978181818182,808.929090909091,820.290909090909,954.36,1095.63272727273,879.12,782.527272727273,770.947272727273,950.310909090909,819.654545454545,1194.46181818182,890.812727272727,863.769090909091,976.145454545455,769.269090909091,807.769090909091,1115.96909090909,1059.09272727273,819.372727272727,915.096363636364,1119.6,885.023636363636,879.858181818182,1032.18181818182,882.850909090909,927.309090909091,764.138181818182,857.072727272727,998.572727272727,822.470909090909,859.563636363636,815,857.852727272727,933.558181818182,1122.02727272727,901.898181818182,958.834545454545,978.112727272727,802.456363636364,1038.4,939.232727272727,872.88090909091,848.463636363636,751.825454545455,881.489090909091,1135.11454545455,843.290909090909,885.390909090909,760.905454545455,782.803636363636,796.401818181818,918.614545454545
"20",893.862068965517,729.7,969.479310344828,871.955172413793,863.986206896552,913.175862068965,672.162068965517,986.627586206897,925.175862068966,896.651724137931,930.641379310345,976.934482758621,983.158620689655,942.696551724138,857.896551724138,831.344827586207,801.78275862069,898.351724137931,1022.3,868.527586206897,728.906896551724,690.620689655172,1002.58275862069,831.503448275862,1049.23448275862,903.224137931035,619.379310344828,879.031034482759,1039.6724137931,1001.43448275862,674.837931034483,1110.36896551724,1013.58620689655,1008.88620689655,919.765517241379,667.331034482759,1040.22068965517,1006.31896551724,965.437931034483,878.4,989.834482758621,697.6,1036.45517241379,1066.3275862069,891.08275862069,1020.07586206897,1035.20689655172,775.693103448276,794.396551724138,1068.48965517241,1052.3724137931,694.679310344828,1032.66206896552,1029.55172413793,720.634482758621,921.572413793104,891.124137931034,1042.46896551724,1015.81724137931,856.906896551724,991.679310344828,1015.97931034483,1054.04137931034,1014.86551724138,899.648275862069,649.124137931034,1043.72068965517,878.834482758621,849.231034482759,978.568965517241,853.165517241379,880.406896551724,1060.44482758621,1088.04482758621,966.320689655172,1098.64482758621,751.041379310345,1037.47586206897,1080.49655172414,951.344827586207,1029.60344827586,1050.09310344828,1054.66896551724
"41",2160.95,2150.95,1912.05,2179.15,2100.85,2114.2,2105.05,1938.2,2079.85,2061.35,1852.75,1927.75,1932.9,1871.15,2113.55,2157.35,2218.05,2055.25,1992.65,2095.15,2104.15,2081.85,1962.55,2133.95,2033.75,2071.3,2024.45,2076.9,2019.15,1948.5,2109.15,2127.05,1979.35,1972.15,2150.45,2061.45,2020,1968.25,1905.85,2073.55,1943.1,2143.85,2014.25,2059.85,2099.55,1964.45,2012.35,2212.85,2201.75,2063.15,2038.55,2148.1,2008.45,2003.75,2060.65,2045.55,2050.55,1987.35,1982.75,2150.55,1945.9,1983,2041.1,1981.25,2110.05,2069.85,2025.35,2124.45,2120.8,1925.85,2184.1,2082.75,2050.85,2093,1907.2,2109.15,2156.65,2015.85,2081.45,1884.35,2003.75,2035.05,2042.05
"42",2145.05,2135.1,1896.15,2163.35,2085,2098.35,2089.2,1922.35,2063.95,2045.55,1836.9,1911.95,1917.05,1855.3,2097.65,2141.55,2202.2,2039.45,1976.8,2079.3,2088.3,2065.95,1946.7,2118.1,2017.9,2055.45,2008.65,2061.05,2003.3,1932.65,2093.3,2111.2,1963.5,1956.325,2134.6,2045.65,2004.15,1952.4,1890,2057.65,1927.25,2128.025,1998.4,2044,2083.75,1948.6,1996.5,2197,2185.925,2047.3,2022.7,2132.25,1992.6,1987.85,2044.85,2029.65,2034.75,1971.45,1966.9,2134.675,1930.05,1967.15,2025.25,1965.45,2094.2,2054.05,2009.475,2108.55,2104.95,1910.05,2168.25,2066.85,2035.025,2077.15,1891.35,2093.35,2140.8,1999.95,2065.625,1868.5,1987.95,2019.25,2026.2
"49",2110.32272727272,2080.71363636364,1861.43181818181,2128.59545454546,2050.26818181818,2063.59545454546,2038.39545454545,1887.59545454546,2029.21818181818,2010.79545454545,1802.14090909091,1877.18636363637,1882.30454545454,1820.54090909091,2062.93181818182,2106.79545454545,2167.44090909091,2004.69545454546,1942.04090909091,2044.54090909091,2033.91363636363,2011.6,1911.96818181819,2083.36818181818,1983.16818181819,2020.70454545455,1957.84090909091,2026.30454545454,1968.56818181819,1897.89545454545,2042.49545454546,2076.46818181819,1928.74090909091,1921.58636363637,2099.84090909091,1994.85,1969.41363636363,1917.65454545454,1855.26818181818,2022.93181818181,1892.49545454546,2077.23181818182,1963.65909090909,2009.25909090909,2048.99545454545,1913.85,1961.74090909091,2142.61363636364,2137.56818181818,2012.54090909091,1987.94090909091,2077.95909090909,1957.86818181818,1953.12272727273,1990.46818181819,1994.93181818181,1999.98636363637,1936.73181818182,1932.15909090909,2099.93181818182,1895.31363636363,1932.41363636363,1990.49545454546,1930.69545454546,2059.44090909091,2003.25909090909,1974.73181818182,2073.82272727272,2070.19545454546,1875.29545454545,2133.50454545455,2032.12272727273,2000.27727272727,2042.39545454545,1856.60454545455,2058.57727272728,2086.42272727272,1965.21818181818,2030.86818181818,1833.74090909091,1953.18636363637,1984.48636363637,1991.46818181819
"50",1021.21333333333,1025.224,772.314666666666,1039.47533333333,961.154,974.49,1031,798.491333333333,940.104,921.676666666667,713.033333333334,781.152666666667,793.198666666666,731.433333333334,973.814666666666,1017.68733333333,1078.33333333333,915.593333333333,852.933333333334,955.434666666667,978.417333333334,956.097333333333,822.846,994.248666666667,894.054,931.6,992.041333333334,937.198666666666,879.452666666667,801.869333333334,1037.516,987.351333333333,839.634666666667,832.462,1010.73333333333,991.712666666667,880.3,821.503333333334,766.154,933.814666666666,803.386666666667,1070.51133333333,874.543333333334,920.142666666667,959.875333333333,817.815333333333,872.634666666667,1106.32933333333,1062.05933333333,922.459333333333,898.824,1022.388,868.751333333333,864.004,934.967333333333,905.814666666666,910.862,840.506666666666,843.043333333334,1010.82533333334,806.205333333334,843.3,901.389333333334,841.593333333333,970.333333333333,998.264666666667,885.624,984.712,981.093333333333,786.186,1044.4,943.010666666667,911.160666666667,952.301333333334,767.497333333333,969.460666666667,1030.93133333333,876.104,941.763333333333,744.634666666667,864.075333333333,882.086,902.344666666667
"61",2403.6,2281.02,2154.7,2421.84,2343.52,2356.84,2254.82,2180.84,2322.5,2304.02,2095.42,2166.06,2175.56,2113.82,2356.2,2400.06,2460.72,2297.96,2235.32,2337.82,2234.2,2211.86,2205.22,2376.62,2276.42,2313.96,2174.22,2319.56,2261.82,2203.46,2258.92,2369.72,2222.02,2214.82,2393.12,2211.22,2262.66,2210.91,2148.52,2316.2,2185.76,2293.62,2256.92,2302.52,2342.22,2231.92,2255.02,2342.92,2342.56,2305.82,2281.2,2278.58,2251.12,2246.36,2190.72,2288.2,2293.22,2266.1,2225.42,2393.2,2188.58,2225.66,2283.76,2223.96,2352.72,2219.64,2268,2367.1,2363.46,2168.56,2426.76,2325.4,2293.52,2335.64,2149.86,2351.82,2286.72,2258.5,2324.12,2127.02,2246.44,2277.72,2284.72
"62",2412.08571428571,2289.5,2163.18571428571,2430.35714285714,2352,2365.37142857143,2143.38571428571,2189.37142857143,2330.97142857143,2312.54285714286,2103.9,2174.57142857143,2184.07142857143,2122.3,2364.68571428571,2408.57142857143,2469.2,2306.45714285714,2243.8,2346.3,2242.7,2220.38571428571,2213.7,2385.11428571429,2284.91428571429,2322.47142857143,2062.8,2328.07142857143,2270.3,2211.95714285714,2147.47142857143,2378.21428571429,2230.5,2223.34285714286,2401.6,2219.74285714286,2271.17142857143,2219.42142857143,2157,2324.68571428571,2194.25714285714,2182.2,2265.4,2311,2350.74285714286,2240.4,2263.5,2351.4,2351.07142857143,2314.28571428571,2289.7,2177.75714285714,2259.61428571429,2254.88571428571,2199.24285714286,2296.68571428571,2301.71428571429,2274.58571428571,2233.9,2401.7,2197.08571428571,2234.17142857143,2292.25714285714,2232.45714285714,2361.2,2108.21428571429,2276.48571428571,2375.58571428571,2371.95714285714,2177.07142857143,2435.27142857143,2333.88571428571,2302.04285714286,2344.17142857143,2158.37142857143,2360.34285714286,2295.2,2266.97142857143,2332.64285714286,2135.5,2254.95714285714,2286.21428571429,2293.2
