County,Region,Msa
MissaukeeCounty,,NA
MonroeCounty,,Detroit
MontcalmCounty,,NA
MontmorencyCounty,,NA
MuskegonCounty,,GrandRapids
NewaygoCounty,,NA
OaklandCounty,,Detroit
OceanaCounty,,NA
SaginawCounty,,Saginaw
AlconaCounty,,NA
AlgerCounty,,NA
AlleganCounty,,GrandRapids
EmmetCounty,,NA
AlpenaCounty,,NA
AntrimCounty,,NA
ArenacCounty,,NA
CalhounCounty,,Kalamazoo
BaragaCounty,,NA
BarryCounty,,NA
BayCounty,,Saginaw
BenzieCounty,,NA
OtsegoCounty,,NA
BerrienCounty,,SouthBend
SanilacCounty,,Detroit
SchoolcraftCounty,,NA
CassCounty,,SouthBend
OsceolaCounty,,NA
CharlevoixCounty,,NA
PresqueIsleCounty,,NA
ChippewaCounty,,NA
ClareCounty,,NA
CheboyganCounty,,NA
CrawfordCounty,,NA
TuscolaCounty,,NA
VanBurenCounty,,Kalamazoo
DickinsonCounty,,NA
EatonCounty,,Lansing
WexfordCounty,,NA
BranchCounty,,NA
GeneseeCounty,,Detroit
GladwinCounty,,NA
GogebicCounty,,NA
GrandTraverseCounty,,NA
StJosephCounty,,NA
GratiotCounty,,NA
HillsdaleCounty,,NA
WayneCounty,,Detroit
HoughtonCounty,,NA
LeelanauCounty,,NA
HuronCounty,,NA
InghamCounty,,Lansing
IoniaCounty,,NA
IoscoCounty,,NA
DeltaCounty,,NA
RoscommonCounty,,NA
IsabellaCounty,,NA
JacksonCounty,,Jackson
ShiawasseeCounty,,Lansing
KalamazooCounty,,Kalamazoo
KalkaskaCounty,,NA
OttawaCounty,,GrandRapids
KentCounty,,GrandRapids
KeweenawCounty,,NA
LakeCounty,,NA
IronCounty,,NA
OgemawCounty,,NA
OscodaCounty,,NA
ClintonCounty,,Lansing
LenaweeCounty,,NA
StClairCounty,,Detroit
LivingstonCounty,,Detroit
LuceCounty,,NA
OntonagonCounty,,NA
MackinacCounty,,NA
LapeerCounty,,Detroit
MacombCounty,,Detroit
WashtenawCounty,,Detroit
ManisteeCounty,,NA
MarquetteCounty,,NA
MasonCounty,,NA
MecostaCounty,,NA
MenomineeCounty,,NA
MidlandCounty,,Saginaw
