Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
EcoReduction,Bismarck,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Bismarck,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Bismarck,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Bismarck,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Fargo,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Fargo,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Fargo,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Fargo,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,GrandForks,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,GrandForks,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,GrandForks,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,GrandForks,0,0,0,0,0,0,0,0,0,0,0,0,0
