County,Metropolitan,Town
AdamsCounty,1,1
BarnesCounty,1,1
BensonCounty,1,1
BillingsCounty,1,1
BottineauCounty,1,1
BowmanCounty,1,1
BurkeCounty,1,1
BurleighCounty,1,1
CassCounty,1,1
CavalierCounty,1,1
DickeyCounty,1,1
DivideCounty,1,1
DunnCounty,1,1
EddyCounty,1,1
EmmonsCounty,1,1
FosterCounty,1,1
GoldenValleyCounty,1,1
GrandForksCounty,1,1
GrantCounty,1,1
GriggsCounty,1,1
HettingerCounty,1,1
KidderCounty,1,1
LaMoureCounty,1,1
LoganCounty,1,1
McHenryCounty,1,1
McIntoshCounty,1,1
McKenzieCounty,1,1
McLeanCounty,1,1
MercerCounty,1,1
MortonCounty,1,1
MountrailCounty,1,1
NelsonCounty,1,1
OliverCounty,1,1
PembinaCounty,1,1
PierceCounty,1,1
RamseyCounty,1,1
RansomCounty,1,1
RenvilleCounty,1,1
RichlandCounty,1,1
RoletteCounty,1,1
SargentCounty,1,1
SheridanCounty,1,1
SiouxCounty,1,1
SlopeCounty,1,1
StarkCounty,1,1
SteeleCounty,1,1
StutsmanCounty,1,1
TownerCounty,1,1
TraillCounty,1,1
WalshCounty,1,1
WardCounty,1,1
WellsCounty,1,1
WilliamsCounty,1,1
