Value,Area,Fwy,Art,Other
BusVmt,Billings,,,
TruckVmt,Billings,,,
BusVmt,GreatFalls,,,
TruckVmt,GreatFalls,,,
BusVmt,Missoula,,,
TruckVmt,Missoula,,,
