"FAFZone","BeaverheadCounty","BigHornCounty","BlaineCounty","BroadwaterCounty","CarbonCounty","CarterCounty","CascadeCounty","ChouteauCounty","CusterCounty","DanielsCounty","DawsonCounty","DeerLodgeCounty","FallonCounty","FergusCounty","FlatheadCounty","GallatinCounty","GarfieldCounty","GlacierCounty","GoldenValleyCounty","GraniteCounty","HillCounty","JeffersonCounty","JudithBasinCounty","LakeCounty","LewisandClarkCounty","LibertyCounty","LincolnCounty","McConeCounty","MadisonCounty","MeagherCounty","MineralCounty","MissoulaCounty","MusselshellCounty","ParkCounty","PetroleumCounty","PhillipsCounty","PonderaCounty","PowderRiverCounty","PowellCounty","PrairieCounty","RavalliCounty","RichlandCounty","RooseveltCounty","RosebudCounty","SandersCounty","SheridanCounty","SilverBowCounty","StillwaterCounty","SweetGrassCounty","TetonCounty","TooleCounty","TreasureCounty","ValleyCounty","WheatlandCounty","WibauxCounty","YellowstoneCounty"
"11",2087.95,1754.72,1958.47,2019.75,1868.94,1581.86,2041,2057.86,1662.76,1825,1685.58,2067.35,1656.28,1940.61,2280.96,1973.61,1755.96,2166.14,1877.46,2103.81,2003.06,2042.25,1970.85,2224.16,2076.46,2050.82,2367.81,1749.34,2024.06,1962.74,2223.48,2166.57,1813.4,1930.71,1831.22,1895.47,2123.25,1611.55,2103.86,1724.24,2189.44,1747.28,1770.6,1686.15,2256.96,1741.13,2043.95,1863.45,1895.88,2092.56,2127.76,1732.57,1830.63,1908.81,1651.34,1815.28
"12",2210.2,1876.95,2126.65,2141.95,1991.15,1704.1,2163.25,2180.1,1785,1993.2,1853.75,2189.55,1778.55,2062.85,2403.2,2095.85,1878.2,2288.35,1999.7,2226.05,2171.25,2164.45,2093.05,2346.4,2198.75,2220.25,2490.05,1917.55,2146.25,2084.95,2345.75,2288.8,1935.65,2052.95,1948.1,2063.65,2245.45,1733.75,2226.1,1837.75,2311.65,1915.45,1938.8,1808.4,2379.2,1909.35,2166.15,1985.65,2018.15,2214.8,2250,1854.85,1998.85,2031.05,1819.55,1937.55
"19",2126.41454545455,1793.18727272727,2007.01090909091,2058.21090909091,1907.39454545455,1620.32363636364,2079.46727272727,2096.33636363636,1701.22181818182,1873.55272727273,1734.11272727273,2105.80727272727,1694.76181818182,1979.07818181818,2319.42181818182,2012.07818181818,1797.22363636364,2204.59454545455,1915.92181818182,2142.28,2051.60363636364,2080.71090909091,2009.30727272727,2262.62,2114.95090909091,2100.26727272727,2406.28,1797.88363636364,2062.51454545455,2001.20727272727,2261.96181818182,2205.04727272727,1851.87818181818,1969.17454545455,1867.04545454545,1944.01090909091,2161.71090909091,1650.00545454545,2142.33636363636,1757.31090909091,2227.89454545455,1795.82181818182,1819.13272727273,1724.61454545455,2295.42181818182,1789.68363636364,2082.40181818182,1901.90545454545,1934.36,2131.02181818182,2166.22,1771.04545454545,1879.18363636364,1947.28545454545,1699.88363636364,1853.76181818182
"20",443.906896551724,477.065517241379,268.920689655172,366.868965517241,470.789655172414,427.665517241379,290.996551724138,307.155172413793,507.289655172414,220.668965517241,340.151724137931,405.651724137931,390.31724137931,360.644827586207,297.265517241379,405.524137931034,442.996551724138,253.979310344828,399.727586206897,400.537931034483,290.565517241379,370.603448275862,334.631034482759,327.331034482759,333.275862068966,262.448275862069,251.206896551724,310.858620689655,419.244827586207,352.151724137931,400.9,369.637931034483,417.134482758621,400.086206896552,395.727586206897,298.765517241379,255.779310344828,542.210344827586,364.137931034483,367.220689655172,402.168965517241,311,296.841379310345,492.724137931034,363.906896551724,231.062068965517,395.203448275862,428.555172413793,402.375862068965,291.875862068965,230.551724137931,481.913793103448,347.865517241379,375.131034482759,357.627586206897,434.151724137931
"41",1047.35,1206.95,1415.7,1149.75,1195.75,1354.3,1255.7,1313.7,1348.1,1590.35,1452.15,1117.75,1445.45,1269.8,1331.35,1086.9,1395.5,1349.1,1250.25,1154.2,1380.65,1132.15,1274.75,1274.55,1191,1353.85,1418.2,1514.65,1067.7,1195.65,1273.9,1217,1292.15,1130.15,1323.35,1402.55,1340.75,1296.85,1154.3,1419.35,1169.75,1516.15,1562.5,1278.05,1307.35,1576.25,1103.25,1203.55,1167.05,1269.95,1345.25,1320.9,1477.5,1210.15,1477.75,1252
"42",1168.6,1401.4,1536.95,1271,1316.95,1416.15,1376.95,1434.9,1409.95,1633.65,1495.475,1239,1488.825,1391.05,1452.6,1208.1,1503.15,1470.35,1371.5,1275.45,1501.85,1253.4,1396,1395.8,1312.2,1475.1,1539.45,1558,1188.95,1316.9,1395.1,1338.2,1458.7,1251.4,1491.525,1523.8,1462,1358.75,1275.5,1462.7,1291,1559.55,1605.85,1472.55,1428.6,1619.55,1224.5,1324.8,1288.3,1391.2,1466.5,1463.9,1617.4,1331.35,1521.1,1408.425
"49",997.209090909091,1184.73181818182,1372.43636363636,1099.60909090909,1171.33181818181,1273.24090909091,1205.53636363636,1263.50909090909,1271.62272727273,1498.92727272727,1360.74090909091,1067.60909090909,1354.09545454545,1219.66363636364,1281.20909090909,1036.72727272727,1329.75454545454,1298.92727272727,1224.37727272727,1104.06363636364,1330.49090909091,1082.00909090909,1224.60909090909,1224.40909090909,1140.81818181818,1303.70909090909,1368.06363636364,1423.24090909091,1017.51818181818,1145.50909090909,1223.72727272727,1166.81818181818,1253.53181818181,1080.00909090909,1286.19545454546,1374.41818181818,1290.60909090909,1209.35,1104.10909090909,1327.95,1119.6,1424.81363636363,1471.12272727273,1256.55909090909,1257.20909090909,1484.83181818181,1053.10909090909,1178.8,1116.90909090909,1219.8,1295.10909090909,1248.60454545454,1427.48636363637,1159.99090909091,1386.3409090909,1204.17727272728
"50",1713.75866666667,1411.356,1663.85333333333,1676.39333333333,1525.56533333333,1243.37866666667,1697.63866666667,1714.50933333333,1324.27866666667,1532.488,1393.04533333333,1723.97733333333,1317.80533333333,1597.248,1937.6,1630.248,1417.488,1822.768,1534.1,1760.44666666667,1709.37066666667,1698.89333333333,1627.47733333333,1880.8,1733.116,1754.69333333333,2024.444,1456.81866666667,1680.69333333333,1619.38,1880.128,1823.21733333333,1478.008,1587.34533333333,1491.52666666667,1602.944,1779.89333333333,1273.05733333333,1760.50933333333,1377.01466666667,1846.06533333333,1454.75733333333,1478.07866666667,1347.672,1913.6,1448.616,1700.58133333333,1520.08133333333,1552.52933333333,1749.2,1784.4,1398.272,1538.116,1565.45866666667,1358.81866666667,1471.928
"61",1045.14,1285.42,1413.52,1147.54,1193.52,1382.76,1253.52,1311.5,1393.34,1605.58,1467.4,1115.52,1460.72,1267.62,1329.16,1084.72,1393.32,1346.9,1248.06,1152.02,1378.42,1129.96,1272.52,1272.36,1188.8,1351.64,1407.48,1529.92,1065.5,1193.46,1271.72,1214.8,1289.92,1127.96,1321.16,1400.38,1338.54,1301.52,1152.08,1434.62,1167.52,1531.42,1577.76,1359.12,1305.16,1591.5,1101.04,1201.36,1164.86,1267.74,1343.06,1318.72,1475.32,1207.92,1493.02,1249.82
"62",875.571428571429,1141.7,1243.9,977.971428571429,1096.21428571429,1361.5,1083.9,1141.88571428571,1223.75714285714,1435.98571428571,1297.78571428571,945.957142857143,1291.11428571429,1098,1012.86428571428,915.1,1223.7,1177.28571428571,1078.47142857143,982.4,1208.8,960.357142857143,1102.94285714286,952.492857142857,1019.18571428571,1182.07142857143,992.028571428571,1360.3,895.885714285714,1023.87142857143,931.571428571428,887.435714285714,1120.34285714286,958.357142857143,1151.57142857143,1230.77142857143,1168.97142857143,1241.15714285714,982.485714285714,1265,907.442857142857,1361.85714285714,1408.17142857143,1189.5,965.95,1421.88571428571,931.471428571429,1031.77142857143,995.271428571428,1098.15714285714,1173.47142857143,1149.1,1305.7,1038.3,1323.4,1080.18571428571
"63",1102.2,1342.5,1470.6,1204.6,1250.6,1439.8,1310.6,1368.5,1450.4,1662.6,1524.4,1172.6,1517.8,1324.7,1386.2,1141.7,1450.3,1403.9,1305.1,1209.1,1435.5,1187,1329.6,1329.4,1245.8,1408.7,1473.1,1586.9,1122.5,1250.5,1328.7,1271.8,1347,1185,1378.2,1457.4,1395.6,1358.6,1209.1,1491.7,1224.6,1588.5,1634.8,1416.2,1362.2,1648.5,1158.1,1258.4,1221.9,1324.8,1400.1,1375.8,1532.3,1265,1550.1,1306.8
