"County","BeaverheadCounty","BigHornCounty","BlaineCounty","BroadwaterCounty","CarbonCounty","CarterCounty","CascadeCounty","ChouteauCounty","CusterCounty","DanielsCounty","DawsonCounty","DeerLodgeCounty","FallonCounty","FergusCounty","FlatheadCounty","GallatinCounty","GarfieldCounty","GlacierCounty","GoldenValleyCounty","GraniteCounty","HillCounty","JeffersonCounty","JudithBasinCounty","LakeCounty","LewisandClarkCounty","LibertyCounty","LincolnCounty","McConeCounty","MadisonCounty","MeagherCounty","MineralCounty","MissoulaCounty","MusselshellCounty","ParkCounty","PetroleumCounty","PhillipsCounty","PonderaCounty","PowderRiverCounty","PowellCounty","PrairieCounty","RavalliCounty","RichlandCounty","RooseveltCounty","RosebudCounty","SandersCounty","SheridanCounty","SilverBowCounty","StillwaterCounty","SweetGrassCounty","TetonCounty","TooleCounty","TreasureCounty","ValleyCounty","WheatlandCounty","WibauxCounty","YellowstoneCounty"
"BeaverheadCounty",38.4,341.2,394.1,128.1,295.7,561,234.1,292,423.2,635.4,497.3,96.1,490.6,297.5,309.7,129,423.2,327.5,277.9,132.6,359,110.5,303.5,252.9,169.4,332.2,396.6,559.8,80.1,174,252.3,195.4,319.8,157.8,351,439.6,319.1,440.6,132.6,464.5,129.5,561.3,607.6,389,285.7,621.3,81.6,231.2,194.7,248.3,323.6,348.6,514.6,237.8,522.9,279.7
"BigHornCounty",341.2,36.4,276.8,273,122.2,282.8,294.2,311.1,145.1,357.3,219.1,320.6,212.4,193.8,534.2,226.8,224.7,419.4,130.7,357,330.1,295.5,224.1,477.4,329.7,351.3,621,281.6,277.3,216,476.7,419.8,128.9,183.9,163.3,274.7,376.5,113.9,357.1,186.3,442.6,283.2,329.5,79.1,510.2,343.2,297.2,116.7,149.1,345.8,381,70.4,338.9,162,244.7,68.5
"BlaineCounty",394.1,276.8,33.5,283.2,268.9,417.8,167.4,114.4,313.6,229.5,283.6,341.3,360.7,135.1,306.7,318,215.5,196.6,202.5,340.4,62.5,288.9,181.2,348.8,232,110.8,413.9,233.1,363.2,255.3,389.1,332.2,176,275.1,143.4,63.5,184.3,376.2,291.6,322.6,381.9,273.3,219.8,291.4,413.7,273.9,317.9,263.4,240,215.8,157.7,278.9,138.4,198.4,310.9,209.4
"BroadwaterCounty",128.1,273,283.2,18.1,227.5,492.8,123.2,181.2,355,453.4,429.1,107.5,422.4,161.1,235.2,60.8,286.8,216.6,141.6,127,248.2,74.3,162.6,214.9,58.5,221.4,336.7,377.7,81.6,45.5,214.2,157.3,183.4,89.6,214.7,293.9,208.3,372.4,78.2,396.3,207,493.1,437.9,320.8,247.7,553.2,84.1,163,126.5,137.5,212.8,280.4,368.8,99.3,454.7,211.5
"CarbonCounty",295.7,122.2,268.9,227.5,23.4,342,284.6,301.5,204.2,416.4,278.2,275.1,271.6,186,488.7,181.4,227.6,409.8,122.8,311.6,322.3,250,214.5,431.9,284.2,341.7,575.6,340.8,231.8,201,431.2,374.3,121,138.5,155.4,266.8,366.9,221.6,311.6,245.4,397.2,342.3,388.6,170,464.7,402.3,251.7,71.2,103.6,336.2,371.4,129.6,341.8,149.9,303.9,60.6
"CarterCounty",561,282.8,417.8,492.8,342,29.8,478.1,483.8,149.3,284.3,144.9,540.4,71,368.4,754,446.6,229.6,603.3,329.9,576.8,462.3,515.3,408,697.2,549.5,510.6,840.8,208.6,497.1,415.2,696.5,639.6,288.4,403.7,299.5,354.8,560.4,125.6,576.9,183.5,662.5,206.6,252.9,216.6,730,266.6,517,336.5,368.9,529.7,564.9,218.7,289.9,361.2,107.3,288.3
"CascadeCounty",234.1,294.2,167.4,123.2,284.6,478.1,26.8,65.4,340.4,379,360.3,181.3,407.8,116.5,230.6,182.2,242.2,135.4,176.2,180.4,132.3,128.9,76.8,235.8,72,105.6,337.8,333.1,203.2,103.6,235.1,178.2,202.8,176.7,170.1,213,92.5,393.7,131.6,381.6,227.9,374.3,369.2,318.1,268.6,423.4,157.9,220.2,180.2,61.8,97,301.6,287.9,138.6,387.6,228.7
"ChouteauCounty",292,311.1,114.4,181.2,301.5,483.8,65.4,32.5,346,326,366,239.2,413.4,115.6,270.6,240.2,247.9,160.5,193.1,238.3,79.3,186.9,93.7,287.8,129.9,74.7,377.9,329.6,261.1,153.2,287.1,230.2,208.4,232.2,175.8,160,144.4,410.5,189.5,387.3,279.8,380,316.2,323.8,320.5,370.4,215.8,237.1,197.1,113.8,121.7,311.3,234.9,155.5,393.3,241.8
"CusterCounty",423.2,145.1,313.6,355,204.2,149.3,340.4,346,31.7,223.7,85.6,402.6,78.9,230.7,616.2,308.9,93.2,465.5,192.1,439.1,367,377.5,270.2,559.4,411.7,386.2,703.1,148.1,359.3,277.4,558.8,501.8,150.7,266,163.1,271.6,422.6,84.9,439.1,52.8,524.7,149.6,195.9,78.9,592.2,209.6,379.2,198.7,231.1,391.9,427.1,80.9,207.5,223.5,111.2,150.6
"DanielsCounty",635.4,357.3,229.5,453.4,416.4,284.3,379,326,223.7,19.4,150.1,614.8,227.3,299.1,518.3,521.1,180.1,408.1,327.6,551.9,274.1,500.5,338.6,560.4,443.5,322.3,625.5,99.7,571.5,409.7,600.7,543.8,301.2,478.2,239.3,166.5,395.8,308.6,503.1,189.2,593.4,127.3,81.9,291.1,625.3,47.9,591.4,410.9,443.4,427.4,369.3,293.2,91.3,355.8,177.4,362.8
